Start	Chr	End	IC_4_6_K4me3_1	IC_4_6_K4me3_2	IC_6_8_K4me3_1	IC_6_8_K4me3_2	IC_8_10_K4me3_1	IC_8_10_K4me3_2	VC_4_6_K4me3_1	VC_4_6_K4me3_2	VC_68_K4me3_1_1	VC_68_K4me3_2_1	VC_810_K4me3_1_1	VC_810_K4me3_2_1	IC_4_6_K27ac_1	IC_4_6_K27ac_3	IC_6_8_K27ac_1	IC_6_8_K27ac_3	IC_8_10_K27ac_1	IC_8_10_K27ac_2	VC_4_6_K27ac_1	VC_4_6_K27ac_2	VC_68_K27ac_1_1	VC_68_K27ac_2_1	VC_810_K27ac_1_1	VC_810_K27ac_2_1	IC_4_6_K79me3_1	IC_4_6_K79me3_2	IC_6_8_K79me3_1	IC_6_8_K79me3_2	IC_8_10_K79me3_1	IC_8_10_K79me3_2	VC_4_6_K79me3_1	VC_4_6_K79me3_2	VC_68_K79me3_1_1	VC_68_K79me3_2_1	VC_810_K79me3_1_1	VC_810_K79me3_2_1	IC_4_6_K4mono_1	IC_4_6_K4mono_2	IC_6_8_K4mono_1	IC_6_8_K4mono_2	IC_8_10_K4mono_1	IC_8_10_K4mono_2	VC_4_6_K4mono_1	VC_4_6_K4mono_2	VC_68_K4mono_1_1	VC_68_K4mono_2_1	VC_810_K4mono_1_1	VC_810_K4mono_2_1	IC_4_6_K27me3_1	IC_4_6_K27me3_2	IC_6_8_K27me3_2	IC_6_8_K27me3_3	IC_8_10_K27me3_1	IC_8_10_K27me3_2	VC_4_6_K27me3_1	VC_4_6_K27me3_2	VC_68_K27me3_1_1	VC_68_K27me3_2_1	VC_810_K27me3_1_1	VC_810_K27me3_2_1	K27ac_46_TAD	K27ac_68_TAD	K27ac_810_TAD	K27me3_46_TAD	K27me3_68_TAD	K27me3_810_TAD	K27ac_vector	K27me3_vector	Euklidian_dist
7716	2L	17449	723	800	1099	1357	705	661	970	1622	1441	1000	1930	1849	3603	2631	3579	1041	2696	2259	4303	1596	5321	5176	4821	4272	4621	10950	5273	3324	3683	3861	8729	3942	5609	4759	3800	1158	3691	6129	4280	3819	3951	3765	5237	2929	10765	7358	9333	9142	3602	1581	1164	2102	1730	2666	3892	1422	2813	2051	3573	2416	-0.0949834131948649	-0.307454772029186	0.0337008465390738	-0.0710414808876851	0.397362379694895	-0.18741895173999	-0.368737338684977	0.138901947067219	0.394031693953093
21643	2L	66422	2752	4291	4995	6462	4249	2409	3176	3970	3828	3780	7972	7508	37636	34688	39564	12223	27322	25322	43771	17902	57718	55905	46450	34488	5048	31098	7061	6199	7336	4775	9625	5165	6869	6824	9204	2677	32280	48147	36365	30259	33157	28266	41790	17822	78676	59481	69352	69086	10998	6030	5574	11100	8706	6832	13662	5667	10501	10125	10889	7667	-0.227201581286943	-0.337862553597623	-0.236109812038625	0.225422688063935	0.164699224281713	0.0926791789773116	-0.801173946923191	0.48280109132296	0.9354018318408
43624	4	58009	6048	6694	4052	5439	5007	7603	13358	18476	13399	12949	12035	10680	11182	12030	17376	5577	8942	7654	16812	6198	15394	20394	13117	14049	17929	35332	17474	10692	13376	16133	30927	13829	25302	17124	12426	3835	5807	11345	7719	8280	6815	6089	8387	5363	20057	13592	14451	14546	1933	661	729	2296	1437	1017	2608	602	2206	1352	1886	1074	-0.0477027538858583	-0.804646097606058	-0.112753946655896	-0.0391444331168638	0.198781203796838	0.164081413072741	-0.965102798147813	0.323718183752715	1.01794738247362
49744	3L	132865	7372	10064	9446	12442	9846	9652	10903	11695	11468	10804	19500	18463	43522	38121	46407	17506	32282	32647	55687	23163	72398	67805	59091	47601	13128	59449	14351	11706	16778	14924	20377	11111	16750	15671	18985	5730	40453	61202	43924	39901	41247	39414	52490	25685	106702	78680	90796	90266	29106	12720	13686	27381	19174	24295	30324	15065	23632	20287	27783	20184	-0.0401715813016181	-0.266147364077441	-0.130478908159206	0.117559312517558	-0.0479104149500804	-0.362395060703184	-0.436797853538265	-0.292746163135707	0.525825713413022
58009	4	68251	5566	5232	3504	4591	7878	8815	12319	13689	11462	11621	12711	11181	11766	13489	18736	7577	10294	9283	19589	6960	17943	24114	14203	17853	7238	19235	6337	3994	5585	6156	9623	4899	8974	7023	5024	1623	4115	8374	5491	6244	4854	4501	5659	4226	15178	10650	10216	9987	1539	336	326	1681	1352	1002	1913	407	1615	867	1472	798	0.0232022529490174	-0.679900714618773	-0.095989687434689	-0.200118031524364	0.377605780605191	-0.203283033466445	-0.752688149104444	-0.0257952843856184	0.75313003292845
66422	2L	71492	3237	2935	1732	2343	2710	3738	5411	7160	5847	6151	5746	4868	4031	3882	4896	1652	3554	3061	5465	1935	6035	6781	5322	5088	3114	6647	4178	2465	2244	2343	5590	2226	3453	2997	2248	649	2938	4145	3296	2669	2821	2378	3438	1695	6753	5058	5882	5690	635	446	210	853	644	368	914	273	803	498	643	373	-0.137231569360242	-0.465624907319677	-0.180308219337017	0.215728963232119	0.312951955100473	0.0914495904880149	-0.783164696016935	0.620130508820607	0.998953847310977
69380	4	129005	7188	9299	7838	10404	8190	8189	11465	13701	11915	12435	16749	15059	29117	27747	35607	14240	21510	19865	38203	15380	43904	47473	36025	33318	13511	56829	12828	10209	11028	11247	22080	10445	15419	13910	15535	4642	16393	33270	18061	19032	18511	18010	22134	14746	52361	36446	48425	46849	15450	7423	6376	13999	10822	12679	15586	5808	14084	11817	16902	11111	-0.0893665408682999	-0.495629012156516	-0.0908935214021456	-0.155191548197797	0.2267302702046	-0.215040798544535	-0.675889074426961	-0.143502076537732	0.690955054182525
71492	2L	84867	762	1187	1280	1610	991	790	1201	988	1060	959	2378	2245	6419	5818	6331	2560	5398	5807	8650	3704	11706	10548	10057	8107	1154	8064	1791	1485	2092	1301	2651	1527	1816	2069	2381	755	4121	7289	4516	4096	4664	4459	6064	3040	11964	8616	11812	11603	3189	1404	1683	3795	2338	2077	3410	1505	2662	2606	2826	2061	0.0306649635971698	-0.0493012153690136	-0.148702234499693	0.0541849780931097	-0.163628871693549	-0.110464574562076	-0.167338486271537	-0.219908468162515	0.276336576220437
86316	2L	94100	705	803	948	1119	599	519	783	936	672	751	1349	1366	3762	3088	4049	1269	2749	3260	5924	2154	7793	6654	5583	4532	1042	5450	1200	1068	1153	1245	3552	1726	1588	2004	1503	468	5863	7269	5676	5047	4719	4657	8227	3516	14119	10710	10719	10285	3857	1336	1478	2766	1465	1504	2935	1475	1969	1837	1945	1443	0.211763033818693	-0.029901888923899	-0.0916287381677181	-0.330721657547502	-0.316898856269548	-0.171401279909636	0.0902324067270757	-0.819021793726687	0.823977296909957
94100	2L	102022	2675	2701	2117	2844	4166	5052	6126	7079	6358	6391	7713	6386	3008	2694	3719	1675	2299	2402	4100	1502	4775	5144	4464	4298	2072	6998	1799	1668	2205	1865	3182	1547	2585	2311	2119	651	3050	4547	3130	2965	2846	2471	3552	1759	6961	5106	6254	6181	1076	509	522	1393	1252	546	1462	361	1127	852	981	556	-0.0527692808770716	-0.440391616667157	0.0686051768668539	0.0141093430781864	-0.0242936374277691	0.116198678748314	-0.424555720677374	0.106014384398731	0.437591829973237
