"FBgn"	"RefSeqID"	"Chr"	"Start"	"End"	"Score"	"Strand"	"IC_4_6_K4me3_1"	"IC_4_6_K4me3_2"	"IC_6_8_K4me3_1"	"IC_6_8_K4me3_2"	"IC_8_10_K4me3_1"	"IC_8_10_K4me3_2"	"VC_4_6_K4me3_1"	"VC_4_6_K4me3_2"	"VC_68_K4me3_1_1"	"VC_68_K4me3_2_1"	"VC_810_K4me3_1_1"	"VC_810_K4me3_2_1"	"IC_4_6_K27ac_1"	"IC_4_6_K27ac_3"	"IC_6_8_K27ac_1"	"IC_6_8_K27ac_3"	"IC_8_10_K27ac_1"	"IC_8_10_K27ac_2"	"VC_4_6_K27ac_1"	"VC_4_6_K27ac_2"	"VC_68_K27ac_1_1"	"VC_68_K27ac_2_1"	"VC_810_K27ac_1_1"	"VC_810_K27ac_2_1"	"IC_4_6_K79me3_1"	"IC_4_6_K79me3_2"	"IC_6_8_K79me3_1"	"IC_6_8_K79me3_2"	"IC_8_10_K79me3_1"	"IC_8_10_K79me3_2"	"VC_4_6_K79me3_1"	"VC_4_6_K79me3_2"	"VC_68_K79me3_1_1"	"VC_68_K79me3_2_1"	"VC_810_K79me3_1_1"	"VC_810_K79me3_2_1"	"IC_4_6_K4mono_1"	"IC_4_6_K4mono_2"	"IC_6_8_K4mono_1"	"IC_6_8_K4mono_2"	"IC_8_10_K4mono_1"	"IC_8_10_K4mono_2"	"VC_4_6_K4mono_1"	"VC_4_6_K4mono_2"	"VC_68_K4mono_1_1"	"VC_68_K4mono_2_1"	"VC_810_K4mono_1_1"	"VC_810_K4mono_2_1"	"IC_4_6_K27me3_1"	"IC_4_6_K27me3_2"	"IC_6_8_K27me3_2"	"IC_6_8_K27me3_3"	"IC_8_10_K27me3_1"	"IC_8_10_K27me3_2"	"VC_4_6_K27me3_1"	"VC_4_6_K27me3_2"	"VC_68_K27me3_1_1"	"VC_68_K27me3_2_1"	"VC_810_K27me3_1_1"	"VC_810_K27me3_2_1"	"All_RefSeq"	"Gene"	"4-6h_Ind-neg_1"	"4-6h_Ind-neg_2"	"4-6h_Ind-pos_1"	"4-6h_Ind-pos_2"	"6-8h_Ind-neg_1"	"6-8h_Ind-neg_2"	"6-8h_Ind-pos_1"	"6-8h_Ind-pos_2"	"4-6h_Vnd-neg_1"	"4-6h_Vnd-neg_2"	"4-6h_Vnd-pos_1"	"4-6h_Vnd-pos_2"	"6-8h_Vnd-neg_1"	"6-8h_Vnd-neg_2"	"6-8h_Vnd-pos_1"	"6-8h_Vnd-pos_2"	"4-6h_Pros-neg_1"	"4-6h_Pros-neg_2"	"4-6h_Pros-pos_1"	"4-6h_Pros-pos_2"	"6-8h_Pros-neg_1"	"6-8h_Pros-neg_2"	"6-8h_Pros-pos_1"	"6-8h_Pros-pos_2"	"6-8h_Elav-neg_1"	"6-8h_Elav-neg_2"	"6-8h_Elav-pos_1"	"6-8h_Elav-pos_2"	"8-10h_Elav-neg_1"	"8-10h_Elav-neg_2"	"8-10h_Elav-pos_1"	"8-10h_Elav-pos_2"	"18-22h_Elav-neg_1"	"18-22h_Elav-neg_2"	"18-22h_Elav-pos_1"	"18-22h_Elav-pos_2"	"6-8h_Repo-neg_1"	"6-8h_Repo-neg_2"	"6-8h_Repo-pos_1"	"6-8h_Repo-pos_2"	"8-10h_Repo-neg_1"	"8-10h_Repo-neg_2"	"8-10h_Repo-pos_1"	"8-10h_Repo-pos_2"	"18-22h_Repo-neg_1"	"18-22h_Repo-neg_2"	"18-22h_Repo-pos_1"	"18-22h_Repo-pos_2"	"CGID"	"Symbol"	"Biotype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Norm_avrg_A"	"Norm_avrg_B"	"log2FC_norm_count"	"IC_46_pos_mean"	"VC_46_pos_mean"	"VC_46_neg_mean"	"IC_46_neg_mean"	"VC_46_log2FC_over_neg"	"IC_46_log2FC_over_neg"	"Tissue_46_log2FC_VCvsIC_VST"	"IC_68_pos_mean"	"VC_68_pos_mean"	"VC_68_neg_mean"	"IC_68_neg_mean"	"VC_68_log2FC_over_neg"	"IC_68_log2FC_over_neg"	"Tissue_68_log2FC_VCvsIC_VST"	"Temp_VC_46vs68"	"Temp_IC_46vs68"
"FBgn0004102"	"NM_001272417.1"	"X"	8642976	8643176	500	"-"	29	8	22	8	21	24	89	72	72	44	138	100	106	72	49	52	35	86	274	131	310	432	378	324	118	224	190	81	64	153	914	483	1459	652	657	202	170	245	311	279	217	194	447	165	757	529	601	585	2255	549	860	1622	657	1443	1074	485	510	559	595	361	"''NM_001272417.1,NM_001014727.3,NM_001272416.1''"	"''oc Dmel\CG12154 l(1)7Ff l(1)8Ac Oc ort Otd otd Otx uvi CG12154 Dmel_CG12154''"	12.3668886537385	12.3504877142431	11.6358822591098	11.421126694787	12.4360272226153	12.4059102781201	11.5979054361194	11.4324911953147	11.9086403742113	11.8193509151649	13.9155983840965	14.2048653245844	11.5734810144627	11.4269609237758	13.7360430375807	13.9202617719858	12.2950115002832	12.2523574678827	13.9622563885593	13.9326137017335	12.0719842265365	12.1199790335787	14.0128407203946	13.8762029143896	12.0247772326999	12.2619388776971	13.2091602447178	13.282863977001	12.2866688245686	12.1237084814737	13.5831828701927	12.6449348501947	12.5228070153244	11.8058429213247	13.0134505382882	13.3242550398863	12.3814385553518	12.338761072097	11.1377078240803	10.8417841324335	12.767431863556	12.4876275147903	11.495753883383	11.1049072785626	12.5258438864104	12.4688890758828	11.3489168282048	11.7531786000155	"CG12154"	"oc"	"protein_coding"	308.660730351372	3.0075481741713	0.341044537115405	8.81863758795111	1.15860776743908e-18	4.45976588991925e-12	67.9241319847336	549.397328718011	-3.01585376654673	11.5285044769484	14.0602318543405	11.8639956446881	12.3586881839908	0.245030411475282	-0.100320243108426	0.286415011723262	11.5151983157171	13.8281524047832	11.5002209691193	12.4209687503677	0.265946827370178	-0.1092384407039	0.264069151674155	0.0240119755278595	0.00166611547875187
"FBgn0004102"	"NM_001272418.1"	"X"	8650288	8650488	500	"-"	19	33	26	46	90	225	1625	1411	1500	1638	1427	1317	58	46	124	63	52	47	287	131	269	419	319	302	58	338	81	67	46	162	989	522	1511	743	659	204	161	346	236	267	229	220	152	144	282	190	204	300	1171	231	212	527	233	566	709	243	237	241	272	224	"''NM_001272418.1''"	"''oc Dmel\CG12154 l(1)7Ff l(1)8Ac Oc ort Otd otd Otx uvi CG12154 Dmel_CG12154''"	12.3668886537385	12.3504877142431	11.6358822591098	11.421126694787	12.4360272226153	12.4059102781201	11.5979054361194	11.4324911953147	11.9086403742113	11.8193509151649	13.9155983840965	14.2048653245844	11.5734810144627	11.4269609237758	13.7360430375807	13.9202617719858	12.2950115002832	12.2523574678827	13.9622563885593	13.9326137017335	12.0719842265365	12.1199790335787	14.0128407203946	13.8762029143896	12.0247772326999	12.2619388776971	13.2091602447178	13.282863977001	12.2866688245686	12.1237084814737	13.5831828701927	12.6449348501947	12.5228070153244	11.8058429213247	13.0134505382882	13.3242550398863	12.3814385553518	12.338761072097	11.1377078240803	10.8417841324335	12.767431863556	12.4876275147903	11.495753883383	11.1049072785626	12.5258438864104	12.4688890758828	11.3489168282048	11.7531786000155	"CG12154"	"oc"	"protein_coding"	308.36043209445	3.10464817095053	0.393813724457714	7.88354487956371	3.18221797555897e-15	1.05101816139097e-09	63.7967196411158	552.924144547784	-3.11552742207497	11.5285044769484	14.0602318543405	11.8639956446881	12.3586881839908	0.245030411475282	-0.100320243108426	0.286415011723262	11.5151983157171	13.8281524047832	11.5002209691193	12.4209687503677	0.265946827370178	-0.1092384407039	0.264069151674155	0.0240119755278595	0.00166611547875187
"FBgn0051145"	"NM_001144631.2"	"3R"	23669459	23669659	500	"-"	15	51	45	37	54	110	323	198	250	481	622	452	143	224	98	52	204	150	200	117	420	392	359	285	6	184	402	90	26	65	222	80	311	145	391	110	123	246	123	119	115	130	204	109	371	290	349	375	120	37	89	56	106	41	111	41	72	89	59	42	"''NM_001144631.2,NM_001144629.3,NM_176547.3,NM_170079.4,NM_001144630.2''"	"''CG31145''"	10.2153042160656	10.0507699640005	10.1240441664695	10.2104285592176	10.4102308259892	10.2923943044194	10.1896353741128	10.2646674141489	10.8084207616467	10.8360223959552	12.056330732328	12.1559619125115	10.8034139243559	10.7980120007461	11.4852510843186	11.5188549451098	10.9935694119536	11.0735098101459	11.1152697423007	10.9979035983755	10.9573635384691	10.9474857222201	11.1053908946023	10.8911946466788	10.6843594491419	10.8980728505076	10.7433313891323	11.398320782914	11.342470151718	11.2652710440819	11.0908194745581	11.2649982004392	12.8657389521062	11.9676817558315	12.1486118795085	12.1436444064175	10.1421311275936	10.2156867552588	10.5617185796419	11.2091755587038	10.4772306062715	10.7568151351151	10.9342862808018	11.2452695198728	12.166843801099	12.1684789754828	12.1365450177195	11.9227471172144	"CG31145"	"CG31145"	"protein_coding"	170.848828700231	3.45234205121212	0.435230996534406	7.93220629666069	2.15286418224984e-15	1.05101816139097e-09	28.4127003783866	313.284957022075	-3.46286763891578	10.1672363628435	12.1061463224198	10.8222215788009	10.133037090033	0.161743008484649	0.00486093629004821	0.251812111475558	10.2271513941308	11.5020530147142	10.800712962551	10.3513125652043	0.0907648436243719	-0.0174093537599172	0.169487030545003	0.0738483011200181	-0.00847677981053739
"FBgn0265627"	"NM_001299657.1"	"2R"	18680970	18681170	500	"-"	29	2	44	23	27	10	20	28	42	25	58	41	166	133	184	175	142	199	654	236	784	859	605	338	73	216	96	117	22	110	1377	583	1177	551	524	104	115	225	191	136	138	175	453	166	1051	765	713	743	702	136	346	279	139	273	210	54	121	103	160	137	"''NM_001299657.1,NM_001299656.1''"	"''CG44435 Dmel_CG44435''"	9.40229560650467	9.3231417297826	9.2840265006238	8.97048054185047	9.83308192867423	9.65171176953923	9.38597524333807	9.50924367808292	9.5923889811323	10.0040198962303	10.1292301584873	10.059285199733	10.0713365710961	10.3534021409247	10.3714561765039	10.181609121419	9.91416677899926	9.42285603484379	9.66357037061656	9.94870031800736	9.78625251449888	9.7354695990239	9.57888479393262	9.88134741899508	9.95387596678192	9.5774774922032	9.79207600240046	9.10094265102255	9.30367113104849	9.90071023607902	9.01668500945443	10.3960850179805	9.0343452459787	10.0064547363298	9.97820212117902	9.57766366067213	9.60930583979421	9.62078131761274	9.55964356866073	9.5878727748346	9.78153014924504	10.0026550156549	9.85658596252055	10.4976621783341	9.69815968481051	10.0598142611851	9.82411125429848	10.0486644401317	"CG44435"	"CG44435"	"protein_coding"	200.797466181416	3.17471986574885	0.509988300336244	6.22508371987298	4.81298932725052e-10	1.24804952824261e-05	39.8722662199093	361.722666142922	-3.18142649125993	9.12725352123713	10.0942576791102	9.7982044386813	9.36271866814364	0.042945521569639	-0.0367467037561664	0.145282110574369	9.4476094607105	10.2765326489614	10.2123693560104	9.74239684910673	0.00903595196382178	-0.0443274227028763	0.121332340590556	-0.0258187541346943	-0.0497685241185073
"FBgn0039749"	"NM_143517.2"	"3R"	30160273	30160473	500	"-"	19	46	23	34	4	25	527	912	696	975	208	181	136	100	139	7	203	134	425	151	473	625	391	288	31	179	62	59	71	54	943	532	1207	581	319	86	190	274	176	134	132	185	321	126	476	289	530	587	125	55	52	61	64	48	101	57	74	58	45	35	"''NM_143517.2''"	"''Dmel\CG11498 CG11498-RA CG11498 Dmel_CG11498''"	10.0227951776882	10.0874458048804	9.74181054724453	9.90962231554911	10.0076528766606	9.95414705425114	9.60776521130851	9.72719974913835	10.0685216957147	10.0704981226719	10.7900180034853	10.7809460195793	10.1763871368395	10.2299474916188	11.1603808485147	11.2206271046262	10.1754462303366	10.118708421486	10.0279101101505	10.1153346894383	10.0033294753328	9.87064064134566	10.5565376380511	10.5087664157476	10.0835699230849	10.0647487853694	9.75408212035794	9.80827994719594	10.1394947860363	10.1519477794785	9.79105378131956	10.2353663876706	10.3799343660542	10.340862288299	9.99186272273307	9.9452943989706	9.99558275940655	9.91947227589654	9.65589945212034	9.84508087678517	9.77740784454898	10.0871065995431	9.71397148859852	10.2682466569349	10.0494786598918	10.2153069719783	9.58322685616805	9.5369120126662	"CG11498"	"CG11498"	"protein_coding"	146.312046845531	2.58775140602029	0.446000493938384	5.80212677158557	6.54790248478994e-09	9.7284695800916e-05	42.0412972542291	250.582796436832	-2.57540827911844	9.82571643139682	10.7854820115323	10.0695099091933	10.0551204912843	0.0990971851222098	-0.0332958608183364	0.134456144241805	9.66748248022343	11.1905039765705	10.2031673142291	9.98089996545587	0.13325794135713	-0.0460296626584725	0.211062861207814	-0.053184358028256	0.0234223589377529
"FBgn0003984"	"NM_001014565.2"	"3L"	5845464	5845664	500	"-"	70	62	30	48	87	150	729	1025	714	921	603	470	136	138	162	65	106	125	239	103	279	325	262	178	122	227	45	55	20	84	601	344	665	403	313	85	125	314	212	180	251	245	147	124	299	246	337	434	193	110	103	182	201	284	141	44	85	101	110	85	"''NM_001014565.2''"	"''vn CT29452 ddd Dm vn Dmel\CG10491 l(3)10567 l(3)10568 l(3)ddd l(3)L6A l(3)rF264 l(3)vn10567 P1749 Vein Vn wvn CG10491 Dmel_CG10491''"	13.3033790187469	13.237619737628	11.7835531466291	11.3054992226932	13.0581692718921	13.0508944280355	11.7614567384981	11.5247107995039	12.6873446983367	12.6491846202401	12.6762916612196	12.9349615701897	12.3578856288704	12.2369750141235	12.8133743807564	13.0230577113737	12.6721357566911	13.0185154044529	12.9597575902558	13.1126334584131	12.7863721684519	12.7123122656805	13.4929615176241	13.1642437495066	12.6557526586039	13.2123819838198	11.4541155133518	12.0440844307224	13.2858936335738	12.8558398074278	11.8101403386692	11.0426356487333	12.7002147014209	12.1742237943911	11.5366447147449	11.700250152002	12.9554862004144	13.0730470045855	12.3293727326728	12.3513924234828	12.9033621435413	12.73782507178	12.0828580520778	11.7759369993484	12.2809717933165	12.3164406304086	12.2606266295006	12.5932041601696	"CG10491"	"vn"	"protein_coding"	139.169319376404	2.95169801664837	0.528771306831032	5.58218265347666	2.37518737229752e-08	0.000183528182584047	31.6422055046097	246.696433248199	-2.96281479098984	11.5445261846611	12.8056266157047	12.6682646592884	13.2704993781875	0.0155589369471748	-0.20101369872911	0.149568887205741	11.643083769001	12.918216046065	12.297430321497	13.0545318499638	0.0710499727496647	-0.165077503113906	0.149933634560579	-0.0126290035445859	-0.0122642561897477
"FBgn0020307"	"NM_057893.5"	"2R"	22270917	22271117	500	"+"	41	44	50	63	133	223	555	484	696	941	735	641	164	103	111	33	160	151	229	100	344	386	331	226	51	255	36	34	32	125	286	168	578	308	383	111	238	493	368	188	304	254	219	149	445	349	503	530	89	70	16	29	123	120	63	19	66	71	68	39	"''NM_057893.5''"	"''dve CG5799 Dmel_CG5799''"	11.2525979147354	11.2810697006182	10.96024641711	11.0108431755691	11.8363573728404	11.6738417239546	11.4101293603188	11.0952865922363	11.2521097068212	11.2874015909222	13.0408318233639	13.3018225062552	11.2759928039702	11.3576980505219	13.0442648340359	13.0683513926258	11.4301656254744	11.5715049789332	12.1023212730367	12.4026869777242	11.3838248355152	11.356643069587	12.3686169106027	12.0400040834446	11.4898530997785	11.9905489821617	12.263192853544	12.7237402824328	12.3540412073977	12.1142926399037	12.4784469252027	12.3419579830832	12.087002552181	11.6922990995024	12.8365331351669	13.1751125108234	11.6850927992621	11.568082039611	13.037530143434	13.0713393166512	11.7300995809439	11.7545230598503	12.3020375704698	12.0181627896224	12.2985572575246	12.0669017398361	13.1007405109	13.4537964777869	"CG5799"	"dve"	"protein_coding"	179.574477536322	2.68983613220879	0.478555336255716	5.62074211365909	1.90138919169105e-08	0.000183528182584047	47.9219096284277	311.227045444217	-2.69921013112259	10.9855447963395	13.1713271648096	11.2697556488717	11.2668338076768	0.224944485969372	-0.0364757301841444	0.261794303442447	11.2527079762776	13.0563081133309	11.3168454272461	11.7550995483975	0.206275146009473	-0.0630145272092981	0.214474779371853	0.0126537125585525	-0.0346658115120415
"FBgn0085421"	"NM_165490.2"	"2R"	6788823	6789023	500	"-"	9	33	30	36	35	39	124	51	76	114	351	242	140	111	101	56	166	124	183	97	351	233	363	261	20	108	35	138	24	46	133	51	95	69	264	50	104	219	94	84	131	129	234	78	354	250	348	390	52	100	76	67	85	50	103	47	57	61	65	53	"''NM_001273808.1,NM_165490.2''"	"''Epac CG3427 CG34392 Dmel_CG34392''"	11.0135356304105	10.643490719814	10.5781252303918	10.0764640569549	11.6486950851189	11.4659772146534	10.2546007027155	10.4242680219256	11.285735350482	11.346570982094	12.6872308757667	12.6488293552967	11.6070024137729	11.7049689268757	11.9899750355782	12.1670252531141	11.190099017356	11.5595430331769	11.280352758156	11.3656677597926	11.3815201239079	11.4284482664316	11.37228185727	11.1383696688557	11.3395349407035	11.5780649605296	11.3604143438654	12.2528289868082	11.758599122972	11.6233712355757	11.5267905429048	11.6437383070312	11.8786716572322	11.8076372263511	12.9996245733134	12.9154895788399	11.3939162800224	11.483545533663	11.1896678906939	11.4034110547375	11.4952709225987	11.4750919406292	11.2253603983992	11.4346720816765	12.2767747323561	12.0650717966698	11.7097081784347	11.9931917092842	"CG34392"	"Epac"	"protein_coding"	100.615171958303	3.01870789003064	0.540777938631891	5.58215798830041	2.37552433391409e-08	0.000183528182584047	22.1974624559206	179.032881460686	-3.01175791271028	10.3272946436734	12.6680301155317	11.316153166288	10.8285131751122	0.162808593050599	-0.0683727924278659	0.29472982942405	10.3394343623205	12.0785001443461	11.6559856703243	11.5573361498862	0.0513703092940717	-0.160651646872545	0.224284055645748	0.0687508839968204	-0.00169488978148148
NA	"NM_078536.4"	"X"	8650481	8650681	500	"-"	33	38	25	48	97	120	691	599	722	793	683	639	83	58	100	99	54	45	163	76	174	217	192	179	33	182	65	60	11	73	365	211	563	326	303	84	262	483	463	376	411	306	243	143	325	261	252	363	749	229	256	300	174	332	387	125	139	220	193	156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	133.11440592319	3.24696994641547	0.590491789690168	5.49875544945199	3.82481146485058e-08	0.000233224667182119	25.1171060058123	241.111705840568	-3.26295954316633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0004666"	"NM_169495.4"	"3R"	13057754	13057954	500	"+"	20	7	50	57	19	30	488	705	532	775	522	346	89	65	37	99	60	43	262	93	181	284	187	194	30	166	13	23	2	35	415	205	605	264	195	70	103	341	165	188	240	205	116	144	350	289	386	394	249	86	216	234	160	559	377	169	277	351	456	337	"''NM_169495.4,NM_079616.4''"	"''sim CG7771''"	10.7172564901119	10.9262222621412	9.97921893641377	9.55500692222553	10.4876441363439	10.5060879343239	9.58291678666928	9.7428547622066	10.4911059669356	10.5712393019591	11.7428674259985	11.8505074607748	10.639600568425	10.80077236849	11.8147927171654	12.0226430596421	10.3146441920242	10.5561267220102	10.5246689193999	10.5845736112949	10.1562281082531	10.3512635498772	10.5246483306937	10.4876996576349	10.2042888228413	10.4538526621561	10.6411241643972	10.5489729314098	10.1471623475788	10.5695712107564	10.8975035078294	10.6979090005957	9.8065898276283	10.0780529242172	10.4925195858887	10.5445499804346	10.421725367926	10.4916854815353	9.46046070420149	10.1052894930005	10.4938951162376	10.353642968599	10.1183182431892	10.4854674845859	10.2410802370177	10.1449811610868	9.7616957889779	9.70030230990779	"CG7771"	"sim"	"protein_coding"	93.6664915244726	3.99209674506441	0.728739300043124	5.47808625777171	4.29950540702578e-08	0.000239106991258525	10.8205471632284	176.512435885717	-4.02792447075626	9.76711292931965	11.7966874433867	10.5311726344473	10.8217393761266	0.163715714158753	-0.147928319252847	0.27237771931619	9.66288577443794	11.9187178884037	10.7201864684575	10.4968660353339	0.152899051153784	-0.119432645882406	0.302703039142457	-0.014847249644789	0.0154780701814783
