"FBgn"	"RefSeqID"	"Chr"	"Start"	"End"	"Score"	"Strand"	"IC_4_6_K4me3_1"	"IC_4_6_K4me3_2"	"IC_6_8_K4me3_1"	"IC_6_8_K4me3_2"	"IC_8_10_K4me3_1"	"IC_8_10_K4me3_2"	"VC_4_6_K4me3_1"	"VC_4_6_K4me3_2"	"VC_68_K4me3_1_1"	"VC_68_K4me3_2_1"	"VC_810_K4me3_1_1"	"VC_810_K4me3_2_1"	"IC_4_6_K27ac_1"	"IC_4_6_K27ac_3"	"IC_6_8_K27ac_1"	"IC_6_8_K27ac_3"	"IC_8_10_K27ac_1"	"IC_8_10_K27ac_2"	"VC_4_6_K27ac_1"	"VC_4_6_K27ac_2"	"VC_68_K27ac_1_1"	"VC_68_K27ac_2_1"	"VC_810_K27ac_1_1"	"VC_810_K27ac_2_1"	"IC_4_6_K79me3_1"	"IC_4_6_K79me3_2"	"IC_6_8_K79me3_1"	"IC_6_8_K79me3_2"	"IC_8_10_K79me3_1"	"IC_8_10_K79me3_2"	"VC_4_6_K79me3_1"	"VC_4_6_K79me3_2"	"VC_68_K79me3_1_1"	"VC_68_K79me3_2_1"	"VC_810_K79me3_1_1"	"VC_810_K79me3_2_1"	"IC_4_6_K4mono_1"	"IC_4_6_K4mono_2"	"IC_6_8_K4mono_1"	"IC_6_8_K4mono_2"	"IC_8_10_K4mono_1"	"IC_8_10_K4mono_2"	"VC_4_6_K4mono_1"	"VC_4_6_K4mono_2"	"VC_68_K4mono_1_1"	"VC_68_K4mono_2_1"	"VC_810_K4mono_1_1"	"VC_810_K4mono_2_1"	"IC_4_6_K27me3_1"	"IC_4_6_K27me3_2"	"IC_6_8_K27me3_2"	"IC_6_8_K27me3_3"	"IC_8_10_K27me3_1"	"IC_8_10_K27me3_2"	"VC_4_6_K27me3_1"	"VC_4_6_K27me3_2"	"VC_68_K27me3_1_1"	"VC_68_K27me3_2_1"	"VC_810_K27me3_1_1"	"VC_810_K27me3_2_1"	"All_RefSeq"	"Gene"	"4-6h_Ind-neg_1"	"4-6h_Ind-neg_2"	"4-6h_Ind-pos_1"	"4-6h_Ind-pos_2"	"6-8h_Ind-neg_1"	"6-8h_Ind-neg_2"	"6-8h_Ind-pos_1"	"6-8h_Ind-pos_2"	"4-6h_Vnd-neg_1"	"4-6h_Vnd-neg_2"	"4-6h_Vnd-pos_1"	"4-6h_Vnd-pos_2"	"6-8h_Vnd-neg_1"	"6-8h_Vnd-neg_2"	"6-8h_Vnd-pos_1"	"6-8h_Vnd-pos_2"	"4-6h_Pros-neg_1"	"4-6h_Pros-neg_2"	"4-6h_Pros-pos_1"	"4-6h_Pros-pos_2"	"6-8h_Pros-neg_1"	"6-8h_Pros-neg_2"	"6-8h_Pros-pos_1"	"6-8h_Pros-pos_2"	"6-8h_Elav-neg_1"	"6-8h_Elav-neg_2"	"6-8h_Elav-pos_1"	"6-8h_Elav-pos_2"	"8-10h_Elav-neg_1"	"8-10h_Elav-neg_2"	"8-10h_Elav-pos_1"	"8-10h_Elav-pos_2"	"18-22h_Elav-neg_1"	"18-22h_Elav-neg_2"	"18-22h_Elav-pos_1"	"18-22h_Elav-pos_2"	"6-8h_Repo-neg_1"	"6-8h_Repo-neg_2"	"6-8h_Repo-pos_1"	"6-8h_Repo-pos_2"	"8-10h_Repo-neg_1"	"8-10h_Repo-neg_2"	"8-10h_Repo-pos_1"	"8-10h_Repo-pos_2"	"18-22h_Repo-neg_1"	"18-22h_Repo-neg_2"	"18-22h_Repo-pos_1"	"18-22h_Repo-pos_2"	"CGID"	"Symbol"	"Biotype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Norm_avrg_A"	"Norm_avrg_B"	"log2FC_norm_count"	"IC_46_pos_mean"	"VC_46_pos_mean"	"VC_46_neg_mean"	"IC_46_neg_mean"	"VC_46_log2FC_over_neg"	"IC_46_log2FC_over_neg"	"Tissue_46_log2FC_VCvsIC_VST"	"IC_68_pos_mean"	"VC_68_pos_mean"	"VC_68_neg_mean"	"IC_68_neg_mean"	"VC_68_log2FC_over_neg"	"IC_68_log2FC_over_neg"	"Tissue_68_log2FC_VCvsIC_VST"	"Temp_VC_46vs68"	"Temp_IC_46vs68"
NA	"NR_124670.1"	"2R"	20780495	20780695	500	"-"	376	393	569	846	639	34	276	201	224	255	608	465	1201	779	864	552	1171	316	994	450	2407	1433	2501	1158	393	2718	701	515	1019	63	554	340	403	424	743	141	1258	1961	1013	611	1050	201	794	373	2158	1136	2811	2583	1373	752	757	1351	1420	294	1151	613	896	585	1178	802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	649.546051833428	1.86044769141293	0.118002809027321	15.7661305417076	5.32115511367193e-56	3.44780204386552e-10	280.676130292443	1018.41597337441	-1.85934867031592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"NR_001819.1"	"2R"	19739128	19739328	500	"-"	91	190	169	258	179	23	125	113	159	129	311	303	981	859	1094	362	853	238	1726	721	2356	1971	1942	1447	124	1229	174	201	197	31	309	193	225	240	370	93	762	1446	821	637	764	182	990	550	2251	1590	2173	2326	534	341	207	495	493	66	549	231	408	470	427	306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	220.818608159659	2.58708978085009	0.208744435076513	12.3935748509982	2.83134609197194e-35	2.82957768718006e-06	63.0089272085075	378.62828911081	-2.58715405402618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"NR_001820.1"	"2R"	19739504	19739704	500	"-"	109	212	203	281	88	30	109	110	159	124	268	246	1079	902	1139	422	1019	255	1598	618	2069	1662	1778	1291	167	1190	202	213	190	57	339	211	202	220	372	97	915	1302	912	744	888	181	1004	522	1984	1380	2023	2308	486	336	220	437	592	72	531	219	369	405	397	322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	221.998017894473	2.44591659423082	0.208337215349921	11.7401808895386	7.93166232690892e-32	1.39346363511687e-05	68.73701150019	375.259024288756	-2.44872773272483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0031128"	"NM_001169341.2"	"X"	20675041	20675241	500	"-"	1	32	26	10	1	1	13	20	22	15	30	20	69	81	135	17	66	17	85	33	125	169	138	83	54	115	24	5	17	30	67	45	48	46	33	30	41	103	46	30	60	37	96	40	272	165	205	175	342	34	46	75	25	115	526	339	340	225	422	260	"''NM_001169341.2,NM_001258853.1,NM_134561.7''"	"''hydra Dmel\CG1338 CG1338 Dmel_CG1338''"	8.96506424540017	8.92126867460077	9.25472775127093	9.05806762759758	8.73080867515261	9.06348836138253	9.0329864962532	9.17710362359681	9.154824229045	9.60074653768322	9.64814644749024	9.46872630688797	9.66092156083333	9.70074983396586	9.66899920604514	9.65234968840555	9.37566009893153	9.21048119176334	9.37340663960279	8.9806298487898	9.15874219663731	9.02527819051052	8.74532639682589	9.41310495141069	9.11294195134415	8.65618591955091	8.99423065945715	8.73502187294952	8.85236390789593	9.61158494312309	8.73019913179824	9.57933655484736	8.81053953845802	9.87332612745825	9.44038836053801	9.28679860895125	8.89494065633539	8.88101045576298	8.65618591955091	9.42951625876786	9.10758996813461	9.46244661367409	9.20889442934479	9.81083423580436	9.3020675806597	9.46566236152138	9.24449202708309	9.25832089765094	"CG1338"	"hydra"	"protein_coding"	228.85189117851	1.66755323220857	0.194033926032802	8.59413230615488	8.38963163958455e-18	0.0111173619259925	109.788282257248	347.915500099771	-1.66401287117835	9.15639768943426	9.5584363771891	9.37778538336411	8.94316646000047	0.0275273708992802	0.0339943954482427	0.0619945085668747	9.105045059925	9.66067444722534	9.68083569739959	8.89714851826757	-0.00300768098889815	0.0333231217554891	0.0854577554574673	-0.0153492790915085	0.00811396779908407
NA	"NR_001887.1"	"2R"	19764223	19764423	500	"-"	68	106	126	186	135	18	75	96	95	94	175	184	720	639	684	306	667	194	1081	457	1491	1239	1432	776	78	746	127	132	143	42	211	134	140	155	213	67	655	954	634	409	612	141	718	402	1326	1016	1492	1615	337	255	112	347	386	50	376	182	288	255	248	170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	131.427383890003	2.17305806946747	0.258561740848295	8.40440686366844	4.30029413092213e-17	0.0126840456821264	47.7340357640209	215.120732015985	-2.17205634752491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0000320"	"NM_001258984.1"	"2L"	6530309	6530509	500	"-"	12	38	26	48	13	4	12	11	29	28	29	49	162	156	105	7	104	68	258	104	334	265	218	153	81	312	139	117	163	118	134	74	78	139	79	16	86	235	161	76	161	63	231	76	297	218	351	293	370	219	262	396	190	189	349	234	297	355	536	352	"''NM_001258984.1''"	"''eya 24582246 BcDNA:LD16029 CLI cli CLIFT del1 dEYA Dmel\CG9554 eay ey-2 EY2-1 EYA Eya CG9554 Dmel_CG9554''"	12.4813262650934	12.4457138952095	12.1081191016698	12.1824876857699	12.4799118256024	12.525313218952	11.8574487786585	11.7616089183257	11.7324886482938	11.7713411734985	10.9728516036986	10.8615753158041	11.9144493591697	12.2048549207571	11.0820306054435	11.1143373919824	11.6693073629682	11.8845043250963	11.571123913614	11.457190641707	12.4779121172778	12.8306411635098	11.7844642723289	11.5651330028027	12.5821013667125	12.0191363712752	11.494760484597	11.3713074858056	12.1029486787421	11.7809066065894	11.3851679493538	10.8800747779793	10.4805183308748	10.4541075948421	10.9437566316386	10.7993139487124	12.7762033637124	12.6593064371804	11.5303755982081	11.4250472641977	12.0973258585304	11.8061989051611	11.0851862615441	10.8928098679294	10.8175014392948	10.5363584045157	10.3691235227029	10.6203336592406	"CG9554"	"eya"	"protein_coding"	317.910004950496	1.33777084845894	0.160657580070959	8.32684550500556	8.30249814676723e-17	0.0128988522151906	180.434655187999	455.385354712994	-1.33561143837321	12.1453033937198	10.9172134597514	11.7519149108962	12.4635200801515	-0.106291189581767	-0.0373130577931763	-0.153793863718544	11.8095288484921	11.0981839987129	12.0596521399634	12.5026125222772	-0.11986466638432	-0.0822781809171195	-0.0896277813089084	-0.0237189612831679	0.0404471211264676
NA	"NR_001824.1"	"2R"	19740974	19741174	500	"-"	57	102	105	182	85	4	78	69	83	51	150	163	611	551	690	223	522	184	782	331	1073	945	1085	692	94	604	107	115	106	39	198	112	93	123	166	75	511	689	472	363	494	131	581	280	1121	764	1133	1214	285	225	116	311	327	56	268	103	221	222	272	165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	138.055361862105	2.06199804752072	0.25386336735786	8.12247182010319	4.56783584154711e-16	0.0169363849852772	53.4621200557034	222.648603668507	-2.0581796096934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0025776"	"NM_206365.3"	"3L"	15043724	15043924	500	"-"	86	92	162	226	476	295	162	187	141	67	113	169	218	221	371	117	254	266	146	89	330	178	340	154	400	644	475	307	417	571	83	45	72	83	60	31	383	837	749	391	630	506	1076	302	1635	1469	1192	1146	619	100	652	330	394	652	1717	1379	1131	960	1233	862	"''NM_206365.3''"	"''ind Dmel\CG11551 Gsx Ind CG11551 Dmel_CG11551''"	10.6881232509834	10.8408047949551	12.3521822551772	12.7369219451402	10.0163674600662	9.85152054390754	13.463713166776	13.3251498468251	10.2854091377101	10.1382411351415	10.069542897871	10.1576917200963	10.2296370592803	10.3149472258295	10.016422846838	9.95616197789539	10.029607226435	9.78795411456179	11.1421285876132	11.3566501298046	9.56623935997872	9.66418010724779	11.4826877542997	11.4748709209352	9.81562530371365	9.8374223801074	10.5314358798391	10.2687202588116	9.44490258188632	9.69916097789916	10.6956533392814	10.3207792273344	9.45093854516637	9.94367061497354	10.056192477255	9.64308901843732	10.0306336859201	10.1262527642975	9.96528296866221	9.78621484918005	10.3349420728654	10.1324125500228	9.86614910410982	9.93693405451065	9.71201655749028	9.74327246839897	9.63883122782576	9.68621129357498	"CG11551"	"ind"	"protein_coding"	851.195452986007	0.795499714902058	0.0989661473008657	8.03809925512882	9.12427115310972e-16	0.0170105204254777	622.451826362832	1079.93907960918	-0.794915839284726	12.5445521001587	10.1136173089837	10.2118251364258	10.7644640229692	-0.0139416446758277	0.220784473048435	-0.310761866421315	13.3944315068006	9.98629241236669	10.2722921425549	9.93394400198687	-0.0407370817091931	0.431194831506146	-0.423612294398329	0.0182780377162108	-0.094572390260804
NA	"NR_133544.1"	"X"	23280077	23280277	500	"-"	642	931	862	1095	716	406	493	615	736	862	1894	1673	2135	1139	1246	1390	807	887	1531	561	1798	1583	1615	1555	871	9255	873	759	1769	830	1955	941	1507	1403	2339	701	742	1603	494	964	1326	768	600	639	2372	1155	2798	2575	1329	730	432	1675	1203	889	2598	737	2196	1350	1891	1087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1179.68335515832	0.835494016958153	0.103896391625026	8.04160764286739	8.86674078927456e-16	0.0170105204254777	848.711155884291	1510.65555443235	-0.83182920195446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0025726"	"NM_001297788.1"	"4"	912131	912331	500	"-"	11	40	78	52	26	19	36	47	43	47	116	102	131	107	105	35	144	112	226	122	347	216	216	180	73	397	50	58	34	51	109	75	65	81	138	36	90	195	150	110	116	110	150	111	397	280	359	347	255	61	158	304	255	68	409	238	245	189	250	207	"''NM_001297788.1''"	"''unc-13 Dmel\CG2999 drunc13 DUNC-13 Dunc-13 dUNC-13 dUnc-13 dunc-13 Dunc13 l(4)ry16 Munc-13 unc UNC-13 Unc-13 UNC-13-B CG2999 Dmel_CG2999''"	13.4719897881967	13.318669499358	13.7114109651139	13.9051897504259	14.1209603574425	13.845375786531	14.489020545185	14.1044775992001	13.6928009783015	13.5622293719631	14.3053498979591	14.5613454120656	13.4782688749265	13.3598603304377	13.8932176950803	13.9785106344886	13.7702995588215	13.7982783489977	14.4477768034381	14.4959466931454	14.1686515632156	13.7960124202224	14.6474253190356	14.1756366075141	13.6035768824257	14.1526337110732	15.4613238598652	16.4105023286202	14.0299348558847	13.6975403844329	15.46096091235	14.9824770749479	13.896161461561	13.4218144389143	16.7950741744996	16.9107301495924	13.9665599840548	14.0780710029944	14.3964261136957	13.8065737471248	13.6725484622717	13.51403236048	13.8725402062739	13.6859283041924	15.5023275556811	15.0067084786885	14.9872272917428	14.7961026794194	"CG2999"	"unc-13"	"protein_coding"	151.923847115936	1.87634398731104	0.238544579439203	7.86580014403244	3.66745653532586e-15	0.0213699278821331	64.9182886390684	238.929405592804	-1.87988754701975	13.8083003577699	14.4333476550124	13.6275151751323	13.3953296437773	0.0828834289350127	0.0438056667378303	0.0638702043309849	14.2967490721926	13.9358641647845	13.4190646026821	13.9831680719867	0.0545183572440735	0.0319958714542252	-0.0368846639497066	0.0506034888383222	-0.0501513794423691
