chr	start	end	name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr2L	5447	6142	chr2L.5911	1093.76508285902	-0.271472410129801	0.0980160668377415	-2.76967255357434	0.00561126730635096	0.026373713851467
chr2L	6535	6930	chr2L.6669	433.066043416941	-0.166747134699046	0.132122835851642	-1.26206142658248	0.20692668388076	0.371824931274667
chr2L	7394	8677	chr2L.7919	1666.62934032329	-0.20088891332654	0.0939924642850021	-2.13728743952716	0.0325746198352438	0.0992670553907051
chr2L	11953	12235	chr2L.12145	229.235046284071	-0.240360007603992	0.165361039829805	-1.45354678376102	0.146072000080231	0.293066167775412
chr2L	12347	12566	chr2L.12468	203.988306307826	-0.317852356105383	0.177402746471869	-1.79169918406976	0.0731811653213744	0.18003135468082
chr2L	13477	15749	chr2L.14805	1638.79202515062	-0.318473179881806	0.0887710836311652	-3.58757792351651	0.000333764002155336	0.00282220059260248
chr2L	18868	19070	chr2L.18930	127.369071427437	0.190356571491178	0.190848752511788	0.997421093855043	0.31856015672632	0.498307090042581
chr2L	21693	23625	chr2L.22392	1321.428611584	0.0222343280467718	0.0959405301937313	0.231751148361119	0.81673130201271	0.893461252698638
chr2L	26419	27620	chr2L.26914	1565.64103356151	-0.388606004566368	0.0919633192406826	-4.22566309888537	2.38238197438157e-05	0.000317951533936032
chr2L	27720	29090	chr2L.28236	2377.40173095778	-0.322483969589008	0.0871728203334854	-3.69936372776886	0.000216140655484286	0.00198685335881314
chr2L	30334	30739	chr2L.30587	350.423472504227	0.322399547842852	0.141713992841793	2.27500151098539	0.0229058391907705	0.0762970986582792
chr2L	33776	34453	chr2L.34219	1152.84124025845	-0.197744516201522	0.0984939394159549	-2.00768207032939	0.0446770871150144	0.125746595905055
chr2L	35507	36676	chr2L.36054	1767.03500269676	-0.134565105827978	0.0909663427485664	-1.47928455472724	0.139064279085583	0.283368012683499
chr2L	41952	42444	chr2L.42204	302.533908417692	0.184547008539072	0.145117656297304	1.27170609867754	0.203477562913241	0.367253794700785
chr2L	43045	43679	chr2L.43328	413.06932892602	-0.04759895746071	0.132493798396764	-0.35925422953134	0.719404911359137	0.829085683649898
chr2L	44000	44315	chr2L.44129	168.424478466173	-0.478925307981907	0.179842480173366	-2.66302659705442	0.00774412928292392	0.0338122401509027
chr2L	45383	45570	chr2L.45476	83.1814984574702	-0.322008533370381	0.214733898325728	-1.49957009992865	0.133725797694249	0.275656057073559
chr2L	53424	54006	chr2L.53782	350.72526493628	-0.158858494230185	0.138719666102483	-1.1451764460911	0.252136073298243	0.426914653469664
chr2L	54930	55437	chr2L.55348	225.190503794212	-0.00482265912800869	0.166707676965649	-0.0289288364866509	0.976921347051406	0.987414823073006
chr2L	55615	55731	chr2L.55686	51.2930106923144	-0.271442999323853	0.232181546952898	-1.16909807384012	0.242364119883166	0.415189607669957
chr2L	55803	55944	chr2L.55855	56.4229899054687	-0.337245738546112	0.230075970920877	-1.46580165323779	0.142702330552302	0.288547184185162
chr2L	57219	57538	chr2L.57278	143.467330787299	0.0459180690924741	0.184281859982154	0.249173028191277	0.803226941938537	0.88421430619282
chr2L	57610	57845	chr2L.57695	126.550087547827	0.199758649650081	0.190217654762967	1.05015830364959	0.293645336436968	0.47189612022726
chr2L	57876	58363	chr2L.58035	240.832890815816	0.0496226678747623	0.158420333684572	0.313234208769975	0.754102730340785	0.851955840593138
chr2L	59128	59487	chr2L.59256	258.691003478321	0.691977827405221	0.158228599031957	4.3732791141345	1.22394077011162e-05	0.000180805022529554
chr2L	65634	66006	chr2L.65907	601.193526191093	-0.235680989910409	0.133222350417379	-1.76907995671921	0.0768805322397901	0.186805676042473
chr2L	66384	67564	chr2L.66937	4189.92693447573	-0.0780837754312788	0.0856248037507635	-0.911929394414321	0.361805886672078	0.541940272195612
chr2L	72076	72782	chr2L.72382	609.794743709794	0.328669554678727	0.11914914069489	2.75847188458006	0.00580723004409089	0.027084524182529
chr2L	72951	73805	chr2L.73439	671.243911810991	0.323476216350912	0.120788856271597	2.67803029464546	0.00740565198447419	0.0326221136681258
chr2L	75108	75859	chr2L.75316	448.440416623211	0.128652690068544	0.12981467118439	0.991048923012748	0.321661691896199	0.501412754890577
chr2L	78854	79269	chr2L.78986	325.448698916189	-0.174774232249439	0.141680644300925	-1.23357875108349	0.217359915020504	0.384535423848202
chr2L	81163	81353	chr2L.81267	119.302650537074	-0.209414316630453	0.197457003962974	-1.06055653852482	0.28889148278148	0.467440940175313
chr2L	83281	83406	chr2L.83357	64.7540997264832	-0.0898310657944276	0.223253953402824	-0.402371668788962	0.687410517138748	0.80674356945458
chr2L	83409	83604	chr2L.83507	102.26139370945	-0.180019469779668	0.205887129732733	-0.874359995271948	0.381922236175899	0.561829515380126
chr2L	86348	86494	chr2L.86404	117.242960158317	-0.239528446908185	0.19857337384362	-1.20624654892965	0.227722440489678	0.397814421409873
chr2L	87120	87594	chr2L.87433	929.932853300389	-0.139441688740072	0.102703102489119	-1.35771642102871	0.174553684171292	0.330805182365313
chr2L	87620	87897	chr2L.87734	423.737465382466	-0.338339718775038	0.130873090368313	-2.58525047298003	0.00973082788110271	0.0401887231572292
chr2L	88550	88672	chr2L.88586	70.4088756286525	0.0325929265669924	0.223044010496777	0.146127782110802	0.883820514865285	0.933753508478861
chr2L	88693	88834	chr2L.88738	94.5009784946788	0.0175173430397373	0.214197003041246	0.0817814572147124	0.934820501673219	0.964277953228399
chr2L	90155	90490	chr2L.90341	182.997767334578	-0.895975055187189	0.176483081324153	-5.0768325692451	3.83778772369194e-07	8.97771557570311e-06
chr2L	90834	91994	chr2L.91479	1310.82532645495	-0.746905549881435	0.09879773521949	-7.55994606781321	4.03236519636797e-14	3.54301160297908e-12
chr2L	92130	92296	chr2L.92176	138.430923692685	-0.558412891021893	0.187331443348684	-2.98088180521039	0.00287419701636516	0.0157032188106745
chr2L	94601	94882	chr2L.94737	437.794245702143	0.0413897278892235	0.12814161523537	0.322999892058479	0.746695323811325	0.847295072684626
chr2L	94889	95537	chr2L.95029	632.149953251602	-0.0715189529005536	0.119576675970887	-0.598101195905181	0.549772412350019	0.705288352434989
chr2L	102105	103000	chr2L.102412	1251.35744636771	-0.187707662345699	0.10274218849541	-1.82697745779559	0.0677031587987007	0.170254250814393
chr2L	106236	106404	chr2L.106307	177.967299185904	0.00595593886735895	0.173090687267517	0.034409354780329	0.972550723854513	0.985428910164785
chr2L	106448	106666	chr2L.106526	332.707663191192	0.114399158130149	0.159919724789483	0.715353645591519	0.474390547880364	0.641728991263321
chr2L	106683	106854	chr2L.106781	316.568091904209	-0.152165907766986	0.157674960358362	-0.965060700958128	0.334514409237205	0.514082423332812
chr2L	107723	108402	chr2L.107898	1974.42890617484	-0.0154068977697316	0.0848204883255715	-0.181641229305287	0.855864290731564	0.916579056049918
chr2L	108570	109653	chr2L.109375	2212.66873410137	0.0139319987899966	0.0935759217686671	0.148884440854758	0.881644818769241	0.932499929261778
chr2L	114512	115657	chr2L.114984	1197.84297037304	-0.244600257037221	0.0952321494579442	-2.56846304981533	0.0102150601830816	0.0417001423537113
chr2L	115674	116275	chr2L.115906	452.660554697977	0.154515777404376	0.12659349315914	1.22056650423679	0.222250195097851	0.390655981576451
chr2L	120533	120947	chr2L.120653	284.153166888184	0.19068813103657	0.148897998900511	1.28066281914227	0.200312124698433	0.362996306756284
chr2L	121061	121276	chr2L.121159	134.289943579565	0.208710096997426	0.190733535829752	1.09424960896085	0.273845519255683	0.451086359206845
chr2L	121310	121931	chr2L.121574	598.163631764235	0.433446894028622	0.120104036332236	3.60892861943129	0.000307464188073285	0.00264314815753248
chr2L	123329	123638	chr2L.123477	174.167289403355	0.0185878933664703	0.173730155992985	0.106992900917103	0.91479461167415	0.952728623951544
chr2L	124153	124977	chr2L.124658	815.957432717081	-0.318068403874716	0.106910292128566	-2.97509620020699	0.00292896679663774	0.0159461517175041
chr2L	128225	129631	chr2L.129227	2612.02471301185	0.635928471886489	0.0866103002587481	7.34241158368755	2.09779105002803e-13	1.6366883506003e-11
chr2L	131177	131337	chr2L.131240	121.926662044191	0.0758247255954949	0.195466656416708	0.387916420045815	0.69807788635372	0.81415059393412
chr2L	131444	131715	chr2L.131621	294.716804602219	0.330637964761364	0.147245613388226	2.24548600907796	0.0247369494131845	0.0807356751822625
chr2L	131735	132309	chr2L.131941	948.914480010979	0.45795994450153	0.102524544039487	4.46683229651962	7.93863125275303e-06	0.000124431455420895
chr2L	134597	134922	chr2L.134778	327.067275319595	0.112783871095266	0.146605037172771	0.769304201753669	0.441712743458332	0.614030730962319
chr2L	138143	138597	chr2L.138320	470.563039303971	-0.0255715105285571	0.12797431320756	-0.19981752499881	0.84162329475725	0.908699989490006
chr2L	138839	139073	chr2L.139051	137.615429464248	-0.0574318273526371	0.188508304025653	-0.304664707740522	0.760621531603833	0.856675758987528
chr2L	139747	139957	chr2L.139858	152.446973681856	-0.0785243307385436	0.182196795679261	-0.430986343342601	0.666478300463324	0.791644065067442
chr2L	141219	141607	chr2L.141417	257.020680240188	-0.238149708194836	0.156317944502784	-1.52349564825933	0.127634748614446	0.266992914243947
chr2L	142907	144167	chr2L.143287	1886.02509741863	-0.0331475210394593	0.0883856237841209	-0.375032947896833	0.707635963119394	0.821188851734261
chr2L	150563	151065	chr2L.150752	433.046990535772	0.310737347240218	0.130923162849955	2.37343293941302	0.0176235929941623	0.0627540112339186
chr2L	155163	156233	chr2L.155792	2316.97167564465	-0.106637454330662	0.0847643030029005	-1.25804673138188	0.208374856255827	0.373527150939216
chr2L	158629	158758	chr2L.158694	506.480250879551	-0.302382674617887	0.127284863221251	-2.37563734575631	0.0175186712756218	0.06253332705881
chr2L	158825	159298	chr2L.158992	2085.59201844129	-0.151787243264068	0.0895191777017201	-1.69558352926147	0.0899647791775897	0.20942657705252
chr2L	160430	161323	chr2L.160885	5863.32068076404	0.233801603068745	0.0801860544201717	2.91573896183536	0.00354847253235166	0.0185606770786086
chr2L	161346	162314	chr2L.161874	9927.69406926614	0.270069266440743	0.0760334725687049	3.55197858675605	0.000382345974503251	0.00314739388084547
chr2L	165376	165988	chr2L.165743	2563.00753054335	-0.181395692804819	0.0889737418246214	-2.0387553573095	0.0414744498437716	0.118919894121739
chr2L	166053	167136	chr2L.166746	5349.93093769642	-0.171954960526604	0.0770833201044925	-2.23076743831877	0.0256965378804217	0.0831079504857624
chr2L	171462	172036	chr2L.171718	1537.75286497545	0.0949008964790663	0.0903496365509125	1.05037385983937	0.293546259088443	0.471879478152014
chr2L	172604	172792	chr2L.172693	214.811122657755	-0.303475014573238	0.176100326256933	-1.72330750898475	0.0848329305784714	0.20066680385581
chr2L	172830	173335	chr2L.173014	704.100062837497	-0.0984184087194021	0.110937198242648	-0.887154266363709	0.374995851011919	0.555247431727977
chr2L	175746	176040	chr2L.175875	299.130155815127	-0.0450259388594923	0.145384394725622	-0.309702695013917	0.756787053153741	0.854118472851053
chr2L	179082	179514	chr2L.179353	635.357571124366	0.181333771722292	0.121078603596907	1.49765331227296	0.1342233478082	0.276395305818557
chr2L	180933	181915	chr2L.181626	2122.48101842352	0.246945548933175	0.0837140248993666	2.94987069645773	0.0031790694717808	0.0170482382064021
