chr	start	end	name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr2L	5447	6142	chr2L.5911	1582.14526672463	0.0820767695764738	0.0851459083453449	0.963954359892164	0.335068808305952	0.548444154142816
chr2L	6535	6930	chr2L.6669	561.17164058302	0.303783790391547	0.134194139705312	2.26376346283565	0.0235886668551418	0.0794744330369255
chr2L	7394	8677	chr2L.7919	2437.94067848274	-0.0179424852965674	0.0754015599229716	-0.237959072927629	0.81191283755312	0.907727221304823
chr2L	11953	12235	chr2L.12145	338.886018200773	0.0107107502854753	0.143757500839969	0.0745056795151062	0.94060802213035	0.972356556293934
chr2L	12347	12566	chr2L.12468	307.794010539046	0.0378917747024921	0.151612197967398	0.249925634022141	0.802644859073927	0.901864156944823
chr2L	13477	15749	chr2L.14805	2494.26803778198	-0.021779968760794	0.0768954221691235	-0.283241422524363	0.77699177728221	0.886186150142967
chr2L	18868	19070	chr2L.18930	162.337601878628	-0.0562849718659038	0.18499079459707	-0.3042582307325	0.760931164569575	0.876881080958062
chr2L	21693	23625	chr2L.22392	1819.6155969518	-0.0666284316997203	0.0808041905802391	-0.824566538211379	0.40961772530182	0.622534118329589
chr2L	26419	27620	chr2L.26914	2757.59183128234	-0.35055943044234	0.073495139032108	-4.76983151619307	1.84380069149863e-06	1.97293049021557e-05
chr2L	27720	29090	chr2L.28236	3743.20292266939	-0.113728609181479	0.071074300859669	-1.60013686812097	0.109568223671116	0.25808065403058
chr2L	30334	30739	chr2L.30587	419.463406992411	-0.0212037172421825	0.131544126834434	-0.161190907967106	0.871943041870962	0.939620900782006
chr2L	33776	34453	chr2L.34219	1676.31608186652	-0.00322498048050028	0.0812534260477262	-0.0396903938377442	0.968339960250659	0.985643894126789
chr2L	35507	36676	chr2L.36054	2662.49524453597	-0.1622697413968	0.0745917403055056	-2.17543846989213	0.0295972743102893	0.0952481665354693
chr2L	41952	42444	chr2L.42204	381.041140712831	0.000665685681845709	0.137542773309574	0.00483984484119294	0.996138377600374	0.998037490334648
chr2L	43045	43679	chr2L.43328	580.214144014868	-0.0503024811943703	0.114316350408284	-0.440028753670965	0.659916282038419	0.815161164709351
chr2L	44000	44315	chr2L.44129	275.071215367838	-0.0164024478897919	0.156346668636793	-0.104910760381446	0.916446620539908	0.961783186944235
chr2L	45383	45570	chr2L.45476	122.075610848344	0.146550781918721	0.207574422580737	0.706015606820344	0.480178431947459	0.683772837811896
chr2L	53424	54006	chr2L.53782	470.92209313109	0.191800009604215	0.123970803920883	1.54713854825544	0.121829840311554	0.278155511466073
chr2L	54930	55437	chr2L.55348	328.94525411598	-0.183117535618769	0.148989817366622	-1.22906074291083	0.219049032436778	0.416746769157212
chr2L	55615	55731	chr2L.55686	78.2543204389838	0.0414007204331184	0.226704223864354	0.182619978258059	0.855096207572216	0.930246601463319
chr2L	55803	55944	chr2L.55855	83.7283079280693	0.162202384880738	0.225974856313258	0.717789525467759	0.472887072805519	0.678095802850375
chr2L	57219	57538	chr2L.57278	184.891531648896	0.0787624040342604	0.175264047903336	0.44939281601952	0.653148312759007	0.810737553156408
chr2L	57610	57845	chr2L.57695	162.208319864957	-0.0833958217173361	0.188107913495143	-0.443340315501875	0.657519599283377	0.813473099846927
chr2L	57876	58363	chr2L.58035	297.069737137231	0.198914969938569	0.152328322858326	1.30583049958196	0.191610205639046	0.380501857811517
chr2L	59128	59487	chr2L.59256	250.102061809877	0.0712322582610291	0.162236809643	0.439063480216204	0.66061553995642	0.815376911603274
chr2L	65634	66006	chr2L.65907	885.662417522924	0.00341813853272925	0.113375440037952	0.0301488446843957	0.975948345991982	0.988763614175566
chr2L	66384	67564	chr2L.66937	5991.87492868569	-0.0731146443735659	0.0636997778243318	-1.14780061831924	0.251050882019759	0.455835737737703
chr2L	72076	72782	chr2L.72382	774.118534088906	-0.172795326955452	0.103402112146632	-1.67110055460391	0.0947018178630529	0.232112788889441
chr2L	72951	73805	chr2L.73439	828.049670260679	-0.0892940284354336	0.109003312839347	-0.819186372500795	0.412680088720653	0.625578453855249
chr2L	75108	75859	chr2L.75316	594.48310160716	-0.0728711172699289	0.116752844975735	-0.624148536038448	0.532530041228915	0.723927924171456
chr2L	78854	79269	chr2L.78986	500.567003229858	-0.160268171813244	0.125671660042963	-1.27529286840369	0.202205601011404	0.394676426417002
chr2L	81163	81353	chr2L.81267	196.781765310343	-0.261107996014518	0.175346369854616	-1.48909838413541	0.136461463256274	0.300939123996595
chr2L	83281	83406	chr2L.83357	114.589893308069	-0.472789914548435	0.204930348216432	-2.30707612934474	0.0210505764307661	0.0725286622125345
chr2L	83409	83604	chr2L.83507	204.202374100051	-0.687771625214463	0.169590778784544	-4.055477721983	5.00319411609039e-05	0.000390894714489385
chr2L	86348	86494	chr2L.86404	209.191390907866	-0.410221963140273	0.171115249257388	-2.39734310600936	0.0165144517059382	0.059528539325158
chr2L	87120	87594	chr2L.87433	1418.4597138371	-0.185563955818589	0.0869147671094768	-2.13501067758548	0.0327601379494969	0.103185358171134
chr2L	87620	87897	chr2L.87734	642.737161276324	0.020063517307897	0.111741208564356	0.179553430338474	0.857503167580502	0.931623658252515
chr2L	88550	88672	chr2L.88586	105.856127189921	-0.254832241075579	0.210646340576841	-1.20976343751208	0.226369679710991	0.42578840417276
chr2L	88693	88834	chr2L.88738	126.429778366055	0.015879008967621	0.19966067303734	0.0795299781677651	0.936611087993716	0.971092489349649
chr2L	90155	90490	chr2L.90341	523.246544014144	-1.01814492891025	0.12310476900791	-8.27055634899755	1.33335337749113e-16	7.21124109189522e-15
chr2L	90834	91994	chr2L.91479	3063.67611390644	-0.773213740354137	0.0722310098138632	-10.7047339134076	9.67080946490392e-27	1.67305003742838e-24
chr2L	92130	92296	chr2L.92176	254.68105981815	-0.236972019063343	0.156299233375708	-1.51614319498111	0.129483148055131	0.290448105241167
chr2L	94601	94882	chr2L.94737	573.973031673801	0.0507309163627268	0.120072869830661	0.422501073175587	0.672659317556725	0.822818619758782
chr2L	94889	95537	chr2L.95029	834.472366941294	0.149531688671191	0.10421845980154	1.43479081302813	0.151346716620091	0.323519577745157
