FBgn	RefSeqID	Chr	Start	End	Score	Strand	IC_4_6_K4me3_1	IC_4_6_K4me3_2	IC_6_8_K4me3_1	IC_6_8_K4me3_2	IC_8_10_K4me3_1	IC_8_10_K4me3_2	VC_4_6_K4me3_1	VC_4_6_K4me3_2	VC_68_K4me3_1_1	VC_68_K4me3_2_1	VC_810_K4me3_1_1	VC_810_K4me3_2_1	IC_4_6_K27ac_1	IC_4_6_K27ac_3	IC_6_8_K27ac_1	IC_6_8_K27ac_3	IC_8_10_K27ac_1	IC_8_10_K27ac_2	VC_4_6_K27ac_1	VC_4_6_K27ac_2	VC_68_K27ac_1_1	VC_68_K27ac_2_1	VC_810_K27ac_1_1	VC_810_K27ac_2_1	IC_4_6_K79me3_1	IC_4_6_K79me3_2	IC_6_8_K79me3_1	IC_6_8_K79me3_2	IC_8_10_K79me3_1	IC_8_10_K79me3_2	VC_4_6_K79me3_1	VC_4_6_K79me3_2	VC_68_K79me3_1_1	VC_68_K79me3_2_1	VC_810_K79me3_1_1	VC_810_K79me3_2_1	IC_4_6_K4mono_1	IC_4_6_K4mono_2	IC_6_8_K4mono_1	IC_6_8_K4mono_2	IC_8_10_K4mono_1	IC_8_10_K4mono_2	VC_4_6_K4mono_1	VC_4_6_K4mono_2	VC_68_K4mono_1_1	VC_68_K4mono_2_1	VC_810_K4mono_1_1	VC_810_K4mono_2_1	IC_4_6_K27me3_1	IC_4_6_K27me3_2	IC_6_8_K27me3_2	IC_6_8_K27me3_3	IC_8_10_K27me3_1	IC_8_10_K27me3_2	VC_4_6_K27me3_1	VC_4_6_K27me3_2	VC_68_K27me3_1_1	VC_68_K27me3_2_1	VC_810_K27me3_1_1	VC_810_K27me3_2_1	All_RefSeq	Gene	4-6h_Ind-neg_1	4-6h_Ind-neg_2	4-6h_Ind-pos_1	4-6h_Ind-pos_2	6-8h_Ind-neg_1	6-8h_Ind-neg_2	6-8h_Ind-pos_1	6-8h_Ind-pos_2	4-6h_Vnd-neg_1	4-6h_Vnd-neg_2	4-6h_Vnd-pos_1	4-6h_Vnd-pos_2	6-8h_Vnd-neg_1	6-8h_Vnd-neg_2	6-8h_Vnd-pos_1	6-8h_Vnd-pos_2	4-6h_Pros-neg_1	4-6h_Pros-neg_2	4-6h_Pros-pos_1	4-6h_Pros-pos_2	6-8h_Pros-neg_1	6-8h_Pros-neg_2	6-8h_Pros-pos_1	6-8h_Pros-pos_2	6-8h_Elav-neg_1	6-8h_Elav-neg_2	6-8h_Elav-pos_1	6-8h_Elav-pos_2	8-10h_Elav-neg_1	8-10h_Elav-neg_2	8-10h_Elav-pos_1	8-10h_Elav-pos_2	18-22h_Elav-neg_1	18-22h_Elav-neg_2	18-22h_Elav-pos_1	18-22h_Elav-pos_2	6-8h_Repo-neg_1	6-8h_Repo-neg_2	6-8h_Repo-pos_1	6-8h_Repo-pos_2	8-10h_Repo-neg_1	8-10h_Repo-neg_2	8-10h_Repo-pos_1	8-10h_Repo-pos_2	18-22h_Repo-neg_1	18-22h_Repo-neg_2	18-22h_Repo-pos_1	18-22h_Repo-pos_2	CGID	Symbol	Biotype	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Norm_avrg_A	Norm_avrg_B	log2FC_norm_count	IC_46_pos_mean	VC_46_pos_mean	VC_46_neg_mean	IC_46_neg_mean	VC_46_log2FC_over_neg	IC_46_log2FC_over_neg	Tissue_46_log2FC_VCvsIC_VST	IC_68_pos_mean	VC_68_pos_mean	VC_68_neg_mean	IC_68_neg_mean	VC_68_log2FC_over_neg	IC_68_log2FC_over_neg	Tissue_68_log2FC_VCvsIC_VST	Temp_VC_46vs68	Temp_IC_46vs68
FBgn0262582	NM_001260273.2	3R	20293243	20293443	500	+	1043	824	556	685	1384	1372	302	381	350	287	725	590	433	386	645	273	411	434	428	133	595	425	550	414	881	1953	1384	962	1040	1267	386	207	258	294	381	100	158	369	299	178	238	218	893	248	1321	1057	933	930	34	82	9	77	12	40	97	56	110	87	66	73	'NM_001260273.2'	'cic CG5060 CG5067 CIC Cic cics Dmel\CG43122 E(Dl)D49 fet CG43122 Dmel_CG43122'	14.9585452585443	14.9792528884453	15.8347883267818	16.0388075841547	15.6017841270059	15.5460906645884	16.3910367216891	16.2931808675555	14.7296552282409	14.5523660357798	14.9123804823547	15.1347726222437	14.7467171140935	14.6920655291392	14.3488507031807	14.3767114443735	15.0885702083207	15.3875917382401	14.5196095299028	14.7490566589488	15.1670217688852	15.1950074569838	14.813510368878	14.2326245519591	15.2764908658912	15.6696976974091	15.0153714777307	15.7257588106458	16.0760748659405	15.4490208961033	15.2821671741857	14.6815654680945	15.0219127038593	14.0323810561855	15.4589941925402	15.6714477402041	15.6548837475993	15.5456640621864	15.4174630314331	14.9051220036854	15.3107320825715	15.1533639145169	14.7594210207597	14.1460375013856	14.9232883696035	14.7705840945063	15.2068361173376	15.1446346964637	CG43122	cic	protein_coding	846.7564295569	-2.79651676719353	0.16926500762961	-16.5215292065147	2.56803435252396e-61	1.99129601696768e-12	1480.51510596432	212.997753149482	2.79718909359064	15.9367979554683	15.0235765522992	14.6410106320103	14.9688990734948	0.0372131628740953	0.0903936715177458	-0.0851334845367007	16.3421087946223	14.3627810737771	14.7193913216163	15.5739373957971	-0.0353828879937609	0.0694604296119141	-0.186259035548069	0.0648931794284916	-0.0362323715828762
FBgn0262169	NM_136704.3	2R	10056825	10057025	500	+	382	333	182	324	406	423	68	85	111	73	244	198	289	325	481	150	183	182	271	105	331	312	338	203	388	494	312	271	207	251	99	55	57	62	71	21	224	438	286	225	401	297	433	158	704	568	620	697	91	112	47	32	43	52	125	71	77	119	122	95	'NM_165732.2,NM_165730.2,NM_136704.3'	'magu CG2264-RB CG2264 Dmel_CG2264'	11.8149860755899	11.6130290570942	13.3500434059607	13.561947926155	11.1205010612184	10.8331949577605	13.9488751856781	13.6779665058941	11.2138238710722	11.1400776201241	11.2848582190199	11.2975703671067	11.1129090885139	10.9843484252106	10.9850682246601	10.908739970461	11.2323602385765	11.3634873257244	10.4665319002634	10.4600641350324	11.3343483928476	11.0206751321403	11.1420709667127	11.0143370930421	10.9731940397555	11.5403276677509	10.186779997558	10.2882225318987	11.6914345807515	11.5776601925782	10.2453795926773	10.4948267099377	11.1718349956345	10.7990298421833	10.3180705514747	10.2751772170078	10.9877402526937	11.196257334666	12.4715759963658	12.4934068165706	11.3461869617441	11.2342400008142	11.9170197035249	11.7371466150065	10.6004133184761	10.4687859937091	13.6764868674435	13.1370261009789	CG2264	magu	protein_coding	307.720270701529	-3.57100517666073	0.274465576477631	-13.0107579336157	1.06282669541324e-38	2.34687510906421e-08	567.712357363354	47.7281840397036	3.57224679408146	13.4559956660578	11.2912142930633	11.1769507455982	11.7140075663421	0.0146739953329417	0.200014414609111	-0.253048499575598	13.8134208457861	10.9469040975605	11.0486287568623	10.9768480094894	-0.0133444103229371	0.331606796841395	-0.335547724461484	0.0446777286564751	-0.0378214962294103
NA	NR_133545.1	X	23291699	23291899	500	+	1024	1503	1249	1295	192	430	633	769	770	1002	2240	2061	1350	739	1178	1982	476	635	1242	414	1307	1120	1091	1344	667	11425	399	682	1340	858	2340	1095	2037	1721	3222	1029	236	700	231	506	296	420	170	442	1414	599	1603	1336	1160	493	422	1258	543	905	2923	544	2740	1147	2500	1368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1228.86611221168	-2.20555330360804	0.194835354389323	-11.3200877249458	1.04367429517645e-29	2.63514043060316e-06	2019.97708207216	437.755142351201	2.20614289342832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0263600	NM_079375.3	3L	15987615	15987815	500	-	1340	1083	540	698	696	708	1132	1371	1097	1077	813	666	598	1180	898	335	387	377	813	287	959	1286	820	554	142	362	75	108	152	64	245	70	118	82	65	29	306	546	275	237	368	229	425	174	688	552	637	657	21	2	11	65	10	20	76	27	26	49	51	21	'NM_079375.3'	'DNApol-delta POLD CG5949'	10.4942980122785	10.5107908756231	10.4628797119637	10.3015582554112	9.91887128438633	10.0418375903455	10.5492990816455	10.4536120496842	10.2662333529659	10.4567542002543	10.3038914586846	10.219488276996	10.2910477604652	10.3183482028806	10.5806695849314	10.3353376758913	10.27583242889	10.1116779926707	10.1945322405919	10.1542221294627	10.0952197852681	9.86479900989386	10.1723745235228	10.3443747417663	10.0948986382	10.138073695396	9.67136439899582	9.62111777144108	9.9810134777785	10.2784307169256	9.967941625731	10.3337333654735	10.0182749261268	10.323854600053	9.65139054013267	9.4465286927089	9.97889640262336	9.99143743362417	9.61614550807053	10.1548133549586	9.98025032916802	10.1402618155704	9.96874116463601	10.2363363163743	9.87895058826319	9.87311045386437	9.51698426567832	9.68499878641625	CG5949	DNApol-delta	protein_coding	1351.79384834329	-1.29810696041734	0.125990523240403	-10.3032111227955	6.8147728687152e-25	4.16955084969408e-05	1921.98308634356	781.604610343017	1.29808475802734	10.3822189836874	10.2616898678403	10.3614937766101	10.5025444439508	-0.013963676102471	-0.0166240681812161	-0.016846493056827	10.5014555656649	10.4580036304113	10.3046979816729	9.98035443736591	0.0213052542802909	0.0734263513231291	-0.00598183194806433	-0.0273391464196723	-0.0164744853109095
FBgn0026378	NM_058072.4	2R	19492086	19492286	500	+	1268	1122	378	417	773	791	1434	1668	1328	1309	1266	1022	430	483	440	86	384	461	635	253	776	934	759	639	312	479	200	130	23	94	315	145	162	135	117	41	142	317	215	177	179	230	189	118	580	431	446	478	21	9	4	45	10	14	50	11	54	30	44	21	'NM_058072.4'	'Rep CG8432'	10.5813848524118	10.6927140110142	10.3753187436992	10.4026306983163	10.2169963234307	10.2144740749283	10.3850953262004	10.3856576687854	10.3964795438152	10.4561842828127	10.4045146422596	10.3963138323021	10.1365725928274	10.3199374764613	10.2282903670855	10.2645576042399	10.1651698623148	10.1992164871908	10.3039325496592	10.2274939962501	10.2445538904324	10.0819275524096	10.1484480651082	10.0185680572325	10.2973161701315	10.0604715472297	10.156584139863	10.1222272665962	10.1719827396647	10.1539691864746	10.1129203331997	10.1137466015264	10.2088599068648	9.9380499026729	10.753680336834	10.7353135573371	10.2475595211701	10.2352765623739	10.3491027934579	10.06146110068	10.0748540778595	10.1737931489083	10.2945950026548	10.3178021830559	10.2532583356028	10.2463566228123	10.4554526636268	10.4018623076334	CG8432	Rep	protein_coding	1433.97808581114	-0.968651022574899	0.105881878090056	-9.14841179669129	5.77766800520413e-20	0.000946035238336644	1898.03697313246	969.919198489817	0.968571625703967	10.3889747210077	10.4004142372809	10.426331913314	10.637049431713	-0.00359070223603836	-0.0340447400336588	0.00158770756525564	10.3853764974929	10.2464239856627	10.2282550346444	10.2157351991795	0.00256045649229991	0.0237604839426861	-0.0194330233979218	0.0215204952367468	0.00049976427356925
FBgn0265140	NM_001032403.2	3R	14697092	14697292	500	-	817	1054	248	429	315	752	704	878	542	609	1167	999	203	151	240	70	183	194	240	64	215	277	320	341	1426	1579	702	344	162	388	587	322	244	287	261	73	83	182	156	168	168	161	209	99	492	359	384	319	165	7	1	56	56	24	60	15	43	34	53	31	'NM_001032403.2'	'Meltrin CG31314 CG31385 CT23341 Dmel\CG7649 DMeltrin FBgn0051314 meltrin Neu3 CG7649 Dmel_CG7649'	13.3855516383563	13.43629828652	13.1201193357661	12.9581303207095	13.2014829646994	13.0745881700941	13.2224693778085	12.8989563713773	13.2800185927388	13.1211748692515	13.030963022392	13.1816522838243	12.6498776994845	12.6125484660019	12.337687870113	12.4787271842323	13.186290063344	13.5297409676489	13.0788392343953	13.333653513523	13.2391144187154	13.0603766814121	13.6359261842923	13.1565377189856	12.883841964446	13.5181906995286	13.2884744100958	14.0161084508086	14.1073116454934	13.3931335056015	13.8717432880186	13.048071339435	15.1405478871875	13.5554330121	12.9560267686204	13.2996798189542	13.1445519330729	13.1689192784484	13.8487999180258	13.6406038857725	12.892738514258	12.8715393003554	13.1828109938719	12.7663387739477	14.1380392399598	13.665834808279	15.4000249769692	14.704246637319	CG7649	Meltrin	protein_coding	993.348410262785	-1.59636714920732	0.177464067605346	-8.99543874288631	2.3529053112204e-19	0.00118480329897702	1493.15743310758	493.539387417988	1.59712915587886	13.0391248282378	13.1063076531081	13.2005967309951	13.4109249624382	-0.0103418452888724	-0.0405617038190806	0.00741426187275635	13.0607128745929	12.4082075271726	12.6312130827432	13.1380355673967	-0.0256984792936385	-0.00851593270622074	-0.0739389228840809	0.0789665818303204	-0.00238660292651662
FBgn0003016	NM_001169504.2	2L	14689140	14689340	500	-	716	446	180	223	285	567	308	356	158	190	549	512	246	386	235	159	165	168	258	96	288	265	262	193	493	1210	387	242	234	408	272	145	151	158	147	50	106	180	178	217	118	109	242	79	477	321	341	301	41	1	57	69	6	39	73	30	68	52	53	38	'NM_001169504.2,NM_001144354.3,NM_165089.4,NM_078843.6'	'osp CG3479'	12.3936474985496	12.4858512463562	12.8296337350332	12.8590264196066	12.7048881241784	12.4409649591738	12.8815699176182	12.5401852061383	12.781131894636	12.66601281396	12.4655908765268	12.533334613844	12.1633702969694	12.0028482091961	11.8247354717544	11.815169124168	13.1481781583041	13.4282992386088	12.201146212	12.2565441022966	13.1007660232434	12.8954548921575	12.6267870220571	12.1502170215941	12.3899874918637	12.984506900262	11.3314514315686	12.3693022636026	13.9171485426968	13.3346845905752	12.1497707873411	11.7819872660409	14.4484715866145	13.6524309042201	12.7063846562138	13.2142999729768	12.5235166755691	12.4336781592028	12.7746379420779	12.5350369346864	12.6339981402456	12.5965334797653	12.4277900658627	12.3301553075027	13.3489283601765	13.963063970574	13.697233949137	13.7774355847454	CG3479	osp	protein_coding	563.170665191726	-2.14575869135431	0.244323114166103	-8.78246292283061	1.59933300341294e-18	0.00173780165440895	918.682300955945	207.659029427508	2.14534943006758	12.8443300773199	12.4994627451854	12.723572354298	12.4397493724529	-0.0256377021287028	0.0461742261182164	-0.0392655594820989	12.7108775618783	11.8199522979612	12.0831092530827	12.5729265416761	-0.031767526784203	0.0157431395088074	-0.104839424563757	0.0806418727548208	0.0150680076731625
FBgn0000588	NM_058083.4	2L	11829205	11829405	500	-	1741	1844	867	1323	1762	2374	1486	2345	2818	1894	2544	1205	675	1062	992	401	504	271	735	242	896	1003	550	594	594	1120	710	334	462	294	982	463	434	487	160	68	57	193	58	80	102	76	58	59	175	120	172	321	109	3	1	68	45	31	114	34	63	26	64	35	'NM_058083.4'	'esc CG14941'	11.1817128485133	11.360111496692	10.8519321556043	11.103341103392	10.6536206896736	10.5107355414327	10.8238680873417	10.7555637885503	10.5882957078487	10.6552306968439	10.5386527488795	10.6613775253908	10.3250638478918	10.3763851940353	10.5520902472307	10.5262795641065	10.4307729851981	10.502070549675	10.5739391244077	10.5548958731971	10.445512230822	10.3887981865206	10.6708727255062	10.6307446694627	10.4745509201038	10.6977828329759	10.3459275161767	10.6573882182462	10.5199666489685	10.423323606937	10.1466606436531	10.1234231837504	10.7527932762555	10.3310657414256	11.2341187077276	11.1588074358626	10.6241702526824	10.6223922829215	10.0541850155384	10.3225287687326	10.325900934971	10.4331168076707	10.004285256802	9.98099257500386	10.6908977700493	10.5350352448609	10.1055006052747	9.89988871538136	CG14941	esc	protein_coding	2019.99384969494	-1.26554541422089	0.145896143644898	-8.67428968719797	4.161397485679e-18	0.00198443234374555	2853.73598993419	1186.25170945568	1.26644170548064	10.9776366294982	10.6000151371351	10.6217632023463	11.2709121726026	-0.00295694699199332	-0.0380367892084247	-0.0505011655983898	10.789715937946	10.5391849056686	10.3507245209635	10.5821781155532	0.0260315383428603	0.0280202773277786	-0.0338935892249638	0.00830303089332981	0.0249106072667557
NA	NR_133544.1	X	23280077	23280277	500	-	642	931	862	1095	716	406	493	615	736	862	1894	1673	2135	1139	1246	1390	807	887	1531	561	1798	1583	1615	1555	871	9255	873	759	1769	830	1955	941	1507	1403	2339	701	742	1603	494	964	1326	768	600	639	2372	1155	2798	2575	1329	730	432	1675	1203	889	2598	737	2196	1350	1891	1087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	801.430808222615	-1.86200795198526	0.218711166948935	-8.51354769836696	1.68691058270951e-17	0.00283463466150054	1257.1995911604	345.662025284835	1.86277968633534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0036366	NM_140394.2	3L	13450083	13450283	500	-	1630	1379	694	798	1078	1385	2102	2394	1750	2073	1886	1519	569	673	555	196	457	474	752	313	956	887	859	719	116	309	69	68	25	65	178	85	101	100	70	20	305	530	322	322	242	267	365	178	627	455	600	603	56	1	23	84	94	20	67	20	32	40	36	26	'NM_140394.2'	'JMJD7 Dmel\CG10133 CG10133 Dmel_CG10133'	9.88717088763602	9.89036698408537	9.57809488612289	9.72019677292209	9.64281954710242	9.57299825317512	9.42835955365003	9.58565415927573	9.73196427322928	9.72821978977473	9.7331647535809	9.56539981267513	9.72894447682559	9.79955793057616	9.69963517363413	9.73274170712236	9.67691539783356	9.73571853512813	9.4008822468532	9.51570178888086	9.76326501890655	9.5937778080984	9.51918328186897	9.48233664377951	9.8726511745302	9.81641228679503	9.4093148387265	9.38980821308484	9.49893625941252	9.73421888074225	9.59718234873052	9.69167612324129	9.62612290165066	10.0463094330609	9.33700244993507	9.58294572305272	9.87539247131877	9.46527020195731	9.83193320099407	9.77188025852189	9.54984522946032	9.85500705528382	9.83029602333726	9.80974997390657	9.41967848587928	9.35617786386572	9.39637224049857	9.43433597431793	CG10133	CG10133	protein_coding	1897.4878804385	-0.763889858833099	0.0961299295463766	-7.94643106925997	1.91961615078208e-15	0.0084945207132034	2388.22668776605	1406.74907311096	0.763574769255281	9.64914582952249	9.64928228312801	9.73009203150201	9.88876893586069	-0.0120318124895281	-0.0353896929411396	2.04017590297134e-05	9.50700685646288	9.71618844037824	9.76425120370088	9.60790890013877	-0.00711894107735354	-0.0152312709092427	0.0313992696438877	-0.00996883233126918	0.0214100355535886
