chr	start	end	name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr2L	5447	6142	chr2L.5911	1090.18650069031	0.233799524634107	0.108963545919289	2.14566736665568	0.0318995265354966	0.0876272174935185
chr2L	6535	6930	chr2L.6669	514.279969440956	0.518242421865	0.132276913095995	3.91785996312831	8.93385784274702e-05	0.000483643814371298
chr2L	7394	8677	chr2L.7919	1984.80222746401	0.380236030056055	0.100077154938914	3.79942885354953	0.000145029938889722	0.00075307958387312
chr2L	11953	12235	chr2L.12145	305.701712203254	0.319033983827453	0.175802422007801	1.81473031021892	0.0695653646822733	0.165324582124177
chr2L	12347	12566	chr2L.12468	274.800208700176	0.277861146629403	0.174776564781348	1.58980780390676	0.111878134275255	0.240647283494375
chr2L	13477	15749	chr2L.14805	2246.34329137738	0.144103968106112	0.0873438464189201	1.64984682967771	0.0989742679291819	0.218494647595897
chr2L	18868	19070	chr2L.18930	175.082208319426	0.108273152821049	0.194703235385908	0.556093239059167	0.578147116739394	0.744213525110228
chr2L	21693	23625	chr2L.22392	1656.91606183629	-0.098818250228445	0.0980602919901855	-1.00772951235282	0.31358433293914	0.507894657518978
chr2L	26419	27620	chr2L.26914	2231.43502586962	0.280732689883975	0.0888121869671913	3.16097035182438	0.00157244502909269	0.00649233788842554
chr2L	27720	29090	chr2L.28236	3146.16316072498	0.306603873462529	0.0909671139348922	3.37049138089589	0.000750342532464047	0.00335085627011722
chr2L	30334	30739	chr2L.30587	450.330835069485	0.0627878055176844	0.145665332922951	0.431041513157394	0.666438185953321	0.808814936529753
chr2L	33776	34453	chr2L.34219	1263.13019998508	-0.113024099285647	0.0999304403811476	-1.13102773143557	0.258043419591873	0.4432618123418
chr2L	35507	36676	chr2L.36054	2282.61684361896	0.367878742920799	0.0933890010218858	3.93920846026167	8.17508761689061e-05	0.000445162688940868
chr2L	41952	42444	chr2L.42204	372.792713029499	0.0655139262286199	0.150513721341499	0.435268795726445	0.663367331898936	0.806726220281745
chr2L	43045	43679	chr2L.43328	524.512562579986	-0.310072791058557	0.136790415060047	-2.26677279195655	0.0234041090334151	0.0675727841720443
chr2L	44000	44315	chr2L.44129	201.068350796524	-0.219457749664569	0.189552539143163	-1.15776739608231	0.246958971979533	0.42980618101079
chr2L	45383	45570	chr2L.45476	110.937916213921	0.355865173319817	0.232416824669831	1.5311506549724	0.1257321630154	0.26263821332443
chr2L	53424	54006	chr2L.53782	571.394505407469	0.727814004745577	0.134032670645181	5.43012387384481	5.6314949054494e-08	5.17840962698852e-07
chr2L	54930	55437	chr2L.55348	294.703557853597	0.229390343884931	0.161630362422706	1.41922804878093	0.155832541066004	0.308793665787665
chr2L	55615	55731	chr2L.55686	74.4862584956054	-0.0228473073202085	0.266120423501687	-0.0858532652983833	0.931583063163283	0.964982421468823
chr2L	55803	55944	chr2L.55855	77.303525471672	-0.127575662788413	0.264470991612791	-0.482380551494262	0.62953563438732	0.781682667264391
chr2L	57219	57538	chr2L.57278	166.5774596363	-0.18076753268571	0.211791369572811	-0.853516991982831	0.39337266881615	0.589170443218601
chr2L	57610	57845	chr2L.57695	123.75128978576	0.472914042468555	0.234770152545127	2.01437038457286	0.0439706612827317	0.114295380456916
chr2L	57876	58363	chr2L.58035	262.198890908611	0.179052317442721	0.17026723313073	1.05159585993417	0.292985008053354	0.484504626806986
chr2L	59128	59487	chr2L.59256	150.452795656273	-0.122823372886352	0.207378897964698	-0.592265529867268	0.553672794431177	0.725422128439962
chr2L	65634	66006	chr2L.65907	791.458465051221	0.0325610491083873	0.116731680700775	0.278939264070504	0.780291435554706	0.882612790550082
chr2L	66384	67564	chr2L.66937	5196.00730809126	0.0184798381943858	0.0861549768389248	0.21449530685773	0.830160826389378	0.91205701709622
chr2L	72076	72782	chr2L.72382	552.010336651013	-0.380655882051385	0.132094464310918	-2.88169443009675	0.00395543116995501	0.0146347800713014
chr2L	72951	73805	chr2L.73439	576.388249654858	-0.374225764026591	0.126424150574347	-2.96008130034078	0.00307557867233941	0.0117541290835167
