chr	start	end	name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr2L	5447	6142	chr2L.5911	1056.76033527139	-0.521864482973316	0.111553703418327	-4.67814574489133	2.89480766289698e-06	1.19256211778238e-05
chr2L	6535	6930	chr2L.6669	433.190934801343	-0.593410337620157	0.141413689761836	-4.19627221819582	2.71344090119016e-05	8.97809922283082e-05
chr2L	7394	8677	chr2L.7919	1942.23543002808	-0.300397081217796	0.105934999187102	-2.83567360667304	0.00457291538394646	0.00892005127733459
chr2L	11953	12235	chr2L.12145	287.288388186978	-0.479088216229	0.172441546703356	-2.7782644344588	0.00546501231858407	0.0104645255128229
chr2L	12347	12566	chr2L.12468	268.692592815136	-0.401282086807527	0.173709307606458	-2.31007821248497	0.0208838244267344	0.0346669742986968
chr2L	13477	15749	chr2L.14805	2332.82185192495	-0.410754928299562	0.0921299230832841	-4.45843125179042	8.25616678462085e-06	3.06857503939211e-05
chr2L	18868	19070	chr2L.18930	157.403444539456	-0.924465869176625	0.200450469989313	-4.6119416393781	3.98925010487721e-06	1.59118692784111e-05
chr2L	21693	23625	chr2L.22392	2209.30639659734	0.0809297053591008	0.103729661444971	0.78019829845906	0.435274163730705	0.501933066257818
chr2L	26419	27620	chr2L.26914	2249.98446531301	-0.334465205409122	0.0963738171954856	-3.47049868047344	0.000519492895505163	0.00127439101801174
chr2L	27720	29090	chr2L.28236	2933.37149921908	-0.563015841802823	0.0929818282741883	-6.05511692179874	1.4031570992612e-09	1.24505048377579e-08
chr2L	30334	30739	chr2L.30587	672.404941916638	0.514331158539674	0.128217759424953	4.0113878205828	6.03628576784134e-05	0.000184533714731297
chr2L	33776	34453	chr2L.34219	1628.85140027598	-0.0225795805305071	0.0980880993435288	-0.230196942153276	0.817938737870519	0.852383893428178
chr2L	35507	36676	chr2L.36054	2547.77546450294	0.0706896540168932	0.0960250329256269	0.736158602222439	0.461634182483619	0.527784947242273
chr2L	41952	42444	chr2L.42204	519.393773683523	0.339686029467314	0.133875189608248	2.53733369462496	0.0111700425678382	0.0197586177849612
chr2L	43045	43679	chr2L.43328	856.801755144175	0.420544402365409	0.127288702803518	3.30386273960666	0.000953625104481111	0.00219496901372716
