FBgn	Chr	Start	End	Symbol.x	FBtr	IC_4_6_K4me3_1	IC_4_6_K4me3_2	IC_6_8_K4me3_1	IC_6_8_K4me3_2	IC_8_10_K4me3_1	IC_8_10_K4me3_2	VC_4_6_K4me3_1	VC_4_6_K4me3_2	VC_68_K4me3_1_1	VC_68_K4me3_2_1	VC_810_K4me3_1_1	VC_810_K4me3_2_1	IC_4_6_K27ac_1	IC_4_6_K27ac_3	IC_6_8_K27ac_1	IC_6_8_K27ac_3	IC_8_10_K27ac_1	IC_8_10_K27ac_2	VC_4_6_K27ac_1	VC_4_6_K27ac_2	VC_68_K27ac_1_1	VC_68_K27ac_2_1	VC_810_K27ac_1_1	VC_810_K27ac_2_1	IC_4_6_K79me3_1	IC_4_6_K79me3_2	IC_6_8_K79me3_1	IC_6_8_K79me3_2	IC_8_10_K79me3_1	IC_8_10_K79me3_2	VC_4_6_K79me3_1	VC_4_6_K79me3_2	VC_68_K79me3_1_1	VC_68_K79me3_2_1	VC_810_K79me3_1_1	VC_810_K79me3_2_1	IC_4_6_K4mono_1	IC_4_6_K4mono_2	IC_6_8_K4mono_1	IC_6_8_K4mono_2	IC_8_10_K4mono_1	IC_8_10_K4mono_2	VC_4_6_K4mono_1	VC_4_6_K4mono_2	VC_68_K4mono_1_1	VC_68_K4mono_2_1	VC_810_K4mono_1_1	VC_810_K4mono_2_1	IC_4_6_K27me3_1	IC_4_6_K27me3_2	IC_6_8_K27me3_2	IC_6_8_K27me3_3	IC_8_10_K27me3_1	IC_8_10_K27me3_2	VC_4_6_K27me3_1	VC_4_6_K27me3_2	VC_68_K27me3_1_1	VC_68_K27me3_2_1	VC_810_K27me3_1_1	VC_810_K27me3_2_1	Seqname_UTR	Source	Feature	Start_UTR	End_UTR	Score	Strand	Frame	4-6h_Ind-neg_1	4-6h_Ind-neg_2	4-6h_Ind-pos_1	4-6h_Ind-pos_2	6-8h_Ind-neg_1	6-8h_Ind-neg_2	6-8h_Ind-pos_1	6-8h_Ind-pos_2	4-6h_Vnd-neg_1	4-6h_Vnd-neg_2	4-6h_Vnd-pos_1	4-6h_Vnd-pos_2	6-8h_Vnd-neg_1	6-8h_Vnd-neg_2	6-8h_Vnd-pos_1	6-8h_Vnd-pos_2	4-6h_Pros-neg_1	4-6h_Pros-neg_2	4-6h_Pros-pos_1	4-6h_Pros-pos_2	6-8h_Pros-neg_1	6-8h_Pros-neg_2	6-8h_Pros-pos_1	6-8h_Pros-pos_2	6-8h_Elav-neg_1	6-8h_Elav-neg_2	6-8h_Elav-pos_1	6-8h_Elav-pos_2	8-10h_Elav-neg_1	8-10h_Elav-neg_2	8-10h_Elav-pos_1	8-10h_Elav-pos_2	18-22h_Elav-neg_1	18-22h_Elav-neg_2	18-22h_Elav-pos_1	18-22h_Elav-pos_2	6-8h_Repo-neg_1	6-8h_Repo-neg_2	6-8h_Repo-pos_1	6-8h_Repo-pos_2	8-10h_Repo-neg_1	8-10h_Repo-neg_2	8-10h_Repo-pos_1	8-10h_Repo-pos_2	18-22h_Repo-neg_1	18-22h_Repo-neg_2	18-22h_Repo-pos_1	18-22h_Repo-pos_2	CGID	Symbol.y	Biotype	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Norm_avrg_A	Norm_avrg_B	log2FC_norm_count	IC_46_pos_mean	VC_46_pos_mean	VC_46_neg_mean	IC_46_neg_mean	VC_46_log2FC_over_neg	IC_46_log2FC_over_neg	Tissue_46_log2FC_VCvsIC_VST	IC_68_pos_mean	VC_68_pos_mean	VC_68_neg_mean	IC_68_neg_mean	VC_68_log2FC_over_neg	IC_68_log2FC_over_neg	Tissue_68_log2FC_VCvsIC_VST	Temp_VC_46vs68	Temp_IC_46vs68
FBgn0261930	X	592695	593491	 vnd	 gene_symbol vnd	66	59	98	69	185	187	1039	1680	1308	925	1100	1179	462	307	508	178	397	442	4683	1906	5937	6520	4829	3507	459	1713	885	598	731	1015	5299	2531	4382	2954	2509	686	1590	2196	1885	1583	1378	1172	5911	2173	10074	8554	9080	9394	2930	1546	2732	2890	2093	3274	1822	430	1020	1212	1587	1060	X	FlyBase	5UTR	591042	591394	.	+	.	11.6390990041662	11.5800482573277	11.7274173344586	11.7496215436411	11.8095616814403	11.8144019534854	11.7393304423469	11.7841205320437	11.1542946523829	11.1994774283297	12.559500465413	12.7648211517329	11.0641253064657	10.9750927326284	13.2130434704999	13.5589264192884	11.0037266625505	11.1168994265843	12.755045436078	12.9596014695066	10.6905135038013	10.7895952055259	13.4097921613593	13.3691924582383	11.4938790959043	11.5432597284619	12.6194091855927	13.0906537734248	11.599919939918	11.3393572116384	12.7443730018281	12.0876481193871	11.4442687808659	11.2617028721576	11.4146353949602	11.6469538013268	11.7664551134685	11.7400686549169	10.5585599780713	10.7236347574062	11.6988135504074	11.6039828308209	10.9030002105099	10.5703720709207	11.3105739856623	11.4076144329835	10.3185578164051	10.5501945386967	CG6172	vnd	protein_coding	1705.7748745863	3.03122215902903	0.170323628619203	17.7968387804021	7.47722228115135e-71	8.02987306277222e-13	371.319113591462	3040.23063558114	-3.03344928770375	11.7385194390498	12.6621608085729	11.1768860403563	11.609573630747	0.180005323815708	0.0159354658225428	0.109273167846817	11.7617254871953	13.3859849448941	11.0196090195471	11.8119818174629	0.280650259451173	-0.00615131657960311	0.186623572606701	-0.0801996739113535	-0.00284926915146935
FBgn0004635	3L	1455444	1457135	 rho	 gene_symbol rho	22	159	192	204	151	88	94	185	198	175	398	337	1169	891	1220	524	1072	1164	3783	1460	4204	4762	3426	2357	176	1064	589	228	375	250	1563	806	1645	784	1050	241	2054	2798	2581	1840	2033	1725	3379	1120	5543	4295	4283	4559	2554	1487	1610	2194	1787	2769	1280	413	877	1100	1264	995	3L	FlyBase	5UTR	1463811	1464130	.	+	.	12.1481146758943	12.1397848230878	11.3984265883906	11.0332704093805	12.4300860553629	12.4432073725581	11.5729456956336	11.4721138358884	11.7323953634355	11.6596798333166	12.8506166687018	13.0354667469785	11.6747919403559	11.6373990699493	12.9615272831425	13.1526963042624	11.9642963046475	12.1636763685314	12.8532935706193	12.70794867448	12.0859126779233	12.1985930990367	13.3521212707087	12.959986479842	12.2117582261416	12.5534569456152	12.6231572376724	13.3327507213401	12.2563971697635	12.0580779633677	12.9512084794777	12.0752820560628	12.0551202479986	11.4664345502737	12.4861793690796	13.0830775629154	12.471356834028	12.3930843163287	12.7606821091717	12.4165508332281	12.1634308589335	11.9797862840457	12.1881768361676	12.0249223364916	11.7832645157874	11.9585696870202	14.7639532748674	14.0961232410469	CG1004	rho	protein_coding	1696.91110999228	1.25924968075467	0.156347322845476	8.05418127945326	8.00125598170188e-16	2.76147334628737e-09	1000.29759252639	2393.52462745817	-1.25870737892339	11.2158484988855	12.9430417078402	11.6960375983761	12.143949749491	0.146156846746554	-0.114698959145136	0.206637933882309	11.522529765761	13.0571117937025	11.6560955051526	12.4366467139605	0.16375120759426	-0.110140050306225	0.180378316450555	-0.0126591101144924	-0.0389187275462464
FBgn0004635	3L	1460757	1461261	 rho	 gene_symbol rho	40	43	55	101	229	22	53	103	107	138	120	105	341	246	308	4	264	313	1279	513	1448	1843	1251	790	81	450	243	71	126	117	1799	927	2003	774	739	196	460	643	700	465	558	437	1178	363	1785	1490	1333	1300	1271	632	829	968	1140	1654	829	288	467	586	965	714	3L	FlyBase	5UTR	1463811	1464130	.	+	.	12.1481146758943	12.1397848230878	11.3984265883906	11.0332704093805	12.4300860553629	12.4432073725581	11.5729456956336	11.4721138358884	11.7323953634355	11.6596798333166	12.8506166687018	13.0354667469785	11.6747919403559	11.6373990699493	12.9615272831425	13.1526963042624	11.9642963046475	12.1636763685314	12.8532935706193	12.70794867448	12.0859126779233	12.1985930990367	13.3521212707087	12.959986479842	12.2117582261416	12.5534569456152	12.6231572376724	13.3327507213401	12.2563971697635	12.0580779633677	12.9512084794777	12.0752820560628	12.0551202479986	11.4664345502737	12.4861793690796	13.0830775629154	12.471356834028	12.3930843163287	12.7606821091717	12.4165508332281	12.1634308589335	11.9797862840457	12.1881768361676	12.0249223364916	11.7832645157874	11.9585696870202	14.7639532748674	14.0961232410469	CG1004	rho	protein_coding	554.402850591325	1.53495091121167	0.196366568513095	7.81676291862948	5.41990454846242e-15	1.04125658254414e-08	284.391340750498	824.414360432153	-1.53549209739793	11.2158484988855	12.9430417078402	11.6960375983761	12.143949749491	0.146156846746554	-0.114698959145136	0.206637933882309	11.522529765761	13.0571117937025	11.6560955051526	12.4366467139605	0.16375120759426	-0.110140050306225	0.180378316450555	-0.0126591101144924	-0.0389187275462464
FBgn0004102	X	8636848	8637699	 oc	 gene_symbol oc	115	68	99	84	102	54	52	89	98	98	171	204	262	173	136	136	161	186	887	407	852	1105	814	687	128	498	220	113	127	185	658	385	869	382	514	156	832	1437	1169	965	1111	899	1207	665	2371	1692	1682	1802	1915	715	796	1294	1127	1514	1237	431	513	864	712	496	X	FlyBase	5UTR	8642647	8642867	.	-	.	12.3668886537385	12.3504877142431	11.6358822591098	11.421126694787	12.4360272226153	12.4059102781201	11.5979054361194	11.4324911953147	11.9086403742113	11.8193509151649	13.9155983840965	14.2048653245844	11.5734810144627	11.4269609237758	13.7360430375807	13.9202617719858	12.2950115002832	12.2523574678827	13.9622563885593	13.9326137017335	12.0719842265365	12.1199790335787	14.0128407203946	13.8762029143896	12.0247772326999	12.2619388776971	13.2091602447178	13.282863977001	12.2866688245686	12.1237084814737	13.5831828701927	12.6449348501947	12.5228070153244	11.8058429213247	13.0134505382882	13.3242550398863	12.3814385553518	12.338761072097	11.1377078240803	10.8417841324335	12.767431863556	12.4876275147903	11.495753883383	11.1049072785626	12.5258438864104	12.4688890758828	11.3489168282048	11.7531786000155	CG12154	oc	protein_coding	410.927179996094	1.53806471281444	0.220666042280157	6.97010150234947	3.16712397171661e-12	1.01451479952441e-06	209.989987729452	611.864372262737	-1.54289135394961	11.5285044769484	14.0602318543405	11.8639956446881	12.3586881839908	0.245030411475282	-0.100320243108426	0.286415011723262	11.5151983157171	13.8281524047832	11.5002209691193	12.4209687503677	0.265946827370178	-0.1092384407039	0.264069151674155	0.0240119755278595	0.00166611547875187
FBgn0261930	X	585796	586620	 vnd	 gene_symbol vnd	24	53	78	111	106	41	60	99	126	82	153	139	344	205	489	164	339	414	1103	435	1515	1806	1736	1066	89	493	224	148	304	148	473	243	532	318	426	142	822	1304	1462	949	1221	897	1404	613	3316	2529	2860	2603	1509	719	867	1517	979	2059	1437	311	690	939	1149	862	X	FlyBase	5UTR	582121	582958	.	+	.	11.6390990041662	11.5800482573277	11.7274173344586	11.7496215436411	11.8095616814403	11.8144019534854	11.7393304423469	11.7841205320437	11.1542946523829	11.1994774283297	12.559500465413	12.7648211517329	11.0641253064657	10.9750927326284	13.2130434704999	13.5589264192884	11.0037266625505	11.1168994265843	12.755045436078	12.9596014695066	10.6905135038013	10.7895952055259	13.4097921613593	13.3691924582383	11.4938790959043	11.5432597284619	12.6194091855927	13.0906537734248	11.599919939918	11.3393572116384	12.7443730018281	12.0876481193871	11.4442687808659	11.2617028721576	11.4146353949602	11.6469538013268	11.7664551134685	11.7400686549169	10.5585599780713	10.7236347574062	11.6988135504074	11.6039828308209	10.9030002105099	10.5703720709207	11.3105739856623	11.4076144329835	10.3185578164051	10.5501945386967	CG6172	vnd	protein_coding	484.549472133221	1.41604733588501	0.221496531805038	6.39309033123564	1.62566156386361e-10	9.77979278582453e-06	263.931868539186	705.167075727257	-1.417799556891	11.7385194390498	12.6621608085729	11.1768860403563	11.609573630747	0.180005323815708	0.0159354658225428	0.109273167846817	11.7617254871953	13.3859849448941	11.0196090195471	11.8119818174629	0.280650259451173	-0.00615131657960311	0.186623572606701	-0.0801996739113535	-0.00284926915146935
FBgn0004102	X	8640595	8641222	 oc	 gene_symbol oc	0	38	45	43	72	43	48	53	68	61	122	150	72	57	61	80	47	83	345	166	276	448	370	332	62	379	55	100	4	138	449	333	589	259	507	119	426	917	742	832	666	624	694	402	1226	948	997	1133	1323	283	502	788	442	1009	771	257	318	411	442	270	X	FlyBase	5UTR	8642647	8642867	.	-	.	12.3668886537385	12.3504877142431	11.6358822591098	11.421126694787	12.4360272226153	12.4059102781201	11.5979054361194	11.4324911953147	11.9086403742113	11.8193509151649	13.9155983840965	14.2048653245844	11.5734810144627	11.4269609237758	13.7360430375807	13.9202617719858	12.2950115002832	12.2523574678827	13.9622563885593	13.9326137017335	12.0719842265365	12.1199790335787	14.0128407203946	13.8762029143896	12.0247772326999	12.2619388776971	13.2091602447178	13.282863977001	12.2866688245686	12.1237084814737	13.5831828701927	12.6449348501947	12.5228070153244	11.8058429213247	13.0134505382882	13.3242550398863	12.3814385553518	12.338761072097	11.1377078240803	10.8417841324335	12.767431863556	12.4876275147903	11.495753883383	11.1049072785626	12.5258438864104	12.4688890758828	11.3489168282048	11.7531786000155	CG12154	oc	protein_coding	153.376164260726	1.95385710595297	0.306549641860419	6.37370539432116	1.84514878466042e-10	9.8905250364804e-06	62.7384161103552	244.013912411097	-1.95954239256559	11.5285044769484	14.0602318543405	11.8639956446881	12.3586881839908	0.245030411475282	-0.100320243108426	0.286415011723262	11.5151983157171	13.8281524047832	11.5002209691193	12.4209687503677	0.265946827370178	-0.1092384407039	0.264069151674155	0.0240119755278595	0.00166611547875187
FBgn0035641	3L	5858687	5859537	 CG5568	 gene_symbol CG5568	20	37	91	90	20	42	47	59	76	59	128	107	385	285	387	104	349	469	1181	458	1095	1149	1167	894	31	510	78	87	193	74	365	161	253	199	243	82	816	1277	985	997	1037	944	1484	617	2713	2016	2347	2287	541	444	501	768	1105	999	515	132	327	345	509	432	3L	FlyBase	5UTR	5871501	5871597	.	+	.	10.1269664516696	10.3056643077939	9.70909007721909	9.50472274524031	9.10005077345492	9.26005845249222	9.48911343925635	9.46898895141341	9.40287780052804	9.68009778349914	9.63727144866538	9.68575648434958	9.58282048163339	9.6090069173974	9.83469155225966	9.81322370292974	9.43342885904523	9.47028848404998	9.45623211268831	9.74599979603367	9.26591200142833	9.46302045331599	9.43788384794967	9.54052899449858	9.30528638620158	9.2912102083974	9.22922080272538	9.00580267182654	9.31134005963711	9.73582313392022	8.95278159852118	9.69790786437829	9.30951423149004	9.83395396399024	9.5103553907399	9.41397293369849	9.26690392298927	9.27973877816922	9.0656212706166	9.42687606407916	9.36289472366454	9.54520236569568	9.45804569716777	9.93350609189424	9.31659357012084	9.6679486880458	9.47782434157972	9.29817929473447	CG5568	CG5568	protein_coding	536.951343791558	1.20547470440719	0.196440617717133	6.13658579583083	8.43138383289397e-10	2.99789272642899e-05	324.947965473964	748.954722109152	-1.20466978833469	9.6069064112297	9.66151396650748	9.54148779201359	10.2163153797317	0.0180350368063133	-0.0887311288015293	0.00817734495839566	9.47905119533488	9.8239576275947	9.5959136995154	9.18005461297357	0.0338841552649091	0.0462399235492255	0.0515616781947961	-0.0240550599576537	0.0193292732787466
FBgn0039588	3R	28561284	28562350	 mIF2	 gene_symbol mIF2	71	101	116	160	177	48	93	142	169	113	201	188	467	520	459	252	331	585	1772	667	1966	2015	1461	1025	121	679	209	160	180	176	238	198	215	217	298	77	841	1750	1195	789	1274	1082	2079	953	4337	3531	3342	3024	3311	1217	1862	2866	1294	2500	1729	902	1239	1471	1398	1092	3R	FlyBase	5UTR	28544726	28544817	.	-	.	10.0699076211208	10.0521074294926	10.0970915821287	9.85531232884791	10.0358590445898	10.17302338847	9.81939781434725	9.98103459444961	10.3913943528785	10.3314564711072	10.4619056275141	10.3141307030562	10.3927751918225	10.3629942735532	10.5547710982539	10.4675602413407	10.4241077494132	10.1871690165512	10.2890539555779	9.96395544506886	10.4259898883057	10.2038033328854	9.77228490002172	10.1104993713357	10.4012431722646	10.1995734601152	9.96022597197423	9.94978627085585	10.171771715544	10.498085254566	10.0048519338351	10.3685022654385	10.7606744398505	10.573460137261	10.5062282401064	10.0859636933856	10.0613493881621	10.064182101598	10.0955721033101	10.2777178097921	10.3452902610741	10.5209346625764	10.2397297642316	10.5931634445856	10.5203881983082	10.5959506470622	10.2393922079447	10.0050572397942	CG12413	CG12413	protein_coding	797.404731572266	1.18992707445003	0.193969813598146	6.13459925736299	8.53741270521702e-10	2.99789272642899e-05	486.876827152012	1107.93263599252	-1.18624142353237	9.97620195548831	10.3880181652851	10.3614254119929	10.0610075253067	0.00369795499921582	-0.0122122100580153	0.0583578658409278	9.90021620439843	10.5111656697973	10.3778847326878	10.1044412165299	0.0184102534722775	-0.0294576050341423	0.0863907337865032	-0.0170022285780485	0.0110306393675268
FBgn0262473	3R	26791777	26792366	 Tl	 gene_symbol Tl	3	39	82	89	84	47	40	81	74	91	119	107	379	250	350	26	279	434	1059	482	1398	1609	973	793	143	436	125	90	217	227	1054	567	1842	699	754	191	454	800	682	493	666	663	1046	470	2421	1649	1770	1644	191	138	247	259	156	418	268	99	226	284	305	268	3R	FlyBase	5UTR	26799041	26799480	.	+	.	14.1825333832104	14.1229677507083	14.250383138313	14.6956376627673	14.7715544927189	14.7668541541088	14.2329191366998	14.20548760686	13.7875525892922	13.6294546259819	13.9244902247709	14.1711335568313	13.9067524327152	13.8456124574617	14.1131027318971	14.2655630422694	13.9281988268506	14.115067681018	13.2419199816057	13.3094728226742	14.4273589966265	14.4503206426201	14.0962218474307	13.5807361585334	14.426310100802	15.1211753285468	13.0612360851339	13.8794948408447	15.0672584209689	14.3387961076261	13.6864128919546	12.2500372043141	13.1763413408442	12.2754091202288	13.8748395892515	13.8665916083183	14.7821366554578	14.8192344985819	13.1852884745735	12.8765197215449	14.4158804532678	13.9920952222123	12.9103314381674	12.2464369792957	13.29013808969	13.0520759148313	12.4035204353592	12.4471817695268	CG5490	Tl	protein_coding	515.534179493943	1.25657009186217	0.207376828748479	6.05935629089122	1.3666736753849e-09	4.15976281338764e-05	303.628108115344	727.440250872542	-1.26052340228973	14.4730104005402	14.0478118908011	13.7085036076371	14.1527505669593	0.035274333448305	0.0322825690463892	-0.0430196035796543	14.2192033717799	14.1893328870832	13.8761824450884	14.7692043234139	0.0321960480157119	-0.0547514638970138	-0.00303387796043449	-0.0144613310354427	0.025524394583777
FBgn0038676	3R	19052105	19052812	 CG6026	 gene_symbol CG6026	76	61	56	89	46	33	32	62	61	70	106	135	302	334	276	243	165	357	1065	521	1050	1303	682	546	91	391	14	135	322	137	606	338	1100	374	429	96	290	633	298	270	509	534	681	302	1385	965	1245	1250	236	119	64	151	161	121	212	106	132	160	158	83	3R	FlyBase	5UTR	19039503	19039511	.	+	.	10.6883784831899	10.7026458724756	11.1820187172146	11.7499338151327	11.3675507157265	10.8067332942063	11.5726479999935	11.3587259952646	11.6128026997639	11.4877232979091	11.751908788775	11.6947591184563	11.3513054805533	11.2968605403991	11.5092561921236	11.2127241283634	12.1865956478963	12.641135475803	11.7758302293381	11.6881870446492	12.5667164154263	12.4116995308172	11.9971557182529	11.9420675575787	10.8934106881999	11.836967390585	10.5803651171394	11.5493150208404	12.7470553526972	11.9673168839994	11.0988685732377	11.1360810048047	13.7707523168368	14.0672139014012	11.1877047154516	12.7275442527105	10.7032149474943	11.1331433442493	9.96314737682339	10.8941657427043	10.9206405182359	11.0122993890339	10.4490217302035	11.2148854865582	12.4175032202035	14.4030348493741	11.2321863762913	12.8845581348666	CG6026	CG6026	protein_coding	536.806574980342	1.27596567567652	0.210978170944965	6.04785637282522	1.46785720549878e-09	4.23993026515016e-05	313.644250500513	759.968899460172	-1.27681126327448	11.4659762661736	11.7233339536157	11.5502629988365	10.6955121778328	0.0214572084751682	0.100353627124243	0.0320237127079508	11.465686997629	11.3609901602435	11.3240830104762	11.0871420049664	0.00469434755806742	0.0484352786833936	-0.0132342229435054	0.0452943330370274	3.63973855712576e-05
