"FBgn"	"RefSeqID"	"Chr"	"Start"	"End"	"Score"	"Strand"	"IC_4_6_K4me3_1"	"IC_4_6_K4me3_2"	"IC_6_8_K4me3_1"	"IC_6_8_K4me3_2"	"IC_8_10_K4me3_1"	"IC_8_10_K4me3_2"	"VC_4_6_K4me3_1"	"VC_4_6_K4me3_2"	"VC_68_K4me3_1_1"	"VC_68_K4me3_2_1"	"VC_810_K4me3_1_1"	"VC_810_K4me3_2_1"	"IC_4_6_K27ac_1"	"IC_4_6_K27ac_3"	"IC_6_8_K27ac_1"	"IC_6_8_K27ac_3"	"IC_8_10_K27ac_1"	"IC_8_10_K27ac_2"	"VC_4_6_K27ac_1"	"VC_4_6_K27ac_2"	"VC_68_K27ac_1_1"	"VC_68_K27ac_2_1"	"VC_810_K27ac_1_1"	"VC_810_K27ac_2_1"	"IC_4_6_K79me3_1"	"IC_4_6_K79me3_2"	"IC_6_8_K79me3_1"	"IC_6_8_K79me3_2"	"IC_8_10_K79me3_1"	"IC_8_10_K79me3_2"	"VC_4_6_K79me3_1"	"VC_4_6_K79me3_2"	"VC_68_K79me3_1_1"	"VC_68_K79me3_2_1"	"VC_810_K79me3_1_1"	"VC_810_K79me3_2_1"	"IC_4_6_K4mono_1"	"IC_4_6_K4mono_2"	"IC_6_8_K4mono_1"	"IC_6_8_K4mono_2"	"IC_8_10_K4mono_1"	"IC_8_10_K4mono_2"	"VC_4_6_K4mono_1"	"VC_4_6_K4mono_2"	"VC_68_K4mono_1_1"	"VC_68_K4mono_2_1"	"VC_810_K4mono_1_1"	"VC_810_K4mono_2_1"	"IC_4_6_K27me3_1"	"IC_4_6_K27me3_2"	"IC_6_8_K27me3_2"	"IC_6_8_K27me3_3"	"IC_8_10_K27me3_1"	"IC_8_10_K27me3_2"	"VC_4_6_K27me3_1"	"VC_4_6_K27me3_2"	"VC_68_K27me3_1_1"	"VC_68_K27me3_2_1"	"VC_810_K27me3_1_1"	"VC_810_K27me3_2_1"	"All_RefSeq"	"Gene"	"4-6h_Ind-neg_1"	"4-6h_Ind-neg_2"	"4-6h_Ind-pos_1"	"4-6h_Ind-pos_2"	"6-8h_Ind-neg_1"	"6-8h_Ind-neg_2"	"6-8h_Ind-pos_1"	"6-8h_Ind-pos_2"	"4-6h_Vnd-neg_1"	"4-6h_Vnd-neg_2"	"4-6h_Vnd-pos_1"	"4-6h_Vnd-pos_2"	"6-8h_Vnd-neg_1"	"6-8h_Vnd-neg_2"	"6-8h_Vnd-pos_1"	"6-8h_Vnd-pos_2"	"4-6h_Pros-neg_1"	"4-6h_Pros-neg_2"	"4-6h_Pros-pos_1"	"4-6h_Pros-pos_2"	"6-8h_Pros-neg_1"	"6-8h_Pros-neg_2"	"6-8h_Pros-pos_1"	"6-8h_Pros-pos_2"	"6-8h_Elav-neg_1"	"6-8h_Elav-neg_2"	"6-8h_Elav-pos_1"	"6-8h_Elav-pos_2"	"8-10h_Elav-neg_1"	"8-10h_Elav-neg_2"	"8-10h_Elav-pos_1"	"8-10h_Elav-pos_2"	"18-22h_Elav-neg_1"	"18-22h_Elav-neg_2"	"18-22h_Elav-pos_1"	"18-22h_Elav-pos_2"	"6-8h_Repo-neg_1"	"6-8h_Repo-neg_2"	"6-8h_Repo-pos_1"	"6-8h_Repo-pos_2"	"8-10h_Repo-neg_1"	"8-10h_Repo-neg_2"	"8-10h_Repo-pos_1"	"8-10h_Repo-pos_2"	"18-22h_Repo-neg_1"	"18-22h_Repo-neg_2"	"18-22h_Repo-pos_1"	"18-22h_Repo-pos_2"	"CGID"	"Symbol"	"Biotype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Norm_avrg_A"	"Norm_avrg_B"	"log2FC_norm_count"	"IC_46_pos_mean"	"VC_46_pos_mean"	"VC_46_neg_mean"	"IC_46_neg_mean"	"VC_46_log2FC_over_neg"	"IC_46_log2FC_over_neg"	"Tissue_46_log2FC_VCvsIC_VST"	"IC_68_pos_mean"	"VC_68_pos_mean"	"VC_68_neg_mean"	"IC_68_neg_mean"	"VC_68_log2FC_over_neg"	"IC_68_log2FC_over_neg"	"Tissue_68_log2FC_VCvsIC_VST"	"Temp_VC_46vs68"	"Temp_IC_46vs68"
"FBgn0020371"	"NM_080007.3"	"2L"	15484728	15484928	500	"+"	48	22	55	51	67	17	26	15	19	15	36	38	291	160	369	83	160	260	343	156	518	499	531	289	64	267	166	84	19	32	94	65	72	60	57	21	197	412	357	323	253	315	309	144	567	447	547	541	2753	314	569	717	539	603	1453	1064	575	478	448	369	"''NM_080007.3,NM_001299027.1''"	"''Tim17b2 BcDNA:AT05822 BcDNA:AT13511 BG:DS01845.2 Dmel\CG15257 dmTim17 Tim17 CG15257 Dmel_CG15257''"	8.90455171068923	8.87109112396933	8.65618591955091	8.65618591955091	8.88330039880635	8.95680181903275	8.80878444436084	9.06304081073811	9.20776606511212	9.23618106904799	9.51739344742491	9.25022519602545	9.36041937454155	9.43754690730317	9.53395254624297	9.43024770482808	9.28383447078381	9.22250246782203	9.17904824081472	8.74693511506669	9.03651241890895	9.09657384834353	9.00132231750311	9.37438611757621	9.11200869007517	8.72752686630206	9.11007164460988	9.0071566652194	8.89306616595097	9.36094331235539	8.97280037970983	9.62816844775033	8.94060929699224	9.3866464540625	9.512352959742	9.05648245810391	8.65618591955091	8.9089979434301	9.00088320243148	9.24807043871626	9.10960082460191	9.40048071505659	9.30766847812562	9.8336059764569	9.21364441866198	9.45586654830865	9.26532795438836	9.30530032305715	"CG15257"	"Tim17b2"	"protein_coding"	840.096250441191	-1.69922607320573	0.221733284775065	-7.6633784365279	1.81104686725222e-14	0.012498745535511	1284.56500444967	395.627496432709	1.69906529541504	8.65618591955091	9.38380932172518	9.22197356708006	8.88782141732928	0.0250981676508027	-0.0380983429663198	0.116442212180144	8.93591262754948	9.48210012553552	9.39898314092236	8.92005110891955	0.0127019445247186	0.00256310335583643	0.0855915474896145	-0.015032928963051	-0.0458835936535808
"FBgn0034568"	"NM_166415.2"	"2R"	20990971	20991171	500	"-"	1	47	28	45	13	8	25	27	23	29	44	66	135	132	140	7	204	115	141	68	271	215	274	123	13	180	57	54	54	33	77	47	29	32	64	11	121	202	136	101	141	101	185	56	286	241	278	307	1363	165	288	426	51	99	1004	614	327	256	340	205	"''NM_166415.2''"	"''CG3216 Dmel_CG3216''"	9.78456232014386	9.45204279432199	9.81221464909394	9.54954308392422	9.37903850712639	9.57545539454122	9.36292722843626	9.8588591107768	10.1329200414824	10.1050276209696	10.4654141242797	10.1469917516038	10.3858039217475	10.4514278447951	10.5156050347419	10.3965894676201	10.0301234928411	9.65745532964851	9.70836371107152	9.49338509028912	9.75219270479728	9.61651510604534	9.26312686287113	9.95122478881018	9.83969306624933	9.47330861520664	9.5633172233154	9.32880403593919	9.11994014073956	10.0355050116916	9.44287778827487	10.5809779995725	9.10394042566821	10.3823141938324	10.4589449126121	10.0130093996618	9.43012993719645	9.35777093351424	9.2910665731953	10.12007598214	9.71997326059223	10.2248947218793	10.0802269609826	10.6673649292123	9.75848182877939	10.1392013335917	9.61302500732818	10.0157396082278	"CG3216"	"CG3216"	"protein_coding"	531.514986274843	-1.64476977649365	0.22820522533528	-7.20741505404682	5.70239898822037e-13	0.0143664252269786	805.92301347309	257.106959076596	1.64827337066633	9.68087886650908	10.3062029379417	10.118973831226	9.61830255723292	0.0264499125539468	0.0093557177858432	0.0903029739540758	9.61089316960653	10.456097251181	10.4186158832713	9.47724695083381	0.00518083686917369	0.0202024803415592	0.121602048288777	-0.0208315588985041	0.0104675154361971
"FBgn0044328"	"NM_001316481.1"	"3L"	9787045	9787245	500	"+"	15	47	36	29	3	10	20	18	17	22	40	37	50	29	36	107	37	52	87	24	108	76	128	83	49	155	32	25	25	23	35	12	33	36	46	18	59	100	55	76	58	56	123	35	164	108	163	176	515	132	197	269	9	80	401	314	137	159	100	65	"''NM_001316481.1,NM_001316482.1,NM_168375.5''"	"''BEST:HL01355 aSMase CG8163 Dmel\CG32052 Smase CG32052 Dmel_CG32052''"	9.21878293703463	9.04157967213673	9.17864473217135	8.87026647226543	9.2342014381383	9.2815352394757	9.09090716901675	9.40890334351315	9.71842318530419	9.781580838485	10.0969877884568	10.0013325774584	10.1695972945669	10.1672058104117	10.2934927175646	10.1475638797185	9.9381770720641	9.61687143251862	9.57213964688547	9.36105355545648	9.73816240502378	9.57564706918614	9.25429418920435	9.89812886714975	9.6012333731232	8.8227042168639	9.65938845308711	9.33804095538323	9.192744497526	9.90264973905455	9.31800318395846	10.2047325982951	10.5523031172056	10.6317983103356	10.3062052449657	10.1274684692049	8.8748123574225	9.17475905396059	9.24465464232862	9.72284549108902	9.59522516735139	10.0427912652299	9.52106806713462	10.398752079654	10.3593427532737	10.4692116143858	9.75796161250415	9.85220160959018	"CG32052"	"CG32052"	"protein_coding"	223.28016418672	-2.22608523010542	0.304719529065008	-7.30535793664381	2.76529611292717e-13	0.0143664252269786	368.23504176106	78.3252866123811	2.23307687318525	9.02445560221839	10.0491601829576	9.75000201189459	9.13018130458568	0.0436005174922604	-0.0168036046819244	0.155163129605476	9.24990525626495	10.2205282986416	10.1684015524893	9.257868338807	0.00737686210813416	-0.00124145676880007	0.143959277276983	-0.0243948318792017	-0.0355986842076944
"FBgn0052238"	"NM_168100.3"	"3L"	4648275	4648475	500	"+"	11	12	39	52	3	13	14	23	22	11	45	29	75	35	53	87	56	71	86	34	98	71	64	81	7	172	49	27	30	27	51	20	43	36	65	7	25	64	37	43	29	33	139	33	158	100	122	119	1002	154	88	192	116	115	572	325	218	152	167	92	"''NM_168100.3''"	"''TTLL1B CG7474 Dmel\CG32238 CG32238 Dmel_CG32238''"	9.03556475679144	8.7736700280766	8.96028003158302	8.93651788784451	8.95759815170099	9.13093891112536	8.92145844881731	9.27858242663414	9.45604495720103	9.55714043889592	9.59768944439714	9.43540301664276	9.70776884565371	9.70499854419174	9.88611578893077	9.73041765256597	9.57890129019643	9.233264892493	9.54571705740783	9.32633645309297	9.23242602539782	9.12053945739399	9.40767524247533	9.6753371768385	9.16304516002707	8.65618591955091	9.33509521283585	9.56472025244931	8.90865195517951	9.52775822692008	9.43617084722289	9.7357329908389	8.9473785009314	9.9305597531615	10.0154901109425	9.75918516849119	8.87206120510337	9.00839137871467	9.64477065557254	9.86183268598834	9.35198201841227	9.61022976727113	9.70507013347795	10.1036001336901	9.35247698499125	9.6540561268837	10.2457086094659	10.4427579187666	"CG32238"	"CG32238"	"protein_coding"	281.859385210362	-1.86083773261775	0.273126358832401	-6.81310196706288	9.55163877927034e-12	0.0297181056257479	442.43077333811	121.287997082613	1.86701495056837	8.94839895971376	9.51654623051995	9.50659269804848	8.90461739243402	0.00150973120685242	0.00707595572332303	0.0888085022801486	9.10002043772572	9.80826672074837	9.70638369492272	9.04426853141318	0.0150643202393992	0.00886595799159306	0.108128425975694	-0.0435601295186594	-0.0242402058231141
"FBgn0052698"	"NM_001258664.2"	"X"	9788323	9788523	500	"+"	11	26	27	7	8	14	7	15	27	13	24	27	79	39	45	71	27	38	50	39	93	67	80	55	7	153	14	29	38	19	19	29	28	33	36	15	31	39	26	14	30	25	51	26	99	50	101	94	1598	66	82	233	60	124	579	413	183	170	194	136	"''NM_001298132.1,NM_001258664.2,NM_132353.3,NM_001272461.1''"	"''Dmel\CG32698 CG9678 CG9683 CG32698 Dmel_CG32698''"	9.6161369144071	9.31113063526832	9.92702188564429	9.76957337784791	9.35621823647216	9.58324213149027	9.53220235472576	9.69062344219748	10.2927949705613	10.4945660165355	11.231398079544	10.6878397839853	10.5907830358462	10.8159591619466	11.209907496573	10.9155959999627	10.4018666687665	10.2027798279631	10.0754405163488	10.3023403592028	10.1453666456308	9.97376994989358	10.1920971914734	10.1564398946353	10.0433371130687	9.15410921855311	10.4776304380866	11.5105655507353	9.38008945518434	10.3214174393024	11.0502349229994	11.4114154004388	9.43321955608048	10.8109776834898	12.7145765003174	12.5194466732109	9.22253358058945	9.7231610958525	10.0013183896255	10.5205122885704	10.038377101102	10.4801802393661	10.1693016091957	11.1543928091827	11.6670423195423	11.2417440150979	11.2091319619054	11.0638003126463	"CG32698"	"CG32698"	"protein_coding"	331.05881543725	-1.67498438227155	0.259165616163336	-6.46298844371358	1.02655135001241e-10	0.056042425077057	504.474684064329	157.642946810172	1.67812124966613	9.8482976317461	10.9596189317647	10.3936804935484	9.46363377483771	0.0764910206628118	0.0574801179750223	0.154251368153185	9.61141289846162	11.0627517482678	10.7033710988964	9.46973018398121	0.0476450313687019	0.0214252055448725	0.202889855107667	-0.0135126497337511	0.0351258372207305
"FBgn0038135"	"NM_142016.3"	"3R"	13294747	13294947	500	"+"	14	36	30	30	67	8	26	22	27	17	58	55	374	322	245	53	131	200	598	250	874	861	568	279	30	200	138	41	29	39	540	185	311	194	153	39	289	351	322	174	203	199	605	168	1170	941	930	934	1150	135	139	247	135	123	634	195	114	135	99	77	"''NM_142016.3''"	"''Dmel\CG8773 CG8773-RB CG8773 Dmel_CG8773''"	9.52180129757364	9.3384801099254	9.5320913346044	8.8321457778497	9.08712555271656	9.44628758243113	9.28158630563002	9.3505829385424	10.0252652638046	10.0222976575406	10.2247015974722	10.1217658148804	10.1134856443465	10.0655645660846	10.2427288742422	10.1751139534263	10.1217660817168	9.80113629385488	9.65622188505161	9.42574625898926	9.65976980869936	9.6057430961774	9.27895254728206	9.67634674674109	9.48942323432046	9.17281233564177	9.22618218887538	8.97089971883581	9.08805840979754	10.1248055684963	9.02438777957413	10.3015456669968	10.8287075412048	10.6956987212265	10.1303188800588	9.66327668309764	9.17165383265687	9.22321649990681	9.29336306318087	10.0788804898288	9.56918845130963	10.1020386908477	9.68170878419412	10.5577847770074	10.3027416222442	10.4851344951925	9.9063645121878	9.67902795933874	"CG8773"	"CG8773"	"protein_coding"	231.920930354351	-2.16830736212189	0.341651450472105	-6.34654809492438	2.20199728860178e-10	0.0615574642399624	379.026855407471	84.8150053012304	2.15990864091291	9.18211855622705	10.1732337061763	10.0237814606726	9.43014070374952	0.0213514667550614	-0.0384522372642497	0.14787936826662	9.31608462208621	10.2089214138343	10.0895251052156	9.26670656757384	0.0169721804846746	0.00766705510586285	0.132034802258089	-0.00505211849980526	-0.0208966845083368
"FBgn0052698"	"NM_132353.3"	"X"	9788465	9788665	500	"+"	1	33	41	21	34	12	13	8	24	20	38	24	61	45	55	36	2	41	50	37	78	65	92	54	13	175	20	19	2	10	30	23	24	34	39	12	26	39	22	25	25	37	56	28	98	46	91	87	1247	233	69	239	41	108	550	401	187	153	206	123	"''NM_001298132.1,NM_001258664.2,NM_132353.3,NM_001272461.1''"	"''Dmel\CG32698 CG9678 CG9683 CG32698 Dmel_CG32698''"	9.6161369144071	9.31113063526832	9.92702188564429	9.76957337784791	9.35621823647216	9.58324213149027	9.53220235472576	9.69062344219748	10.2927949705613	10.4945660165355	11.231398079544	10.6878397839853	10.5907830358462	10.8159591619466	11.209907496573	10.9155959999627	10.4018666687665	10.2027798279631	10.0754405163488	10.3023403592028	10.1453666456308	9.97376994989358	10.1920971914734	10.1564398946353	10.0433371130687	9.15410921855311	10.4776304380866	11.5105655507353	9.38008945518434	10.3214174393024	11.0502349229994	11.4114154004388	9.43321955608048	10.8109776834898	12.7145765003174	12.5194466732109	9.22253358058945	9.7231610958525	10.0013183896255	10.5205122885704	10.038377101102	10.4801802393661	10.1693016091957	11.1543928091827	11.6670423195423	11.2417440150979	11.2091319619054	11.0638003126463	"CG32698"	"CG32698"	"protein_coding"	320.072300961187	-1.63844178682916	0.26765543327397	-6.12145909682343	9.27223226078868e-10	0.088854971457226	485.061340745866	155.083261176509	1.64512422341126	9.8482976317461	10.9596189317647	10.3936804935484	9.46363377483771	0.0764910206628118	0.0574801179750223	0.154251368153185	9.61141289846162	11.0627517482678	10.7033710988964	9.46973018398121	0.0476450313687019	0.0214252055448725	0.202889855107667	-0.0135126497337511	0.0351258372207305
"FBgn0003411"	"NM_078561.3"	"X"	11322157	11322357	500	"-"	6	39	31	25	29	12	63	120	85	28	65	51	76	31	43	78	70	114	91	71	273	176	250	119	46	123	20	37	4	23	42	25	23	24	28	19	781	832	885	582	701	382	1083	238	1278	1068	894	966	2046	464	694	947	331	493	972	804	566	491	393	306	"''NM_078561.3''"	"''sisA CG1641''"	9.88714430699561	10.093805317522	9.4976952777157	9.10737757284907	9.41801844338094	9.35186997118716	9.09617906849003	9.20251457555917	9.3969855763597	9.59975266465146	9.46613787521386	9.32516151941164	9.53382942845952	9.7144355938052	9.55392997913324	9.34246902748845	9.38220191054454	9.35077747293461	9.20967180840378	9.19805733053485	9.42063520450254	9.45110115412621	9.29877759141577	9.47511628877988	9.59141008433106	9.26048937400136	9.3436339113977	8.90157664922348	9.40219407869195	9.39691527765978	8.9664922184065	9.53798980505472	9.77280718728223	9.73811757734462	9.52494295683752	9.17379857169912	9.47731685407669	9.50407523233318	9.03485655399431	9.20871990682562	9.31264660206984	9.39127228587143	9.25576398472855	9.64100752971536	9.67712477251379	9.33633222747336	9.14459192862331	9.24131416917189	"CG1641"	"sisA"	"protein_coding"	629.181658504907	-1.4499427296776	0.243112575271331	-5.96407951361364	2.46016924592172e-09	0.110825565596087	921.481801326407	336.881515683408	1.45171440228889	9.30253642528238	9.39564969731275	9.49836912050558	9.9904748122588	-0.0156868968883633	-0.102929111466045	0.0143687912142439	9.1493468220246	9.44819950331085	9.62413251113236	9.38494420728405	-0.0266170783252958	-0.0366794162679253	0.0463706761503759	-0.00804650262653106	0.0239553823096008
"FBgn0005619"	"NM_078955.3"	"2R"	10240868	10241068	500	"+"	37	30	16	25	65	13	50	46	48	26	53	62	152	220	154	35	129	146	180	76	308	273	270	200	31	171	2	60	160	43	60	35	41	53	52	27	263	606	477	370	522	297	584	220	1053	806	798	756	3029	774	980	1602	634	908	1760	1145	1009	829	798	561	"''NM_001299345.1,NM_001273926.1,NM_078955.3''"	"''Hdc Hdc-RA CG3454 Dmel_CG3454''"	9.3965409088258	8.94698313580203	9.75577101899575	9.22265882262777	9.2019848047261	9.49342403250056	9.06283331002206	9.56005761077958	10.0056521234361	10.0892972155074	10.581277072849	10.5181000637211	10.4734051376998	10.3830830749125	10.6900681041862	10.6967128431915	9.89683033953209	9.82372358855934	9.58354584396998	9.17361212440021	9.55765030188213	9.67570904877026	9.20539996828049	9.87209540194908	9.80634767659706	8.9773489257105	10.1945127308117	10.0444374437534	9.14830055387102	10.1118424252444	9.69353493221502	10.7858571632171	9.25072998386444	10.3575272785714	10.8562233439265	10.961890883181	9.21525829829829	9.25175476997789	9.18747330769173	10.0319082460631	9.49189867723326	10.1106214678117	10.0429901200614	10.5414432154116	10.2473201653693	10.4032599870354	9.62063440072908	9.87656393244921	"CG3454"	"Hdc"	"protein_coding"	1054.2040429624	-1.16695334111698	0.198759910160515	-5.87117060062349	4.3272868356647e-09	0.114429643254327	1459.0524017797	649.355684145091	1.16795086339951	9.48921492081176	10.549688568285	10.0474746694718	9.17176202231392	0.070367470286458	0.0490898103687484	0.152839772936503	9.31144546040082	10.6933904736889	10.4282441063061	9.34770441861333	0.0362230909042156	-0.0056069740994866	0.199642303401629	-0.0195189396311537	0.027283590833972
NA	"NR_123935.1"	"X"	18121267	18121467	500	"-"	1	3	34	45	38	4	28	14	15	17	36	41	67	36	45	3	84	45	92	22	173	77	129	85	43	146	21	71	3	24	45	23	18	28	31	12	51	120	88	38	71	61	87	35	167	114	215	203	660	32	66	109	1	53	478	391	190	163	189	109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	295.137362002455	-1.67594760851621	0.286560306284106	-5.84849880378972	4.96029208378527e-09	0.114429643254327	450.202830017894	140.071893987015	1.68440762374184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
