"FBgn"	"RefSeqID"	"Chr"	"Start"	"End"	"Score"	"Strand"	"IC_4_6_K4me3_1"	"IC_4_6_K4me3_2"	"IC_6_8_K4me3_1"	"IC_6_8_K4me3_2"	"IC_8_10_K4me3_1"	"IC_8_10_K4me3_2"	"VC_4_6_K4me3_1"	"VC_4_6_K4me3_2"	"VC_68_K4me3_1_1"	"VC_68_K4me3_2_1"	"VC_810_K4me3_1_1"	"VC_810_K4me3_2_1"	"IC_4_6_K27ac_1"	"IC_4_6_K27ac_3"	"IC_6_8_K27ac_1"	"IC_6_8_K27ac_3"	"IC_8_10_K27ac_1"	"IC_8_10_K27ac_2"	"VC_4_6_K27ac_1"	"VC_4_6_K27ac_2"	"VC_68_K27ac_1_1"	"VC_68_K27ac_2_1"	"VC_810_K27ac_1_1"	"VC_810_K27ac_2_1"	"IC_4_6_K79me3_1"	"IC_4_6_K79me3_2"	"IC_6_8_K79me3_1"	"IC_6_8_K79me3_2"	"IC_8_10_K79me3_1"	"IC_8_10_K79me3_2"	"VC_4_6_K79me3_1"	"VC_4_6_K79me3_2"	"VC_68_K79me3_1_1"	"VC_68_K79me3_2_1"	"VC_810_K79me3_1_1"	"VC_810_K79me3_2_1"	"IC_4_6_K4mono_1"	"IC_4_6_K4mono_2"	"IC_6_8_K4mono_1"	"IC_6_8_K4mono_2"	"IC_8_10_K4mono_1"	"IC_8_10_K4mono_2"	"VC_4_6_K4mono_1"	"VC_4_6_K4mono_2"	"VC_68_K4mono_1_1"	"VC_68_K4mono_2_1"	"VC_810_K4mono_1_1"	"VC_810_K4mono_2_1"	"IC_4_6_K27me3_1"	"IC_4_6_K27me3_2"	"IC_6_8_K27me3_2"	"IC_6_8_K27me3_3"	"IC_8_10_K27me3_1"	"IC_8_10_K27me3_2"	"VC_4_6_K27me3_1"	"VC_4_6_K27me3_2"	"VC_68_K27me3_1_1"	"VC_68_K27me3_2_1"	"VC_810_K27me3_1_1"	"VC_810_K27me3_2_1"	"All_RefSeq"	"Gene"	"4-6h_Ind-neg_1"	"4-6h_Ind-neg_2"	"4-6h_Ind-pos_1"	"4-6h_Ind-pos_2"	"6-8h_Ind-neg_1"	"6-8h_Ind-neg_2"	"6-8h_Ind-pos_1"	"6-8h_Ind-pos_2"	"4-6h_Vnd-neg_1"	"4-6h_Vnd-neg_2"	"4-6h_Vnd-pos_1"	"4-6h_Vnd-pos_2"	"6-8h_Vnd-neg_1"	"6-8h_Vnd-neg_2"	"6-8h_Vnd-pos_1"	"6-8h_Vnd-pos_2"	"4-6h_Pros-neg_1"	"4-6h_Pros-neg_2"	"4-6h_Pros-pos_1"	"4-6h_Pros-pos_2"	"6-8h_Pros-neg_1"	"6-8h_Pros-neg_2"	"6-8h_Pros-pos_1"	"6-8h_Pros-pos_2"	"6-8h_Elav-neg_1"	"6-8h_Elav-neg_2"	"6-8h_Elav-pos_1"	"6-8h_Elav-pos_2"	"8-10h_Elav-neg_1"	"8-10h_Elav-neg_2"	"8-10h_Elav-pos_1"	"8-10h_Elav-pos_2"	"18-22h_Elav-neg_1"	"18-22h_Elav-neg_2"	"18-22h_Elav-pos_1"	"18-22h_Elav-pos_2"	"6-8h_Repo-neg_1"	"6-8h_Repo-neg_2"	"6-8h_Repo-pos_1"	"6-8h_Repo-pos_2"	"8-10h_Repo-neg_1"	"8-10h_Repo-neg_2"	"8-10h_Repo-pos_1"	"8-10h_Repo-pos_2"	"18-22h_Repo-neg_1"	"18-22h_Repo-neg_2"	"18-22h_Repo-pos_1"	"18-22h_Repo-pos_2"	"CGID"	"Symbol"	"Biotype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Norm_avrg_A"	"Norm_avrg_B"	"log2FC_norm_count"	"IC_46_pos_mean"	"VC_46_pos_mean"	"VC_46_neg_mean"	"IC_46_neg_mean"	"VC_46_log2FC_over_neg"	"IC_46_log2FC_over_neg"	"Tissue_46_log2FC_VCvsIC_VST"	"IC_68_pos_mean"	"VC_68_pos_mean"	"VC_68_neg_mean"	"IC_68_neg_mean"	"VC_68_log2FC_over_neg"	"IC_68_log2FC_over_neg"	"Tissue_68_log2FC_VCvsIC_VST"	"Temp_VC_46vs68"	"Temp_IC_46vs68"
"FBgn0261930"	"NM_001042788.4"	"X"	582120	582320	500	"+"	29	20	61	39	15	11	15	43	27	22	59	38	166	95	78	30	51	115	423	168	554	533	504	274	50	147	52	37	30	33	644	228	341	181	174	55	171	292	186	148	137	178	632	212	1077	792	955	939	674	87	592	696	218	518	388	98	169	183	251	187	"''NM_001042788.4''"	"''vnd Dm vnd Dm-NK2 Dmel\CG6172 dNK-2 EC6 EG:118B3.1 HDC16822 l(1)1Bf l(1)EA142 l(1)EC6 l(1)GA100 l(1)GA122 l(1)RC24 l(1)VA208 l(1)VE769 lab NK-2 nk-2 NK2 Nkx2 VND Vnd CG6172 Dmel_CG6172''"	11.6390990041662	11.5800482573277	11.7274173344586	11.7496215436411	11.8095616814403	11.8144019534854	11.7393304423469	11.7841205320437	11.1542946523829	11.1994774283297	12.559500465413	12.7648211517329	11.0641253064657	10.9750927326284	13.2130434704999	13.5589264192884	11.0037266625505	11.1168994265843	12.755045436078	12.9596014695066	10.6905135038013	10.7895952055259	13.4097921613593	13.3691924582383	11.4938790959043	11.5432597284619	12.6194091855927	13.0906537734248	11.599919939918	11.3393572116384	12.7443730018281	12.0876481193871	11.4442687808659	11.2617028721576	11.4146353949602	11.6469538013268	11.7664551134685	11.7400686549169	10.5585599780713	10.7236347574062	11.6988135504074	11.6039828308209	10.9030002105099	10.5703720709207	11.3105739856623	11.4076144329835	10.3185578164051	10.5501945386967	"CG6172"	"vnd"	"protein_coding"	400.002953986172	-1.77922077449447	0.285839560898236	-6.22454347782848	4.82960206701715e-10	0.00206446734522636	619.688962664119	180.316945308225	1.78100929197324	11.7385194390498	12.6621608085729	11.1768860403563	11.609573630747	0.180005323815708	0.0159354658225428	0.109273167846817	11.7617254871953	13.3859849448941	11.0196090195471	11.8119818174629	0.280650259451173	-0.00615131657960311	0.186623572606701	-0.0801996739113535	-0.00284926915146935
"FBgn0261930"	"NM_057438.4"	"X"	591041	591241	500	"+"	35	67	96	53	142	225	1287	1730	1294	1244	962	887	80	31	62	45	77	119	453	174	474	659	433	373	127	470	199	109	315	262	1890	1042	1727	1188	666	180	465	668	763	469	466	442	305	177	641	531	544	607	1464	259	581	928	546	844	693	110	235	253	250	188	"''NM_057438.4''"	"''vnd NK2 CG6172''"	11.6390990041662	11.5800482573277	11.7274173344586	11.7496215436411	11.8095616814403	11.8144019534854	11.7393304423469	11.7841205320437	11.1542946523829	11.1994774283297	12.559500465413	12.7648211517329	11.0641253064657	10.9750927326284	13.2130434704999	13.5589264192884	11.0037266625505	11.1168994265843	12.755045436078	12.9596014695066	10.6905135038013	10.7895952055259	13.4097921613593	13.3691924582383	11.4938790959043	11.5432597284619	12.6194091855927	13.0906537734248	11.599919939918	11.3393572116384	12.7443730018281	12.0876481193871	11.4442687808659	11.2617028721576	11.4146353949602	11.6469538013268	11.7664551134685	11.7400686549169	10.5585599780713	10.7236347574062	11.6988135504074	11.6039828308209	10.9030002105099	10.5703720709207	11.3105739856623	11.4076144329835	10.3185578164051	10.5501945386967	"CG6172"	"vnd"	"protein_coding"	476.111775834529	-1.49038423833358	0.254791923552695	-5.84941711476716	4.9329862094495e-09	0.00293457015382378	702.241211553831	249.982340115227	1.49014048437202	11.7385194390498	12.6621608085729	11.1768860403563	11.609573630747	0.180005323815708	0.0159354658225428	0.109273167846817	11.7617254871953	13.3859849448941	11.0196090195471	11.8119818174629	0.280650259451173	-0.00615131657960311	0.186623572606701	-0.0801996739113535	-0.00284926915146935
"FBgn0004102"	"NM_001272417.1"	"X"	8642976	8643176	500	"-"	29	8	22	8	21	24	89	72	72	44	138	100	106	72	49	52	35	86	274	131	310	432	378	324	118	224	190	81	64	153	914	483	1459	652	657	202	170	245	311	279	217	194	447	165	757	529	601	585	2255	549	860	1622	657	1443	1074	485	510	559	595	361	"''NM_001272417.1,NM_001014727.3,NM_001272416.1''"	"''oc Dmel\CG12154 l(1)7Ff l(1)8Ac Oc ort Otd otd Otx uvi CG12154 Dmel_CG12154''"	12.3668886537385	12.3504877142431	11.6358822591098	11.421126694787	12.4360272226153	12.4059102781201	11.5979054361194	11.4324911953147	11.9086403742113	11.8193509151649	13.9155983840965	14.2048653245844	11.5734810144627	11.4269609237758	13.7360430375807	13.9202617719858	12.2950115002832	12.2523574678827	13.9622563885593	13.9326137017335	12.0719842265365	12.1199790335787	14.0128407203946	13.8762029143896	12.0247772326999	12.2619388776971	13.2091602447178	13.282863977001	12.2866688245686	12.1237084814737	13.5831828701927	12.6449348501947	12.5228070153244	11.8058429213247	13.0134505382882	13.3242550398863	12.3814385553518	12.338761072097	11.1377078240803	10.8417841324335	12.767431863556	12.4876275147903	11.495753883383	11.1049072785626	12.5258438864104	12.4688890758828	11.3489168282048	11.7531786000155	"CG12154"	"oc"	"protein_coding"	841.235090252229	-1.05234592338527	0.227144111784784	-4.63294388358327	3.60502282607396e-06	0.0635183287440287	1134.84833686239	547.621843642064	1.05124760673853	11.5285044769484	14.0602318543405	11.8639956446881	12.3586881839908	0.245030411475282	-0.100320243108426	0.286415011723262	11.5151983157171	13.8281524047832	11.5002209691193	12.4209687503677	0.265946827370178	-0.1092384407039	0.264069151674155	0.0240119755278595	0.00166611547875187
"FBgn0085481"	"NM_001300144.1"	"3L"	15687702	15687902	500	"-"	1	25	29	40	13	13	18	25	35	20	24	48	207	152	128	79	158	189	540	251	665	777	501	309	36	211	73	76	86	63	186	120	280	133	172	42	200	263	246	208	212	183	406	194	1103	813	745	688	328	151	354	355	137	262	135	83	89	118	105	87	"''NM_001104141.2,NM_001300144.1''"	"''BP1049 CG33999 Dmel\CG34452 CG34452 Dmel_CG34452''"	8.98506347544436	8.96403987130684	9.17016904776	8.65618591955091	8.92945072376173	9.0968177038115	8.93786901781958	9.12844711145213	9.34815686615606	9.45227984996738	9.3855963395561	9.40481839396606	9.43041535245936	9.51139610053615	9.75043585064312	9.39643717732897	9.76317007317692	9.1163798886383	9.39208528405441	8.97098169980616	9.28271876591687	9.19647526585403	8.84614606477736	9.47990435504496	9.29745765699348	8.82369425087902	9.15184798041987	8.8126748121666	8.8682407685308	9.41412088638555	8.7761078606459	9.54507779742665	9.32705089474871	9.68251654149733	9.68605316031141	9.39927593506675	8.96914093945983	9.01045353301351	8.65618591955091	9.53492289772676	9.14357558754759	9.47946062685665	9.28299120056957	9.90613420346948	9.61349379009603	9.55267886309837	9.31707924660973	9.49440335159023	"CG34452"	"CG34452"	"protein_coding"	226.566585251578	-1.7071278922478	0.368515737493438	-4.63244230452491	3.61377063033907e-06	0.0635183287440287	347.057433524836	106.075736978321	1.71007972794465	8.91317748365546	9.39520736676108	9.40021835806172	8.9745516733756	-0.000769265094230764	-0.00990003659260133	0.0759851706612262	9.03315806463586	9.57343651398605	9.47090572649775	9.01313421378661	0.0155344916590764	0.00320157977378617	0.0838064388284147	-0.0271118879917595	-0.019290619824571
"FBgn0028567"	"NM_001274327.1"	"3L"	1477618	1477818	500	"+"	15	19	37	43	41	10	17	24	21	31	34	59	106	66	167	91	80	98	215	104	286	232	223	135	13	177	44	34	73	19	125	41	67	52	56	20	179	256	219	152	123	141	341	121	536	365	404	421	888	302	437	630	253	425	300	159	197	209	191	113	"''NM_001274327.1,NM_138266.2''"	"''robl62A Dmel\CG1014 rob162A robl62A-RA CG1014 Dmel_CG1014''"	8.89773666453142	8.82140956856973	8.93931445497256	8.71710549181314	8.95930277627861	9.02557124664129	8.87299871557608	9.00773496902764	9.09044591345077	9.32059401481063	9.49753148600888	9.35406519480629	9.38798143524091	9.45711614944867	9.53006329186595	9.39443821045914	9.42756868372025	9.09645555782616	9.10775232143193	9.07958679390203	9.17486925072086	8.99538490495785	8.95831457797186	9.24061683898292	9.00231102429021	8.82040330031403	9.06766953864448	9.26245445805823	8.90257733745375	9.35655268386216	9.08031098346553	9.37089867991906	8.65618591955091	9.74544845080647	9.49928792695763	9.11988978224055	8.65618591955091	8.88758076466124	8.94837678115734	9.29882351405806	9.27350414929107	9.30321788291181	9.42159309172145	9.65378315448656	9.20458556223047	9.41125172209342	9.01761540492135	9.09167978563749	"CG1014"	"robl62A"	"protein_coding"	355.024676565821	-1.27093450469482	0.279808966361791	-4.54215074384541	5.56831997633728e-06	0.0655670106724283	502.077554783481	207.971798348162	1.27152232373427	8.82820997339285	9.42579834040759	9.2055199641307	8.85957311655057	0.034115603052456	-0.0051162430351779	0.0944938724288556	8.94036684230186	9.46225075116255	9.42254879234479	8.99243701145995	0.00606603245674282	-0.00837811940102728	0.0818493635313716	-0.00556857696223673	-0.0182130858597206
"FBgn0036343"	"NM_140372.1"	"3L"	13061194	13061394	500	"-"	5	15	21	33	40	4	17	17	14	17	46	34	221	103	161	3	108	147	432	186	520	385	378	232	116	293	91	109	156	77	332	109	167	146	103	33	141	198	166	129	162	132	221	98	439	324	403	456	482	175	442	520	143	321	214	101	183	178	245	209	"''NM_140372.1''"	"''Dmel\CG14115 CG14115 Dmel_CG14115''"	8.84688918264929	9.01275668686242	8.65618591955091	8.65618591955091	8.90089831404236	9.03205276563893	8.82666654496954	8.95946663428409	9.29751943625027	9.29293351765654	9.42933568548216	9.29673421088318	9.44981600114586	9.55175666201014	9.51999893985073	9.42426218287861	9.28036000022978	9.16770322164019	9.18270817283623	9.10197977053475	9.19901661802225	9.18055016337869	8.92326700947401	9.29836183703701	9.16003298102702	8.65618591955091	9.18955133501263	8.80981080524417	8.80070037210232	9.28386628158885	8.82014915032461	9.79130131179655	8.65618591955091	9.48788155036257	9.55905671484719	9.08444307996139	8.65618591955091	8.90760107809897	8.65618591955091	9.02890146128603	9.16076247219558	9.37078443383471	9.19539948337033	9.69603934461916	9.15182450636271	9.46672871874519	8.93716278468435	9.2701564262703	"CG14115"	"CG14115"	"protein_coding"	323.850437076382	-1.32156334768634	0.301397021001708	-4.38479233568422	1.16096477447968e-05	0.0755175347809017	462.808115321636	184.892758831128	1.32372543835187	8.65618591955091	9.36303494818267	9.29522647695341	8.92982293475585	0.0104862263032037	-0.0449000830778751	0.113244756915242	8.89306658962681	9.47213056136467	9.500786331578	8.96647553984064	-0.00435795605372794	-0.0118600268807498	0.0910079785136036	-0.0167127238857228	-0.038949502287361
NA	"NR_133146.1"	"3L"	901887	902087	500	"+"	21	35	17	17	13	29	23	24	30	34	59	49	175	182	161	27	245	202	327	124	363	358	349	425	48	267	52	83	65	77	52	47	97	72	107	26	172	367	309	324	252	232	363	107	714	502	543	478	1298	302	1049	1177	655	749	592	460	543	397	517	395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	778.824303917282	-1.16009227663372	0.259887162778177	-4.46383062646268	8.05072130703929e-06	0.0755175347809017	1076.44783125689	481.200776577678	1.16156752683055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"NR_125273.1"	"3R"	26757712	26757912	500	"-"	17	39	90	70	97	20	14	12	13	23	63	44	185	113	177	114	144	187	133	70	216	191	209	172	64	348	88	20	24	55	48	33	53	58	82	22	130	212	112	108	103	128	110	46	206	148	293	221	983	199	452	358	151	350	254	186	128	128	123	97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	268.832828847344	-1.62869794093407	0.372234495695922	-4.37546213412888	1.2117547698736e-05	0.0755175347809017	406.544240370753	131.121417323934	1.63250900163828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0053985"	"NM_001038929.3"	"3L"	15526612	15526812	500	"-"	22	22	44	50	44	18	25	21	27	23	43	46	220	120	220	33	200	182	236	87	388	353	346	180	28	204	135	58	196	89	64	25	40	52	71	19	189	297	281	182	232	192	301	86	483	325	452	502	372	77	203	408	83	81	156	108	83	100	78	55	"''NM_001038929.3''"	"''FBgn0036507 CG17014 CG7973 Dmel\CG33985 CG33985 Dmel_CG33985''"	9.11852798564402	8.85832308052608	9.28791034138524	8.89976745763014	8.76166905365065	9.00775836754994	8.88290390478469	8.99006424705181	9.20390840683859	9.45312933908753	9.40230309007777	9.14283891039142	9.36334067799425	9.46382829540123	9.60920204742799	9.47012065941562	9.28572071389262	9.09412741447158	9.05059951169491	8.65618591955091	8.98080588469428	9.12682964874121	8.65618591955091	9.17290503797124	9.08345450041629	8.65618591955091	8.99579919811879	8.76059872088999	8.65618591955091	9.27047472952389	8.65618591955091	9.47643488936813	8.86946928827168	9.80112637882621	9.40270741272639	9.11142839462355	8.89417111134731	8.8278364382392	8.91156959834843	9.33914246857668	9.06462836988102	9.39645151543385	9.01152737292548	9.67989986264603	9.12917579917026	9.26496498264894	9.18555584701556	9.01880012025938	"CG33985"	"CG33985"	"protein_coding"	185.645436846649	-1.56790642898148	0.371332331118679	-4.22238059438022	2.41735468612666e-05	0.101127411618241	277.529195150081	93.7616785432175	1.5655692436116	9.09383889950769	9.2725710002346	9.32851887296306	8.98842553308505	-0.00867862716528243	0.0168210197768951	0.0280799630425185	8.93648407591825	9.53966135342181	9.41358448669774	8.88471371060029	0.0191938789613169	0.00838204707715065	0.0942307166287558	-0.0409686436786867	0.0251821099075506
"FBgn0267487"	"NM_001274324.2"	"3L"	1475057	1475257	500	"-"	67	33	24	36	51	8	22	12	33	13	55	33	89	111	38	3	58	98	198	91	299	224	228	165	22	180	7	14	36	36	38	27	45	35	61	11	105	125	76	120	46	106	201	60	276	222	262	265	613	116	389	475	97	387	307	149	140	187	197	135	"''NM_167875.2,NM_001274324.2''"	"''Ptp61F anon-WO0118547.297 anon-WO0140519.98 BEST:LP01280 CG9178 CPtp62A DCPTP62A Dmel\CG9181 DPTP61F dPTP61F dptp61F Ptp-61F PTP1B PTP61F ptp61F R-PTP 61F CG9181 Dmel_CG9181''"	13.1230017284997	13.208420584094	13.2414755039229	13.520309538354	13.01590597668	13.034977348818	13.57838115522	13.3901761274272	12.515923394148	12.5430469384706	12.217030675025	12.3937183670165	12.5465172477415	12.5288780843162	12.3077693849324	12.4187083465453	12.4809218246605	12.6558523239521	12.6668551657673	12.829713471193	12.7610076596641	12.7613760962614	12.8792917167399	12.6408002776617	12.9949518086365	12.9555987850393	12.6694157638622	12.7893647351691	12.6324341529547	12.3474192886037	12.7134357718748	12.0844238301101	12.3692357492035	11.6089889771223	12.2620322424561	12.7298912804027	13.1774089815959	13.1851714460906	12.6354952227637	12.524148087814	12.8328115460027	12.6482881994123	12.3354735847586	11.9242167826919	12.0896674730178	11.9934357704108	12.0607686197389	12.2312731024203	"CG9181"	"Ptp61F"	"protein_coding"	290.774246213548	-1.30303187654141	0.321187526438296	-4.05691930502706	4.97242522636021e-05	0.1305237660759	413.977452736705	167.571039690392	1.30477935539707	13.3808925211384	12.3053745210208	12.5294851663093	13.1657111562969	-0.0260385681647678	0.0233888968288395	-0.120885780928437	13.4842786413236	12.3632388657389	12.5376976660289	13.025441662749	-0.0202157026465959	0.0499460530257326	-0.125221601308392	-0.0067681758166485	-0.0111039961966032
