RefSeqID	FBgn	Chr	Start	End	Score	Strand	IC_4_6_K4me3_1	IC_4_6_K4me3_2	IC_6_8_K4me3_1	IC_6_8_K4me3_2	IC_8_10_K4me3_1	IC_8_10_K4me3_2	VC_4_6_K4me3_1	VC_4_6_K4me3_2	VC_68_K4me3_1_1	VC_68_K4me3_2_1	VC_810_K4me3_1_1	VC_810_K4me3_2_1	IC_4_6_K27ac_1	IC_4_6_K27ac_3	IC_6_8_K27ac_1	IC_6_8_K27ac_3	IC_8_10_K27ac_1	IC_8_10_K27ac_2	VC_4_6_K27ac_1	VC_4_6_K27ac_2	VC_68_K27ac_1_1	VC_68_K27ac_2_1	VC_810_K27ac_1_1	VC_810_K27ac_2_1	IC_4_6_K79me3_1	IC_4_6_K79me3_2	IC_6_8_K79me3_1	IC_6_8_K79me3_2	IC_8_10_K79me3_1	IC_8_10_K79me3_2	VC_4_6_K79me3_1	VC_4_6_K79me3_2	VC_68_K79me3_1_1	VC_68_K79me3_2_1	VC_810_K79me3_1_1	VC_810_K79me3_2_1	IC_4_6_K4mono_1	IC_4_6_K4mono_2	IC_6_8_K4mono_1	IC_6_8_K4mono_2	IC_8_10_K4mono_1	IC_8_10_K4mono_2	VC_4_6_K4mono_1	VC_4_6_K4mono_2	VC_68_K4mono_1_1	VC_68_K4mono_2_1	VC_810_K4mono_1_1	VC_810_K4mono_2_1	IC_4_6_K27me3_1	IC_4_6_K27me3_2	IC_6_8_K27me3_2	IC_6_8_K27me3_3	IC_8_10_K27me3_1	IC_8_10_K27me3_2	VC_4_6_K27me3_1	VC_4_6_K27me3_2	VC_68_K27me3_1_1	VC_68_K27me3_2_1	VC_810_K27me3_1_1	VC_810_K27me3_2_1	X4.6h_Ind.neg_1	X4.6h_Ind.neg_2	X4.6h_Ind.pos_1	X4.6h_Ind.pos_2	X6.8h_Ind.neg_1	X6.8h_Ind.neg_2	X6.8h_Ind.pos_1	X6.8h_Ind.pos_2	X4.6h_Vnd.neg_1	X4.6h_Vnd.neg_2	X4.6h_Vnd.pos_1	X4.6h_Vnd.pos_2	X6.8h_Vnd.neg_1	X6.8h_Vnd.neg_2	X6.8h_Vnd.pos_1	X6.8h_Vnd.pos_2	X4.6h_Pros.neg_1	X4.6h_Pros.neg_2	X4.6h_Pros.pos_1	X4.6h_Pros.pos_2	X6.8h_Pros.neg_1	X6.8h_Pros.neg_2	X6.8h_Pros.pos_1	X6.8h_Pros.pos_2	X6.8h_Elav.neg_1	X6.8h_Elav.neg_2	X6.8h_Elav.pos_1	X6.8h_Elav.pos_2	X8.10h_Elav.neg_1	X8.10h_Elav.neg_2	X8.10h_Elav.pos_1	X8.10h_Elav.pos_2	X18.22h_Elav.neg_1	X18.22h_Elav.neg_2	X18.22h_Elav.pos_1	X18.22h_Elav.pos_2	X6.8h_Repo.neg_1	X6.8h_Repo.neg_2	X6.8h_Repo.pos_1	X6.8h_Repo.pos_2	X8.10h_Repo.neg_1	X8.10h_Repo.neg_2	X8.10h_Repo.pos_1	X8.10h_Repo.pos_2	X18.22h_Repo.neg_1	X18.22h_Repo.neg_2	X18.22h_Repo.pos_1	X18.22h_Repo.pos_2	CGID	Symbol	Biotype	Tissue_46_K4me3	Tissue_68_K4me3	Tissue_810_K4me3	Tissue_46_K27ac	Tissue_68_K27ac	Tissue_810_K27ac	Tissue_46_K79me3	Tissue_68_K79me3	Tissue_810_K79me3	Tissue_46_K4me1	Tissue_68_K4me1	Tissue_810_K4me1	Tissue_46_K27me3	Tissue_68_K27me3	Tissue_810_K27me3	fit3.cluster	K4_vector	K27_vector	K79_vector	Euklidian_dist
NM_001272418.1	FBgn0004102	X	8650288	8650488	500	-	19	33	26	46	90	225	1625	1411	1500	1638	1427	1317	58	46	124	63	52	47	287	131	269	419	319	302	58	338	81	67	46	162	989	522	1511	743	659	204	161	346	236	267	229	220	152	144	282	190	204	300	1171	231	212	527	233	566	709	243	237	241	272	224	12.3668886537385	12.3504877142431	11.6358822591098	11.421126694787	12.4360272226153	12.4059102781201	11.5979054361194	11.4324911953147	11.9086403742113	11.8193509151649	13.9155983840965	14.2048653245844	11.5734810144627	11.4269609237758	13.7360430375807	13.9202617719858	12.2950115002832	12.2523574678827	13.9622563885593	13.9326137017335	12.0719842265365	12.1199790335787	14.0128407203946	13.8762029143896	12.0247772326999	12.2619388776971	13.2091602447178	13.282863977001	12.2866688245686	12.1237084814737	13.5831828701927	12.6449348501947	12.5228070153244	11.8058429213247	13.0134505382882	13.3242550398863	12.3814385553518	12.338761072097	11.1377078240803	10.8417841324335	12.767431863556	12.4876275147903	11.495753883383	11.1049072785626	12.5258438864104	12.4688890758828	11.3489168282048	11.7531786000155	CG12154	oc	protein_coding	4.52471132823099	3.73330503500494	2.68755279611849	2.07829245561013	0.583167143203807	1.81959319521252	2.67765486213649	3.53778263828083	3.10768161332486	-0.114260188018175	-1.26988314082054	-1.16373357857893	-0.483049076796254	-0.427728995667966	-1.05911622875701	1	13.4934460667721	5.81955986215864	9.32311911374218	17.4028995789541
NM_057894.4	FBgn0020307	2R	22243962	22244162	500	+	40	4	33	33	93	119	903	688	1023	1193	1525	1185	122	152	81	61	107	132	286	123	537	465	564	327	49	221	141	83	29	187	567	365	1095	751	951	274	715	1034	748	558	782	640	532	238	732	579	776	938	734	425	397	449	475	835	414	122	224	337	356	261	11.2525979147354	11.2810697006182	10.96024641711	11.0108431755691	11.8363573728404	11.6738417239546	11.4101293603188	11.0952865922363	11.2521097068212	11.2874015909222	13.0408318233639	13.3018225062552	11.2759928039702	11.3576980505219	13.0442648340359	13.0683513926258	11.4301656254744	11.5715049789332	12.1023212730367	12.4026869777242	11.3838248355152	11.356643069587	12.3686169106027	12.0400040834446	11.4898530997785	11.9905489821617	12.263192853544	12.7237402824328	12.3540412073977	12.1142926399037	12.4784469252027	12.3419579830832	12.087002552181	11.6922990995024	12.8365331351669	13.1751125108234	11.6850927992621	11.568082039611	13.037530143434	13.0713393166512	11.7300995809439	11.7545230598503	12.3020375704698	12.0181627896224	12.2985572575246	12.0669017398361	13.1007405109	13.4537964777869	CG5799	dve	protein_coding	3.87230569298343	3.32715670336204	3.18270013276169	0.630283467995839	1.39714066515289	1.04843103184331	2.51961565695995	2.6931239502749	3.57705745519133	-0.77522905314762	-1.12904766979071	-1.05461254197023	-0.661934075337018	-0.503181544514909	-1.31416152709029	1	13.3410517940157	4.74415232935887	8.78979706242618	16.665868615029
NM_169495.4	FBgn0004666	3R	13057754	13057954	500	+	20	7	50	57	19	30	488	705	532	775	522	346	89	65	37	99	60	43	262	93	181	284	187	194	30	166	13	23	2	35	415	205	605	264	195	70	103	341	165	188	240	205	116	144	350	289	386	394	249	86	216	234	160	559	377	169	277	351	456	337	10.7172564901119	10.9262222621412	9.97921893641377	9.55500692222553	10.4876441363439	10.5060879343239	9.58291678666928	9.7428547622066	10.4911059669356	10.5712393019591	11.7428674259985	11.8505074607748	10.639600568425	10.80077236849	11.8147927171654	12.0226430596421	10.3146441920242	10.5561267220102	10.5246689193999	10.5845736112949	10.1562281082531	10.3512635498772	10.5246483306937	10.4876996576349	10.2042888228413	10.4538526621561	10.6411241643972	10.5489729314098	10.1471623475788	10.5695712107564	10.8975035078294	10.6979090005957	9.8065898276283	10.0780529242172	10.4925195858887	10.5445499804346	10.421725367926	10.4916854815353	9.46046070420149	10.1052894930005	10.4938951162376	10.353642968599	10.1183182431892	10.4854674845859	10.2410802370177	10.1449811610868	9.7616957889779	9.70030230990779	CG7771	sim	protein_coding	4.11265061565656	1.86400136641202	3.65818563371656	1.20399705704394	-0.0146738751373232	1.05995747676442	2.3689887336025	4.14287802762239	3.99650778597741	0.0534238890065337	-0.300389363214571	-0.513516265258277	1.00317110311696	0.5655403827067	-0.372244712534689	1	10.3953193552515	0.115028790140677	10.5083745472023	14.7818074586471
NM_057438.4	FBgn0261930	X	591041	591241	500	+	35	67	96	53	142	225	1287	1730	1294	1244	962	887	80	31	62	45	77	119	453	174	474	659	433	373	127	470	199	109	315	262	1890	1042	1727	1188	666	180	465	668	763	469	466	442	305	177	641	531	544	607	1464	259	581	928	546	844	693	110	235	253	250	188	11.6390990041662	11.5800482573277	11.7274173344586	11.7496215436411	11.8095616814403	11.8144019534854	11.7393304423469	11.7841205320437	11.1542946523829	11.1994774283297	12.559500465413	12.7648211517329	11.0641253064657	10.9750927326284	13.2130434704999	13.5589264192884	11.0037266625505	11.1168994265843	12.755045436078	12.9596014695066	10.6905135038013	10.7895952055259	13.4097921613593	13.3691924582383	11.4938790959043	11.5432597284619	12.6194091855927	13.0906537734248	11.599919939918	11.3393572116384	12.7443730018281	12.0876481193871	11.4442687808659	11.2617028721576	11.4146353949602	11.6469538013268	11.7664551134685	11.7400686549169	10.5585599780713	10.7236347574062	11.6988135504074	11.6039828308209	10.9030002105099	10.5703720709207	11.3105739856623	11.4076144329835	10.3185578164051	10.5501945386967	CG6172	vnd	protein_coding	3.52074318279248	2.30170883657223	0	2.51957459082553	2.00134383434707	1.21028158223928	2.95165658532167	0	1.44863853075513	-0.765351742057087	-1.18864839692015	-0.984685679032222	-1.18792399093187	-1.48883666770573	-1.82253550966136	1	8.76113783737417	9.89679733375521	4.4002951160768	13.9307835666004
NM_079889.3	FBgn0005558	4	704650	704850	500	+	180	231	194	321	607	421	164	273	235	76	223	235	252	167	438	85	179	147	108	35	149	90	80	38	294	875	811	389	547	433	108	40	62	81	56	18	379	579	371	284	350	367	733	258	1317	1040	830	847	1142	263	347	342	220	494	1045	565	540	537	839	570	10.330859864495	10.012747651815	13.246039972421	13.3617901004575	10.4501642961023	10.3660859358438	13.74526116727	13.4776023407944	10.5511302415409	10.5652515153441	10.6806949455337	10.4593107829305	10.8503321082258	10.818312444937	10.9112980746449	10.6048855779693	10.473242139145	9.96137949906291	11.9295575064703	12.2961105495236	10.4669806095633	10.1418004150724	11.8711329319718	11.8708741125149	10.4638275587467	10.317758705115	11.7169990261472	11.9137678437346	9.83840609900299	10.3867473053208	11.8887715920153	11.7039151173694	10.061097951215	10.9467587979756	11.8425847895065	11.8407333560383	10.4259605250871	10.636640019868	10.2230267389803	10.1841725778915	10.8702962662141	10.9092449882237	10.3504004673289	11.1086175146236	10.9222192203101	10.9762467843579	10.7186822942568	10.7650080215888	CG1464	ey	protein_coding	-1.28271222309276	-2.39405391644506	-1.69713989726993	-1.56926301378108	-2.14739735413219	-2.32415967431926	-2.45596694086726	-3.3737171901477	-2.77978862126962	0.41202091109459	0.711085718149478	-0.102246685284859	0.403754347850539	0.714420162792661	0.628004834913105	5	-6.39476598076696	-7.87341471566839	-8.60947275228458	13.304386957166
NR_124563.1	NA	2R	15372145	15372345	500	-	1	1	1	17	1	25	31	29	27	28	42	47	49	1	1	1	39	308	381	150	424	556	321	289	1	16	1	11	1	30	32	18	17	20	35	11	19	22	48	64	54	379	221	123	603	398	409	420	7	2	5	9	1	15	42	8	32	18	20	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	3.43988928174857	7.67411292050959	-0.0014781177701719	0	0	0	3.52257628549047	1.97584960943018	-0.432771804431731	0	0	0	6	-5.06565409048892	11.112524084488	0	12.2126591245647
NM_001014565.2	FBgn0003984	3L	5845464	5845664	500	-	70	62	30	48	87	150	729	1025	714	921	603	470	136	138	162	65	106	125	239	103	279	325	262	178	122	227	45	55	20	84	601	344	665	403	313	85	125	314	212	180	251	245	147	124	299	246	337	434	193	110	103	182	201	284	141	44	85	101	110	85	13.3033790187469	13.237619737628	11.7835531466291	11.3054992226932	13.0581692718921	13.0508944280355	11.7614567384981	11.5247107995039	12.6873446983367	12.6491846202401	12.6762916612196	12.9349615701897	12.3578856288704	12.2369750141235	12.8133743807564	13.0230577113737	12.6721357566911	13.0185154044529	12.9597575902558	13.1126334584131	12.7863721684519	12.7123122656805	13.4929615176241	13.1642437495066	12.6557526586039	13.2123819838198	11.4541155133518	12.0440844307224	13.2858936335738	12.8558398074278	11.8101403386692	11.0426356487333	12.7002147014209	12.1742237943911	11.5366447147449	11.700250152002	12.9554862004144	13.0730470045855	12.3293727326728	12.3513924234828	12.9033621435413	12.73782507178	12.0828580520778	11.7759369993484	12.2809717933165	12.3164406304086	12.2606266295006	12.5932041601696	CG10491	vn	protein_coding	2.37326239539844	2.66985679652965	1.70837217735115	0.372307558730959	0.188846111569933	0.0869670499127339	1.91608617984521	2.99733710688776	2.95506500332606	-0.0376801000758287	-0.663587474253272	-0.692882224262669	-0.247262037606794	-0.461797284116239	-1.41653360067535	1	8.14564116787101	1.8189773260529	7.86848829005903	11.4705386324795
NM_001042788.4	FBgn0261930	X	582120	582320	500	+	29	20	61	39	15	11	15	43	27	22	59	38	166	95	78	30	51	115	423	168	554	533	504	274	50	147	52	37	30	33	644	228	341	181	174	55	171	292	186	148	137	178	632	212	1077	792	955	939	674	87	592	696	218	518	388	98	169	183	251	187	11.6390990041662	11.5800482573277	11.7274173344586	11.7496215436411	11.8095616814403	11.8144019534854	11.7393304423469	11.7841205320437	11.1542946523829	11.1994774283297	12.559500465413	12.7648211517329	11.0641253064657	10.9750927326284	13.2130434704999	13.5589264192884	11.0037266625505	11.1168994265843	12.755045436078	12.9596014695066	10.6905135038013	10.7895952055259	13.4097921613593	13.3691924582383	11.4938790959043	11.5432597284619	12.6194091855927	13.0906537734248	11.599919939918	11.3393572116384	12.7443730018281	12.0876481193871	11.4442687808659	11.2617028721576	11.4146353949602	11.6469538013268	11.7664551134685	11.7400686549169	10.5585599780713	10.7236347574062	11.6988135504074	11.6039828308209	10.9030002105099	10.5703720709207	11.3105739856623	11.4076144329835	10.3185578164051	10.5501945386967	CG6172	vnd	protein_coding	0	0	0	1.21027948408602	2.12089615844342	1.380410935686	2.6382277380954	0	2.83792040458824	1.23924800153973	1.33774171492156	1.25609068860735	-0.706499191765916	-1.77711221989375	-1.11844956178366	6	-3.83308040506864	8.97231020976886	5.47614814268364	11.188523332981
NM_078536.4	NA	X	8650481	8650681	500	-	33	38	25	48	97	120	691	599	722	793	683	639	83	58	100	99	54	45	163	76	174	217	192	179	33	182	65	60	11	73	365	211	563	326	303	84	262	483	463	376	411	306	243	143	325	261	252	363	749	229	256	300	174	332	387	125	139	220	193	156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.84307314457053	2.67193228524594	0	0.837564936978495	-0.544358161131976	1.07493927979609	2.16922187962191	0	3.25084815622575	-0.432932455668114	-1.65699923266926	-1.54514029173184	-0.739811681300304	-0.535934718628688	-0.797835244676058	1	9.15007740988568	3.17982717420029	5.42007003584766	11.1001070561584
NM_001014694.2	FBgn0005558	4	707428	707628	500	+	9	22	37	85	14	22	30	35	38	16	36	47	268	233	308	69	182	140	134	55	191	184	154	118	314	577	989	393	374	359	74	38	48	56	79	12	226	425	474	350	403	284	281	89	638	409	480	422	1115	186	168	468	200	492	958	588	646	583	838	580	10.330859864495	10.012747651815	13.246039972421	13.3617901004575	10.4501642961023	10.3660859358438	13.74526116727	13.4776023407944	10.5511302415409	10.5652515153441	10.6806949455337	10.4593107829305	10.8503321082258	10.818312444937	10.9112980746449	10.6048855779693	10.473242139145	9.96137949906291	11.9295575064703	12.2961105495236	10.4669806095633	10.1418004150724	11.8711329319718	11.8708741125149	10.4638275587467	10.317758705115	11.7169990261472	11.9137678437346	9.83840609900299	10.3867473053208	11.8887715920153	11.7039151173694	10.061097951215	10.9467587979756	11.8425847895065	11.8407333560383	10.4259605250871	10.636640019868	10.2230267389803	10.1841725778915	10.8702962662141	10.9092449882237	10.3504004673289	11.1086175146236	10.9222192203101	10.9762467843579	10.7186822942568	10.7650080215888	CG1464	ey	protein_coding	0	0	0	-1.36964666924914	-1.06230889029547	-1.08421640597203	-2.55215153050085	-4.02109180565482	-2.22143454646602	-0.430887186103986	-0.810393687842295	-0.92351595836701	0.407549972993594	1.16402280562898	0.644732784058356	5	2.16479683231329	-6.25176754976819	-8.79467788262169	11.0053306120536
