"FBgn"	"RefSeqID"	"Chr"	"Start"	"End"	"Score"	"Strand"	"IC_4_6_K4me3_1"	"IC_4_6_K4me3_2"	"IC_6_8_K4me3_1"	"IC_6_8_K4me3_2"	"IC_8_10_K4me3_1"	"IC_8_10_K4me3_2"	"VC_4_6_K4me3_1"	"VC_4_6_K4me3_2"	"VC_68_K4me3_1_1"	"VC_68_K4me3_2_1"	"VC_810_K4me3_1_1"	"VC_810_K4me3_2_1"	"IC_4_6_K27ac_1"	"IC_4_6_K27ac_3"	"IC_6_8_K27ac_1"	"IC_6_8_K27ac_3"	"IC_8_10_K27ac_1"	"IC_8_10_K27ac_2"	"VC_4_6_K27ac_1"	"VC_4_6_K27ac_2"	"VC_68_K27ac_1_1"	"VC_68_K27ac_2_1"	"VC_810_K27ac_1_1"	"VC_810_K27ac_2_1"	"IC_4_6_K79me3_1"	"IC_4_6_K79me3_2"	"IC_6_8_K79me3_1"	"IC_6_8_K79me3_2"	"IC_8_10_K79me3_1"	"IC_8_10_K79me3_2"	"VC_4_6_K79me3_1"	"VC_4_6_K79me3_2"	"VC_68_K79me3_1_1"	"VC_68_K79me3_2_1"	"VC_810_K79me3_1_1"	"VC_810_K79me3_2_1"	"IC_4_6_K4mono_1"	"IC_4_6_K4mono_2"	"IC_6_8_K4mono_1"	"IC_6_8_K4mono_2"	"IC_8_10_K4mono_1"	"IC_8_10_K4mono_2"	"VC_4_6_K4mono_1"	"VC_4_6_K4mono_2"	"VC_68_K4mono_1_1"	"VC_68_K4mono_2_1"	"VC_810_K4mono_1_1"	"VC_810_K4mono_2_1"	"IC_4_6_K27me3_1"	"IC_4_6_K27me3_2"	"IC_6_8_K27me3_2"	"IC_6_8_K27me3_3"	"IC_8_10_K27me3_1"	"IC_8_10_K27me3_2"	"VC_4_6_K27me3_1"	"VC_4_6_K27me3_2"	"VC_68_K27me3_1_1"	"VC_68_K27me3_2_1"	"VC_810_K27me3_1_1"	"VC_810_K27me3_2_1"	"All_RefSeq"	"Gene"	"4-6h_Ind-neg_1"	"4-6h_Ind-neg_2"	"4-6h_Ind-pos_1"	"4-6h_Ind-pos_2"	"6-8h_Ind-neg_1"	"6-8h_Ind-neg_2"	"6-8h_Ind-pos_1"	"6-8h_Ind-pos_2"	"4-6h_Vnd-neg_1"	"4-6h_Vnd-neg_2"	"4-6h_Vnd-pos_1"	"4-6h_Vnd-pos_2"	"6-8h_Vnd-neg_1"	"6-8h_Vnd-neg_2"	"6-8h_Vnd-pos_1"	"6-8h_Vnd-pos_2"	"4-6h_Pros-neg_1"	"4-6h_Pros-neg_2"	"4-6h_Pros-pos_1"	"4-6h_Pros-pos_2"	"6-8h_Pros-neg_1"	"6-8h_Pros-neg_2"	"6-8h_Pros-pos_1"	"6-8h_Pros-pos_2"	"6-8h_Elav-neg_1"	"6-8h_Elav-neg_2"	"6-8h_Elav-pos_1"	"6-8h_Elav-pos_2"	"8-10h_Elav-neg_1"	"8-10h_Elav-neg_2"	"8-10h_Elav-pos_1"	"8-10h_Elav-pos_2"	"18-22h_Elav-neg_1"	"18-22h_Elav-neg_2"	"18-22h_Elav-pos_1"	"18-22h_Elav-pos_2"	"6-8h_Repo-neg_1"	"6-8h_Repo-neg_2"	"6-8h_Repo-pos_1"	"6-8h_Repo-pos_2"	"8-10h_Repo-neg_1"	"8-10h_Repo-neg_2"	"8-10h_Repo-pos_1"	"8-10h_Repo-pos_2"	"18-22h_Repo-neg_1"	"18-22h_Repo-neg_2"	"18-22h_Repo-pos_1"	"18-22h_Repo-pos_2"	"CGID"	"Symbol"	"Biotype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Norm_avrg_A"	"Norm_avrg_B"	"log2FC_norm_count"	"IC_46_pos_mean"	"VC_46_pos_mean"	"VC_46_neg_mean"	"IC_46_neg_mean"	"VC_46_log2FC_over_neg"	"IC_46_log2FC_over_neg"	"Tissue_46_log2FC_VCvsIC_VST"	"IC_68_pos_mean"	"VC_68_pos_mean"	"VC_68_neg_mean"	"IC_68_neg_mean"	"VC_68_log2FC_over_neg"	"IC_68_log2FC_over_neg"	"Tissue_68_log2FC_VCvsIC_VST"	"Temp_VC_46vs68"	"Temp_IC_46vs68"
"FBgn0004889"	"NM_169331.2"	"3R"	10133963	10134163	500	"-"	1471	1155	695	1091	1361	1477	2559	3519	2739	3013	2105	1565	778	785	706	583	294	295	941	307	834	971	621	535	286	807	463	279	222	365	622	305	552	544	315	80	148	313	288	264	335	307	215	151	466	364	650	662	123	19	55	45	15	33	76	26	50	25	44	27	"''NM_169331.2,NM_169330.2,NM_057533.3,NM_134284.3,NM_134286.3,NM_134285.2,NM_001300340.1,NM_169329.2,NM_057532.4''"	"''tws aar Pp2A-85F CG6235''"	12.5456295645405	12.6445262430523	12.3325729388899	12.6110120170805	12.2552518033201	12.1500873273655	13.0538149904916	12.8284473789122	12.1982832071664	12.0339753918558	11.7705636478087	12.0125619706481	11.7196858446759	11.5919232157149	12.001276561875	12.1602692156621	11.7278785991672	11.8963377065304	12.5912410210812	12.8257198278484	12.2198240676677	12.0440611572895	13.0677702802822	12.7480617281922	12.0486319893029	11.8702991440613	12.4090506701046	12.5335499490567	11.7871440277259	11.4433726366326	12.1681007225926	12.0516266992216	12.1623783990668	11.3127947994185	12.0750423495576	12.3096860634268	12.2752347239798	12.288010433473	12.1622271496309	11.7081093225014	11.6895927664825	11.7708995648699	11.9078312604842	11.5980588781817	11.9298342356166	11.7039655245173	11.9719113535909	11.7833218922061	"CG6235"	"tws"	"protein_coding"	276.358764452559	0.940949531911227	0.251535270112042	3.74082541781157	0.000183416897155576	0.345211517453139	188.805013320166	363.912515584952	-0.946694595884977	12.4717924779852	11.8915628092284	12.1161292995111	12.5950779037964	-0.0269905503570408	-0.0141912176408721	-0.0687304989412207	12.9411311847019	12.0807728887685	11.6558045301954	12.2026695653428	0.0516641680980887	0.0847669296511268	-0.0992509722858554	-0.0227744276197007	-0.0532949009643353
"FBgn0016122"	"NM_057847.4"	"2L"	8521932	8522132	500	"+"	22	58	60	60	55	95	105	143	165	137	150	161	183	198	303	71	188	268	389	137	441	587	547	446	27	186	7	63	25	23	52	35	49	28	55	18	127	331	316	331	406	300	333	137	599	544	742	759	1	40	45	32	84	18	48	8	38	19	28	13	"''NM_057847.4,NM_001273329.1''"	"''Acer ACE ACER acer Dmel\CG10593 l(2)k07704 CG10593 Dmel_CG10593''"	12.7896874435338	12.9280691470227	12.2476400520296	12.343646640445	12.6080245342344	12.4924650760582	12.4790464073283	12.2840521734832	12.3284859408321	12.2109967377398	11.4305385388483	11.4923321887919	11.7990701325882	11.7622600044485	11.4640107566135	11.5771449873607	12.2690579248935	12.4797205522736	11.1941676935427	11.4734387019364	12.3995199984243	12.3643216890863	11.9755725974378	11.7305751985002	12.3325913672606	12.7690677039309	10.8055269853695	10.9411494953264	12.8345836625958	12.0789086726531	10.9351515212709	10.6548663888173	14.6248892387324	13.2946003584072	10.4936945927806	11.09240143483	12.6496829646063	12.5711513291322	10.9364630048256	11.2110845930717	12.23278238921	11.7894917535923	11.1116366218771	10.8072772982292	13.5830015487336	13.2938748143692	10.7647462529766	11.08432794781	"CG10593"	"Acer"	"protein_coding"	290.237282659629	1.11396090765482	0.274183247577933	4.06283358846785	4.84805924972249e-05	0.345211517453139	182.60509959089	397.869465728368	-1.12356812859116	12.2956433462373	11.4614353638201	12.269741339286	12.8588782952783	-0.0983171054122338	-0.0646175758943683	-0.101359493008015	12.3815492904058	11.5205778719871	11.7806650685183	12.5502448051463	-0.0322079035690766	-0.0195236568883361	-0.103978764626271	-0.00742535396861827	-0.0100446255868746
NA	"NR_001673.1"	"2L"	19815605	19815805	500	"-"	11	29	42	36	29	13	18	14	34	23	58	72	152	129	166	33	270	253	344	146	505	548	425	337	14	260	8	63	22	46	53	61	48	59	91	30	128	361	245	151	354	377	188	166	646	586	923	1036	52	69	26	99	30	82	90	34	91	116	155	97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	304.567649388945	1.09596660596662	0.279596238074588	3.91981885562513	8.86155492311701e-05	0.345211517453139	193.080211063311	416.05508771458	-1.10757425188394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"NM_169331.2"	"3R"	10133963	10134163	500	"-"	1471	1155	695	1091	1361	1477	2559	3519	2739	3013	2105	1565	778	785	706	583	294	295	941	307	834	971	621	535	286	807	463	279	222	365	622	305	552	544	315	80	148	313	288	264	335	307	215	151	466	364	650	662	123	19	55	45	15	33	76	26	50	25	44	27	"''NM_169331.2,NM_169330.2,NM_057533.3,NM_134284.3,NM_134286.3,NM_134285.2''"	"''tws-RB''"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	276.358764452559	0.940949531911227	0.251535270112042	3.74082541781157	0.000183416897155576	0.345211517453139	188.805013320166	363.912515584952	-0.946694595884977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0011260"	"NM_166178.3"	"2R"	16500177	16500377	500	"+"	481	703	320	381	620	879	1289	1655	1318	1450	1100	826	461	607	601	311	264	283	653	219	535	778	411	551	97	371	218	85	39	84	165	88	202	152	112	43	117	233	198	199	244	262	130	78	383	295	492	487	49	15	32	49	4	30	49	14	49	35	53	33	"''NM_166178.3,NM_134303.4,NM_058159.5,NM_206134.2''"	"''Sema2a Sema-2a CG4700''"	14.3860472495623	14.5134236331085	14.6201524138402	14.9524009569696	14.7500054536998	14.7312574209076	15.2077342450183	14.9568254720423	13.9610693001301	13.7919124853763	13.7590267112886	14.0087510578552	13.9178152111213	13.8305786361149	13.7947380773731	13.8957176889699	13.9654012392884	14.2351082947469	14.2876249243209	14.6313275404739	14.4328914640488	14.3926897245589	14.7971105578786	14.4437325500266	14.5651662026447	14.7543904266464	14.340420757602	14.8901200501687	14.7540101216085	14.1811482692194	14.6670939933457	13.7798072991384	15.1583528365976	13.4477943615853	13.9448951993971	14.2781451811681	14.9035252187554	14.8375889118204	13.7324766306934	13.3317196635465	14.6080037196633	14.3842297224574	13.4410836852715	12.6400400110323	14.4490906487732	13.8406262724847	13.070793104156	13.296712969695	"CG4700"	"Sema-2a"	"protein_coding"	216.276501829121	0.990265857052528	0.272445996496057	3.6347234673601	0.000278278960529857	0.35466436146198	144.494479145534	288.058524512707	-0.995347580914195	14.7862766854049	13.8838888845719	13.8764908927532	14.4497354413354	0.000768940947324837	0.0332157360424556	-0.0908470907006001	15.0822798585303	13.8452278831715	13.8741969236181	14.7406314373037	-0.00301546705954222	0.033056199105441	-0.123465725198518	0.00402292446632197	-0.0285957100315952
NA	"NR_002513.1"	"2L"	13244361	13244561	500	"-"	1	17	15	73	5	16	16	15	22	27	48	57	72	31	108	50	111	103	124	49	172	128	111	121	28	177	53	60	85	29	31	24	30	29	44	10	43	94	75	39	127	115	54	48	187	134	251	309	57	21	4	39	1	34	51	5	44	45	51	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96.4982104694632	1.28494171874352	0.35981310760846	3.57113649161933	0.000355435597569201	0.35466436146198	55.8652826333716	137.131138305555	-1.29553229368607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0004919"	"NM_001259588.2"	"2R"	25084147	25084347	500	"-"	1	17	20	50	56	258	249	109	87	121	418	371	226	179	197	25	237	311	367	116	372	333	434	527	50	238	17	59	108	96	60	34	84	101	94	32	109	280	222	136	271	270	173	118	370	277	482	544	58	1	16	47	46	25	59	6	38	35	49	29	"''NM_001259588.2,NM_079140.5''"	"''gol CG2679 Dmel_CG2679''"	10.7496598781748	10.6337315498113	10.4481739312209	10.3270710871193	11.6195934343538	11.5730675722522	10.6921388433932	10.6540321351451	12.0260594761778	11.9534628887522	11.6743917416831	11.8442280511471	11.406790604746	11.2607968120884	11.1862599353513	11.2449429423752	11.9629557488682	12.2598392298675	11.6654689149892	11.6602756661701	11.6890228136455	11.3905864384738	11.6493811378152	11.2230891947754	11.5020027172268	12.016686452916	12.7510699312663	13.4736450448385	13.1855446466499	12.2939215419723	13.1172262449299	12.5105564358641	11.9608494264713	11.6590292547819	13.1534101549742	13.4178381446846	11.4769653463834	11.27307776568	11.7690428437688	11.5121044552343	11.9375557287462	11.8088016903329	11.5745577440526	11.4022650118055	12.3248780373656	12.4276716714145	11.6438776655086	11.8493744056836	"CG2679"	"gol"	"protein_coding"	231.367317362396	0.972846338274679	0.282664544110123	3.44169921040988	0.000578072649360554	0.356584910468702	155.37587379206	307.358760932731	-0.984161103506587	10.3876225091701	11.7593098964151	11.989761182465	10.691695713993	-0.0279995257208769	-0.0416251922291848	0.178937905158191	10.6730854892692	11.2156014388632	11.3337937084172	11.596330503303	-0.0151238613364357	-0.11969105077439	0.0715296811948348	0.0682964097514062	-0.0391118142119505
NA	"NR_133481.1"	"3R"	29774851	29775051	500	"-"	20	19	32	32	57	34	37	39	61	35	86	110	187	149	323	93	257	291	319	166	521	462	413	464	104	395	211	81	145	239	143	95	140	143	166	57	345	660	724	612	786	512	501	268	1088	953	1118	1066	30	49	3	7	23	31	51	17	38	33	47	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	573.100678885287	0.804768616556151	0.230262778139831	3.49500089878809	0.00047406015891721	0.356584910468702	417.149153222465	729.052204548108	-0.805458807083591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"NR_002077.1"	"3R"	23827869	23828069	500	"+"	7	61	35	44	61	12	14	14	28	21	70	79	86	59	121	39	77	141	205	83	221	217	242	254	16	206	33	6	23	37	46	28	57	29	68	13	110	385	165	98	375	329	171	149	470	362	687	856	47	22	55	64	79	59	88	31	89	136	91	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	294.589213293558	1.05113761340558	0.307344744916321	3.42006047213129	0.000626072166712404	0.366794773264227	190.593743041281	398.584683545836	-1.06438551453578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0039286"	"NM_001276019.2"	"3R"	25185010	25185210	500	"+"	511	525	206	201	269	382	878	1151	692	830	513	533	231	415	288	162	135	206	456	137	450	478	433	288	805	771	475	258	397	350	825	396	598	471	273	87	279	488	514	333	574	404	170	132	622	496	850	939	8	67	20	67	41	25	72	14	46	45	39	28	"''NM_001276019.2''"	"''dan Dan Dmel\CG11849 fer CG11849 Dmel_CG11849''"	13.1946269864158	13.7509502822965	12.5126005956088	12.7075628991969	11.3806356190266	11.3066327070438	12.7182799255218	12.1691370545995	12.7729705228377	12.6339746894556	12.1621867181275	12.4554761051667	10.9606201878597	11.1085509328005	11.5787973120837	11.9784249561665	12.3834349517644	12.801188757251	12.5518797568969	12.9724132147069	10.9882589237259	11.3617461103471	12.3146786838665	12.1161385477098	11.2847495810902	10.5184518083674	13.0769298457903	12.971149542518	9.86657190779933	10.3345356421483	13.1067185424896	12.5122240209123	10.2922226362812	10.558615765069	11.8273580146476	12.2103767035799	11.5729548155785	11.4130682051661	11.0418046908775	10.8431128330093	10.701831280704	10.7843348742725	11.0625464947822	11.1107941294933	11.0325471548878	11.0018463832657	10.4744407713859	10.5548829903624	"CG11849"	"dan"	"protein_coding"	436.349367509697	0.773186759876182	0.230673637965988	3.35186442063304	0.000802693182584994	0.382855513143554	322.257210182113	550.441524837282	-0.772376672020225	12.6100817474028	12.3088314116471	12.7034726061467	13.4727886343561	-0.0455291240337125	-0.0954708663847657	-0.0348838279835973	12.4437084900607	11.7786111341251	11.0345855603301	11.3436341630352	0.0941369893796351	0.133533592467099	-0.079247068465955	0.0635243653543319	0.0191611248719742
