FBgn	Chr	Start	End	Symbol.x	FBtr	IC_4_6_K4me3_1	IC_4_6_K4me3_2	IC_6_8_K4me3_1	IC_6_8_K4me3_2	IC_8_10_K4me3_1	IC_8_10_K4me3_2	VC_4_6_K4me3_1	VC_4_6_K4me3_2	VC_68_K4me3_1_1	VC_68_K4me3_2_1	VC_810_K4me3_1_1	VC_810_K4me3_2_1	IC_4_6_K27ac_1	IC_4_6_K27ac_3	IC_6_8_K27ac_1	IC_6_8_K27ac_3	IC_8_10_K27ac_1	IC_8_10_K27ac_2	VC_4_6_K27ac_1	VC_4_6_K27ac_2	VC_68_K27ac_1_1	VC_68_K27ac_2_1	VC_810_K27ac_1_1	VC_810_K27ac_2_1	IC_4_6_K79me3_1	IC_4_6_K79me3_2	IC_6_8_K79me3_1	IC_6_8_K79me3_2	IC_8_10_K79me3_1	IC_8_10_K79me3_2	VC_4_6_K79me3_1	VC_4_6_K79me3_2	VC_68_K79me3_1_1	VC_68_K79me3_2_1	VC_810_K79me3_1_1	VC_810_K79me3_2_1	IC_4_6_K4mono_1	IC_4_6_K4mono_2	IC_6_8_K4mono_1	IC_6_8_K4mono_2	IC_8_10_K4mono_1	IC_8_10_K4mono_2	VC_4_6_K4mono_1	VC_4_6_K4mono_2	VC_68_K4mono_1_1	VC_68_K4mono_2_1	VC_810_K4mono_1_1	VC_810_K4mono_2_1	IC_4_6_K27me3_1	IC_4_6_K27me3_2	IC_6_8_K27me3_2	IC_6_8_K27me3_3	IC_8_10_K27me3_1	IC_8_10_K27me3_2	VC_4_6_K27me3_1	VC_4_6_K27me3_2	VC_68_K27me3_1_1	VC_68_K27me3_2_1	VC_810_K27me3_1_1	VC_810_K27me3_2_1	Seqname_UTR	Source	Feature	Start_UTR	End_UTR	Score	Strand	Frame	4-6h_Ind-neg_1	4-6h_Ind-neg_2	4-6h_Ind-pos_1	4-6h_Ind-pos_2	6-8h_Ind-neg_1	6-8h_Ind-neg_2	6-8h_Ind-pos_1	6-8h_Ind-pos_2	4-6h_Vnd-neg_1	4-6h_Vnd-neg_2	4-6h_Vnd-pos_1	4-6h_Vnd-pos_2	6-8h_Vnd-neg_1	6-8h_Vnd-neg_2	6-8h_Vnd-pos_1	6-8h_Vnd-pos_2	4-6h_Pros-neg_1	4-6h_Pros-neg_2	4-6h_Pros-pos_1	4-6h_Pros-pos_2	6-8h_Pros-neg_1	6-8h_Pros-neg_2	6-8h_Pros-pos_1	6-8h_Pros-pos_2	6-8h_Elav-neg_1	6-8h_Elav-neg_2	6-8h_Elav-pos_1	6-8h_Elav-pos_2	8-10h_Elav-neg_1	8-10h_Elav-neg_2	8-10h_Elav-pos_1	8-10h_Elav-pos_2	18-22h_Elav-neg_1	18-22h_Elav-neg_2	18-22h_Elav-pos_1	18-22h_Elav-pos_2	6-8h_Repo-neg_1	6-8h_Repo-neg_2	6-8h_Repo-pos_1	6-8h_Repo-pos_2	8-10h_Repo-neg_1	8-10h_Repo-neg_2	8-10h_Repo-pos_1	8-10h_Repo-pos_2	18-22h_Repo-neg_1	18-22h_Repo-neg_2	18-22h_Repo-pos_1	18-22h_Repo-pos_2	CGID	Symbol.y	Biotype	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Norm_avrg_A	Norm_avrg_B	log2FC_norm_count	IC_46_pos_mean	VC_46_pos_mean	VC_46_neg_mean	IC_46_neg_mean	VC_46_log2FC_over_neg	IC_46_log2FC_over_neg	Tissue_46_log2FC_VCvsIC_VST	IC_68_pos_mean	VC_68_pos_mean	VC_68_neg_mean	IC_68_neg_mean	VC_68_log2FC_over_neg	IC_68_log2FC_over_neg	Tissue_68_log2FC_VCvsIC_VST	Temp_VC_46vs68	Temp_IC_46vs68
FBgn0003984	3L	5833601	5833800	 vn	 gene_symbol vn	20	20	37	38	0	5	22	14	20	15	51	28	108	55	92	278	28	100	186	80	263	236	237	144	28	134	0	37	19	44	346	159	299	163	210	55	105	177	124	88	115	105	317	127	530	434	457	447	47	8	38	78	28	91	78	28	61	90	74	34	3L	FlyBase	5UTR	5843559	5845664	.	-	.	13.3033790187469	13.237619737628	11.7835531466291	11.3054992226932	13.0581692718921	13.0508944280355	11.7614567384981	11.5247107995039	12.6873446983367	12.6491846202401	12.6762916612196	12.9349615701897	12.3578856288704	12.2369750141235	12.8133743807564	13.0230577113737	12.6721357566911	13.0185154044529	12.9597575902558	13.1126334584131	12.7863721684519	12.7123122656805	13.4929615176241	13.1642437495066	12.6557526586039	13.2123819838198	11.4541155133518	12.0440844307224	13.2858936335738	12.8558398074278	11.8101403386692	11.0426356487333	12.7002147014209	12.1742237943911	11.5366447147449	11.700250152002	12.9554862004144	13.0730470045855	12.3293727326728	12.3513924234828	12.9033621435413	12.73782507178	12.0828580520778	11.7759369993484	12.2809717933165	12.3164406304086	12.2606266295006	12.5932041601696	CG10491	vn	protein_coding	168.658523097164	2.65577656170477	0.333974246250117	7.95203998968181	1.83465007458228e-15	5.29971622142966e-11	46.7463666565079	290.570679537821	-2.63596299149869	11.5445261846611	12.8056266157047	12.6682646592884	13.2704993781875	0.0155589369471748	-0.20101369872911	0.149568887205741	11.643083769001	12.918216046065	12.297430321497	13.0545318499638	0.0710499727496647	-0.165077503113906	0.149933634560579	-0.0126290035445859	-0.0122642561897477
FBgn0261860	3R	26789935	26790131	 CG42789	 gene_symbol CG42789	14	36	57	88	35	10	31	14	38	26	45	41	101	98	184	38	124	142	418	184	508	582	393	267	36	163	10	54	254	55	327	192	564	199	218	68	128	228	132	84	140	143	370	140	640	435	575	579	431	193	57	193	210	176	161	76	74	84	116	68	3R	FlyBase	5UTR	26784160	26784208	.	-	.	8.71047721290851	8.65618591955091	8.65618591955091	8.65618591955091	8.79204412380171	8.89154743981843	8.79713322269891	8.99210332763249	8.84916030623213	8.97581296800993	9.16808278688787	9.12040539057017	9.24422829496097	9.22803242759688	9.37657811783762	9.21167668308567	9.18139593960877	9.09964629082431	9.09974560410277	8.65618591955091	9.01216510062565	8.86774600978004	8.74952184439648	8.99249784152172	9.04659178568757	8.65618591955091	9.2619586716415	8.89601966275743	8.81420282250964	9.14913756791983	8.65618591955091	9.00171789046707	8.93320712878066	9.2853791384306	9.47836888656722	9.03163541932575	8.65618591955091	8.76264483718948	8.77121304054053	9.07172296004805	9.16050053513688	9.20039543703781	9.04220397348031	9.44608115727708	9.16252781559108	9.32063391927705	9.16667248900433	9.03343247254107	CG42789	CG42789	protein_coding	183.90183118154	2.42210895541847	0.32564969290669	7.43777441888297	1.02395717865804e-13	1.61962539676116e-09	58.5588386398166	309.244823723264	-2.40079059996998	8.65618591955091	9.14424408872902	8.91248663712103	8.68333156622971	0.0370359056866798	-0.0045171870407841	0.0791324281161751	8.8946182751657	9.29412740046165	9.23613036127892	8.84179578181007	0.00903088506481439	0.00859327869510139	0.0633867293446038	-0.0234555067649383	-0.0392012055365095
FBgn0020307	2R	22255363	22255540	 dve	 gene_symbol dve	0	30	13	32	29	8	15	24	38	29	55	59	166	133	114	3	58	122	246	149	601	643	533	292	27	155	38	61	68	66	266	153	499	222	350	91	136	247	183	157	189	175	286	138	804	633	708	623	371	207	252	319	191	340	196	61	130	108	202	92	2R	FlyBase	5UTR	22243963	22244681	.	+	.	11.2525979147354	11.2810697006182	10.96024641711	11.0108431755691	11.8363573728404	11.6738417239546	11.4101293603188	11.0952865922363	11.2521097068212	11.2874015909222	13.0408318233639	13.3018225062552	11.2759928039702	11.3576980505219	13.0442648340359	13.0683513926258	11.4301656254744	11.5715049789332	12.1023212730367	12.4026869777242	11.3838248355152	11.356643069587	12.3686169106027	12.0400040834446	11.4898530997785	11.9905489821617	12.263192853544	12.7237402824328	12.3540412073977	12.1142926399037	12.4784469252027	12.3419579830832	12.087002552181	11.6922990995024	12.8365331351669	13.1751125108234	11.6850927992621	11.568082039611	13.037530143434	13.0713393166512	11.7300995809439	11.7545230598503	12.3020375704698	12.0181627896224	12.2985572575246	12.0669017398361	13.1007405109	13.4537964777869	CG5799	dve	protein_coding	149.139281030051	2.31864892755401	0.329228501110153	7.04267376528936	1.8858542358404e-12	1.92590483005795e-08	49.3634030387507	248.915159021351	-2.33414033337914	10.9855447963395	13.1713271648096	11.2697556488717	11.2668338076768	0.224944485969372	-0.0364757301841444	0.261794303442447	11.2527079762776	13.0563081133309	11.3168454272461	11.7550995483975	0.206275146009473	-0.0630145272092981	0.214474779371853	0.0126537125585525	-0.0346658115120415
FBgn0030663	X	15641784	15642152	 CG8117	 gene_symbol CG8117	6	41	27	51	56	12	42	69	52	81	49	65	227	263	115	2	169	129	503	164	538	631	469	308	56	206	137	69	24	33	759	278	619	270	278	65	359	392	339	237	284	199	628	174	978	699	770	818	96	159	140	118	49	101	193	21	72	85	81	62	X	FlyBase	5UTR	15644222	15644290	.	+	.	8.82606466808475	8.75733899120878	9.08457582232457	8.65618591955091	8.65618591955091	8.65618591955091	8.80215420353197	9.04367288691334	9.08139806641645	9.19201833644734	9.26007761498504	9.03029441347342	9.08088378112187	9.15068895642791	9.29895168010784	9.16915006190558	9.03555840253348	8.85614690377829	8.92814785045508	8.65618591955091	8.90657741493763	8.65618591955091	8.65618591955091	9.08563314770287	8.65618591955091	8.65618591955091	9.09426828882506	8.65618591955091	8.65618591955091	9.15799579495261	8.65618591955091	9.31399354509874	8.65618591955091	9.4260529476149	9.31531953405943	8.97035036241335	8.65618591955091	8.75416299572312	8.65618591955091	8.94891550372097	9.01848774126513	9.01838561532418	9.08801518405276	9.42493604392678	8.87749912947372	9.19120948001171	9.02652769576536	9.25201461475387	CG8117	CG8117	protein_coding	330.925106009658	2.82532193587833	0.419491096572146	6.73511776284487	1.63797217271519e-11	1.19744679061284e-07	83.1860160106931	578.664196008623	-2.79831345270668	8.87038087093774	9.14518601422923	9.13670820143189	8.79170182964677	0.00133803414599657	0.0128535932555955	0.0440164634650129	8.92291354522266	9.23405087100671	9.11578636877489	8.65618591955091	0.0185965653106325	0.0437833755609082	0.0494488187189725	-0.0139511654427876	-0.00851881018882803
FBgn0003984	3L	5834746	5834925	 vn	 gene_symbol vn	10	28	23	39	18	5	20	22	22	25	35	29	162	67	110	38	122	76	283	99	345	332	252	152	26	181	68	25	22	26	354	130	263	145	148	40	207	264	207	149	162	93	480	112	689	475	464	411	126	104	74	104	138	158	127	10	91	135	97	90	3L	FlyBase	5UTR	5843559	5845664	.	-	.	13.3033790187469	13.237619737628	11.7835531466291	11.3054992226932	13.0581692718921	13.0508944280355	11.7614567384981	11.5247107995039	12.6873446983367	12.6491846202401	12.6762916612196	12.9349615701897	12.3578856288704	12.2369750141235	12.8133743807564	13.0230577113737	12.6721357566911	13.0185154044529	12.9597575902558	13.1126334584131	12.7863721684519	12.7123122656805	13.4929615176241	13.1642437495066	12.6557526586039	13.2123819838198	11.4541155133518	12.0440844307224	13.2858936335738	12.8558398074278	11.8101403386692	11.0426356487333	12.7002147014209	12.1742237943911	11.5366447147449	11.700250152002	12.9554862004144	13.0730470045855	12.3293727326728	12.3513924234828	12.9033621435413	12.73782507178	12.0828580520778	11.7759369993484	12.2809717933165	12.3164406304086	12.2606266295006	12.5932041601696	CG10491	vn	protein_coding	161.49225897941	2.32464772176314	0.354999678632532	6.54830936951193	5.81920752868733e-11	3.32171758987698e-07	52.8116263002131	270.172891658607	-2.35495545213583	11.5445261846611	12.8056266157047	12.6682646592884	13.2704993781875	0.0155589369471748	-0.20101369872911	0.149568887205741	11.643083769001	12.918216046065	12.297430321497	13.0545318499638	0.0710499727496647	-0.165077503113906	0.149933634560579	-0.0126290035445859	-0.0122642561897477
FBgn0003984	3L	5835836	5836150	 vn	 gene_symbol vn	36	54	40	35	33	12	46	134	85	79	87	67	386	423	279	45	226	213	563	281	752	778	599	385	70	209	104	100	99	71	1035	442	789	357	471	109	844	902	589	579	469	364	1400	415	2228	1708	1631	1405	232	126	357	275	498	338	250	56	83	183	178	172	3L	FlyBase	5UTR	5843559	5845664	.	-	.	13.3033790187469	13.237619737628	11.7835531466291	11.3054992226932	13.0581692718921	13.0508944280355	11.7614567384981	11.5247107995039	12.6873446983367	12.6491846202401	12.6762916612196	12.9349615701897	12.3578856288704	12.2369750141235	12.8133743807564	13.0230577113737	12.6721357566911	13.0185154044529	12.9597575902558	13.1126334584131	12.7863721684519	12.7123122656805	13.4929615176241	13.1642437495066	12.6557526586039	13.2123819838198	11.4541155133518	12.0440844307224	13.2858936335738	12.8558398074278	11.8101403386692	11.0426356487333	12.7002147014209	12.1742237943911	11.5366447147449	11.700250152002	12.9554862004144	13.0730470045855	12.3293727326728	12.3513924234828	12.9033621435413	12.73782507178	12.0828580520778	11.7759369993484	12.2809717933165	12.3164406304086	12.2606266295006	12.5932041601696	CG10491	vn	protein_coding	468.606094336548	3.15761636945193	0.498339935391773	6.33626997396777	2.35394179437364e-10	1.07206341997441e-06	95.9200072849365	841.292181388159	-3.13270326311315	11.5445261846611	12.8056266157047	12.6682646592884	13.2704993781875	0.0155589369471748	-0.20101369872911	0.149568887205741	11.643083769001	12.918216046065	12.297430321497	13.0545318499638	0.0710499727496647	-0.165077503113906	0.149933634560579	-0.0126290035445859	-0.0122642561897477
FBgn0034046	2R	15788425	15788680	 tun	 gene_symbol tun	0	29	20	79	10	5	21	25	36	34	62	30	264	267	210	63	129	164	692	228	680	819	446	316	34	183	0	79	6	64	369	126	232	115	128	28	229	268	250	168	184	117	669	172	1005	734	824	816	156	84	66	136	13	97	135	58	79	99	111	72	2R	FlyBase	5UTR	15794000	15794950	.	+	.	10.9368941991213	11.0296959145459	10.6432229480879	10.4184271242537	10.6408263427662	10.6260204907504	10.8491779142805	10.5927470343821	11.2899961312979	11.1260016179759	11.4852818784186	11.7698884056776	10.8097617581014	10.8396040588909	11.2189386278924	11.302129716675	11.2302023250601	11.3175986633011	11.6285761080876	11.4170667680154	11.0064753457262	10.803748114653	11.5504391194685	11.2566026720935	10.5074947883057	10.8319420363233	12.0667786525065	12.7470094083116	11.1485171663497	11.0482668846353	12.1259976367264	11.5379318626364	11.627457156799	11.0031692229137	13.9818246421708	13.8427105161757	10.5432664847222	10.7680498301579	11.0402445650352	10.8964436639025	10.4240660897679	10.5322983370826	10.7770484947883	10.9218657735465	12.7618676735054	12.0526139713596	12.0051191409558	11.674284285875	CG8253	tun	protein_coding	166.933023872184	2.19187033707858	0.353420647713989	6.20187403100564	5.57947305634617e-10	2.1272829050234e-06	60.1356891357361	273.730358608632	-2.18646209229257	10.5308250361708	11.6275851420481	11.2079988746369	10.9832950568336	0.0530227878940043	-0.0606924682119244	0.142933035364465	10.7209624743313	11.2605341722837	10.8246829084962	10.6334234167583	0.0569505028133155	0.0118282841124928	0.0708408374293679	0.0462762369421361	-0.0258159609929613
FBgn0020307	2R	22254496	22254717	 dve	 gene_symbol dve	37	33	26	81	45	12	38	31	46	21	70	66	209	161	230	69	166	193	410	196	847	1064	771	544	58	182	83	93	102	66	365	218	673	312	528	119	357	495	561	319	368	311	778	231	1544	1184	1248	1143	319	282	126	264	130	417	220	49	110	246	153	120	2R	FlyBase	5UTR	22243963	22244681	.	+	.	11.2525979147354	11.2810697006182	10.96024641711	11.0108431755691	11.8363573728404	11.6738417239546	11.4101293603188	11.0952865922363	11.2521097068212	11.2874015909222	13.0408318233639	13.3018225062552	11.2759928039702	11.3576980505219	13.0442648340359	13.0683513926258	11.4301656254744	11.5715049789332	12.1023212730367	12.4026869777242	11.3838248355152	11.356643069587	12.3686169106027	12.0400040834446	11.4898530997785	11.9905489821617	12.263192853544	12.7237402824328	12.3540412073977	12.1142926399037	12.4784469252027	12.3419579830832	12.087002552181	11.6922990995024	12.8365331351669	13.1751125108234	11.6850927992621	11.568082039611	13.037530143434	13.0713393166512	11.7300995809439	11.7545230598503	12.3020375704698	12.0181627896224	12.2985572575246	12.0669017398361	13.1007405109	13.4537964777869	CG5799	dve	protein_coding	214.59313368255	2.15457466912355	0.356212348533509	6.0485681588348	1.46138794717999e-09	4.71458365394442e-06	80.9442160113979	348.242051353703	-2.10509052418219	10.9855447963395	13.1713271648096	11.2697556488717	11.2668338076768	0.224944485969372	-0.0364757301841444	0.261794303442447	11.2527079762776	13.0563081133309	11.3168454272461	11.7550995483975	0.206275146009473	-0.0630145272092981	0.214474779371853	0.0126537125585525	-0.0346658115120415
FBgn0003984	3L	5840463	5840815	 vn	 gene_symbol vn	108	29	45	67	63	21	23	60	70	47	129	81	197	120	127	78	165	131	357	164	451	553	427	274	89	329	92	155	212	112	2551	896	1547	726	512	170	348	509	383	331	304	376	924	407	1829	1369	1201	1258	450	165	328	368	231	350	234	49	109	150	150	114	3L	FlyBase	5UTR	5843559	5845664	.	-	.	13.3033790187469	13.237619737628	11.7835531466291	11.3054992226932	13.0581692718921	13.0508944280355	11.7614567384981	11.5247107995039	12.6873446983367	12.6491846202401	12.6762916612196	12.9349615701897	12.3578856288704	12.2369750141235	12.8133743807564	13.0230577113737	12.6721357566911	13.0185154044529	12.9597575902558	13.1126334584131	12.7863721684519	12.7123122656805	13.4929615176241	13.1642437495066	12.6557526586039	13.2123819838198	11.4541155133518	12.0440844307224	13.2858936335738	12.8558398074278	11.8101403386692	11.0426356487333	12.7002147014209	12.1742237943911	11.5366447147449	11.700250152002	12.9554862004144	13.0730470045855	12.3293727326728	12.3513924234828	12.9033621435413	12.73782507178	12.0828580520778	11.7759369993484	12.2809717933165	12.3164406304086	12.2606266295006	12.5932041601696	CG10491	vn	protein_coding	1022.76661710447	3.85857268784258	0.669515207684064	5.76323381987074	8.25173499623174e-09	1.68697663034913e-05	132.473514085315	1913.05972012364	-3.85210606078457	11.5445261846611	12.8056266157047	12.6682646592884	13.2704993781875	0.0155589369471748	-0.20101369872911	0.149568887205741	11.643083769001	12.918216046065	12.297430321497	13.0545318499638	0.0710499727496647	-0.165077503113906	0.149933634560579	-0.0126290035445859	-0.0122642561897477
FBgn0003984	3L	5839048	5839381	 vn	 gene_symbol vn	65	0	43	46	0	10	36	53	39	21	104	77	170	195	266	94	82	119	346	156	473	560	388	293	82	216	85	83	114	75	1091	432	948	397	404	105	306	414	328	346	269	267	955	275	1464	1078	1145	1026	385	256	169	347	217	261	250	39	116	199	206	128	3L	FlyBase	5UTR	5843559	5845664	.	-	.	13.3033790187469	13.237619737628	11.7835531466291	11.3054992226932	13.0581692718921	13.0508944280355	11.7614567384981	11.5247107995039	12.6873446983367	12.6491846202401	12.6762916612196	12.9349615701897	12.3578856288704	12.2369750141235	12.8133743807564	13.0230577113737	12.6721357566911	13.0185154044529	12.9597575902558	13.1126334584131	12.7863721684519	12.7123122656805	13.4929615176241	13.1642437495066	12.6557526586039	13.2123819838198	11.4541155133518	12.0440844307224	13.2858936335738	12.8558398074278	11.8101403386692	11.0426356487333	12.7002147014209	12.1742237943911	11.5366447147449	11.700250152002	12.9554862004144	13.0730470045855	12.3293727326728	12.3513924234828	12.9033621435413	12.73782507178	12.0828580520778	11.7759369993484	12.2809717933165	12.3164406304086	12.2606266295006	12.5932041601696	CG10491	vn	protein_coding	483.119166182496	3.02137648680839	0.523686955898468	5.76943239234352	7.95389798684372e-09	1.68697663034913e-05	107.571051041597	858.667281323396	-2.99680934075186	11.5445261846611	12.8056266157047	12.6682646592884	13.2704993781875	0.0155589369471748	-0.20101369872911	0.149568887205741	11.643083769001	12.918216046065	12.297430321497	13.0545318499638	0.0710499727496647	-0.165077503113906	0.149933634560579	-0.0126290035445859	-0.0122642561897477
