chr	start	end	name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr2L	5447	6142	chr2L.5911	1463.62186511901	-0.129055783469245	0.107526278277445	-1.20022552195332	0.230051765857832	0.373840830480642
chr2L	6535	6930	chr2L.6669	626.461048155016	0.173926686486064	0.132092052354567	1.31670818482858	0.187936459028867	0.321693350130963
chr2L	7394	8677	chr2L.7919	2542.64558329927	0.292662068097896	0.0968721279750279	3.02111736590879	0.00251843720979523	0.0101734636119545
chr2L	11953	12235	chr2L.12145	378.304105154349	0.412538863850518	0.160163563529477	2.57573479735041	0.0100027334033704	0.0319246171060016
chr2L	12347	12566	chr2L.12468	323.14496103008	0.242192131240146	0.161559230510735	1.49909188397659	0.133849796800827	0.249790176904082
chr2L	13477	15749	chr2L.14805	2675.27420926337	0.366996113658988	0.0948348396882783	3.86984482564955	0.000108904647627989	0.000668869051903499
chr2L	18868	19070	chr2L.18930	162.219470889437	0.203621294109336	0.19408080714999	1.04915729226112	0.294105731089315	0.445638501144092
chr2L	21693	23625	chr2L.22392	1923.22134459285	0.37043220898446	0.0918326350826879	4.0337752330739	5.48878224095507e-05	0.000366792350665359
chr2L	26419	27620	chr2L.26914	2578.92619259058	0.335232707908351	0.0828698976606809	4.04528927115362	5.22585553476342e-05	0.000350990485193551
chr2L	27720	29090	chr2L.28236	3714.20765406542	0.253890188594786	0.0860137102914051	2.95174092286722	0.00315987932258701	0.0122836174140985
chr2L	30334	30739	chr2L.30587	437.777979578272	0.286983825982724	0.14164680684756	2.02605220950428	0.0427594347201247	0.103323024215893
chr2L	33776	34453	chr2L.34219	1667.27510242911	0.156083712809875	0.0885408691073785	1.76284369448173	0.0779268556424773	0.16577535402199
chr2L	35507	36676	chr2L.36054	2924.45870644866	0.551706829944171	0.0785366453135556	7.02483315580256	2.1432219729372e-12	5.78441488490502e-11
chr2L	41952	42444	chr2L.42204	413.28537693753	0.36435837481879	0.136480332083011	2.66967678974562	0.00759242921439101	0.0253654709018151
chr2L	43045	43679	chr2L.43328	657.138194260616	0.513043230278113	0.126671111637123	4.05019916259862	5.11740601868753e-05	0.000344620671756537
chr2L	44000	44315	chr2L.44129	298.73349210324	0.366599524844876	0.173193939653529	2.11669949640415	0.0342853596153593	0.0868452274796836
chr2L	45383	45570	chr2L.45476	174.382890599646	0.781520157009469	0.192754260458467	4.05448966549751	5.02438715874039e-05	0.000339012246929254
chr2L	53424	54006	chr2L.53782	677.681237716931	0.8536192478492	0.122775124794413	6.95270519397629	3.58347048746172e-12	9.38067701948038e-11
chr2L	54930	55437	chr2L.55348	387.604268520615	0.704283305746838	0.152480491904487	4.61884203644883	3.85887476359667e-06	3.42187961765228e-05
chr2L	55615	55731	chr2L.55686	96.6362844676886	0.539121109245337	0.227777110513641	2.36688009620286	0.0179387434813608	0.0514676372256224
chr2L	55803	55944	chr2L.55855	95.1668046825016	0.254885240008114	0.234167759646111	1.08847281279589	0.276386432341433	0.426468965708599
chr2L	57219	57538	chr2L.57278	217.4566244416	0.461357011393865	0.174992572524558	2.63643767697124	0.00837815890047	0.0274699069870266
chr2L	57610	57845	chr2L.57695	178.206246098614	0.441377978515817	0.192308845063654	2.29515173038308	0.021724430348345	0.0600765050131507
chr2L	57876	58363	chr2L.58035	371.635493724184	0.516108495548567	0.153458948400898	3.36316976576875	0.000770529634878529	0.00368628682931495
chr2L	59128	59487	chr2L.59256	212.410358816075	-0.356095856416383	0.183827491703029	-1.93711970455242	0.0527307124792443	0.121874411640892
chr2L	65634	66006	chr2L.65907	911.600933812764	0.234334701530406	0.124620977654911	1.88037925829233	0.0600564083211592	0.135117216556482
chr2L	66384	67564	chr2L.66937	5340.91941754149	-0.0805987544729939	0.074805319175764	-1.07744683614834	0.281280689621635	0.431653501268947
chr2L	72076	72782	chr2L.72382	653.98690166221	-0.121588124272543	0.123869331369764	-0.981583761920767	0.326304950413621	0.480138441158329
chr2L	72951	73805	chr2L.73439	686.657997866308	-0.274511781029379	0.115558972494735	-2.37551247733607	0.0175245998935116	0.0505240327951535
chr2L	75108	75859	chr2L.75316	595.448212482052	0.237152029374887	0.123446627291881	1.92108957998632	0.0547204150425469	0.125525261092082
chr2L	78854	79269	chr2L.78986	512.730659806475	0.374757368718701	0.136249175032347	2.75052945186443	0.00594990426994345	0.0207075701150487
chr2L	81163	81353	chr2L.81267	173.114993474112	0.103459128151921	0.191902970038255	0.539122078888601	0.589802621896518	0.718989651230925
chr2L	83281	83406	chr2L.83357	89.665752472736	0.086577362694401	0.232422546960175	0.372499844902035	0.709520727449359	0.813028379546921
chr2L	83409	83604	chr2L.83507	148.661788807821	0.122185514406823	0.197765619340927	0.617829908019491	0.536687466333395	0.674948491859277
chr2L	86348	86494	chr2L.86404	174.783299188925	0.142797958084373	0.188730123897292	0.756625148839962	0.449274470095252	0.600837461735394
chr2L	87120	87594	chr2L.87433	1157.35225947105	-0.21572850678715	0.0981067846101581	-2.19891527017606	0.0278839476123945	0.0736581556191223
chr2L	87620	87897	chr2L.87734	566.469937289863	-0.207573216153781	0.122870384582828	-1.68936735128272	0.0911490536603725	0.187211458712658
chr2L	88550	88672	chr2L.88586	103.49634348	0.346606188144767	0.225418371005347	1.53761286890209	0.124143299038611	0.236186018314374
chr2L	88693	88834	chr2L.88738	125.852475369587	0.117192401158293	0.208662054221239	0.561637340318893	0.574363134009861	0.706481277640632
chr2L	90155	90490	chr2L.90341	289.872782905994	-0.24108730442644	0.160300466977572	-1.50397131694053	0.132588752313743	0.248050434661725
chr2L	90834	91994	chr2L.91479	2074.0507813274	-0.0548571956565446	0.0873850920050206	-0.627763779814901	0.530158696836817	0.669713373985028
chr2L	92130	92296	chr2L.92176	223.526529283992	0.0684081628760218	0.173429537239747	0.394443553069368	0.693253594042154	0.800613332567216
chr2L	94601	94882	chr2L.94737	556.063810670488	0.0323230156480327	0.133754119040767	0.241659964417102	0.809043653920943	0.881692342619142
chr2L	94889	95537	chr2L.95029	855.29134469753	0.0921475230585016	0.114221640470201	0.806743123975195	0.419814493376775	0.57372518934416
chr2L	102105	103000	chr2L.102412	1674.74474942402	-0.0526236452055881	0.0878670021241931	-0.59890111114988	0.549238830439721	0.685320091612606
chr2L	106236	106404	chr2L.106307	236.974621542919	0.118798308325032	0.167069865348237	0.711069635911969	0.477041084881569	0.62536006670148
chr2L	106448	106666	chr2L.106526	411.137077119201	0.0409654781202605	0.153619283535793	0.266668852876896	0.789724137516606	0.868142659860648
chr2L	106683	106854	chr2L.106781	416.4617322822	-0.0721910244308819	0.14266500971933	-0.506017730436539	0.61284420279938	0.737536708458829
chr2L	107723	108402	chr2L.107898	2331.24756003592	-0.244224104217706	0.0854140866825328	-2.8592953891252	0.00424583221881278	0.0156717684588646
chr2L	108570	109653	chr2L.109375	2496.78121117818	-0.352752576011457	0.08803134854461	-4.00712452828891	6.14624610096966e-05	0.000404899225757587
chr2L	114512	115657	chr2L.114984	1755.43017111992	0.149444122679687	0.0946097172499051	1.57958534306725	0.114201858005138	0.222003374582434
chr2L	115674	116275	chr2L.115906	581.934127793079	0.18050189495291	0.12382546133777	1.45771227502669	0.144919867073965	0.265151613887754
chr2L	120533	120947	chr2L.120653	332.510413324087	-0.0256597693355871	0.157332255456001	-0.163092871587054	0.870445312301516	0.921704428358201
chr2L	121061	121276	chr2L.121159	185.863372192406	0.415665070721709	0.189195394339953	2.1970147432597	0.0280193932809254	0.0739598333068247
