"FBgn"	"RefSeqID"	"Chr"	"Start"	"End"	"Score"	"Strand"	"IC_4_6_K4me3_1"	"IC_4_6_K4me3_2"	"IC_6_8_K4me3_1"	"IC_6_8_K4me3_2"	"IC_8_10_K4me3_1"	"IC_8_10_K4me3_2"	"VC_4_6_K4me3_1"	"VC_4_6_K4me3_2"	"VC_68_K4me3_1_1"	"VC_68_K4me3_2_1"	"VC_810_K4me3_1_1"	"VC_810_K4me3_2_1"	"IC_4_6_K27ac_1"	"IC_4_6_K27ac_3"	"IC_6_8_K27ac_1"	"IC_6_8_K27ac_3"	"IC_8_10_K27ac_1"	"IC_8_10_K27ac_2"	"VC_4_6_K27ac_1"	"VC_4_6_K27ac_2"	"VC_68_K27ac_1_1"	"VC_68_K27ac_2_1"	"VC_810_K27ac_1_1"	"VC_810_K27ac_2_1"	"IC_4_6_K79me3_1"	"IC_4_6_K79me3_2"	"IC_6_8_K79me3_1"	"IC_6_8_K79me3_2"	"IC_8_10_K79me3_1"	"IC_8_10_K79me3_2"	"VC_4_6_K79me3_1"	"VC_4_6_K79me3_2"	"VC_68_K79me3_1_1"	"VC_68_K79me3_2_1"	"VC_810_K79me3_1_1"	"VC_810_K79me3_2_1"	"IC_4_6_K4mono_1"	"IC_4_6_K4mono_2"	"IC_6_8_K4mono_1"	"IC_6_8_K4mono_2"	"IC_8_10_K4mono_1"	"IC_8_10_K4mono_2"	"VC_4_6_K4mono_1"	"VC_4_6_K4mono_2"	"VC_68_K4mono_1_1"	"VC_68_K4mono_2_1"	"VC_810_K4mono_1_1"	"VC_810_K4mono_2_1"	"IC_4_6_K27me3_1"	"IC_4_6_K27me3_2"	"IC_6_8_K27me3_2"	"IC_6_8_K27me3_3"	"IC_8_10_K27me3_1"	"IC_8_10_K27me3_2"	"VC_4_6_K27me3_1"	"VC_4_6_K27me3_2"	"VC_68_K27me3_1_1"	"VC_68_K27me3_2_1"	"VC_810_K27me3_1_1"	"VC_810_K27me3_2_1"	"All_RefSeq"	"Gene"	"4-6h_Ind-neg_1"	"4-6h_Ind-neg_2"	"4-6h_Ind-pos_1"	"4-6h_Ind-pos_2"	"6-8h_Ind-neg_1"	"6-8h_Ind-neg_2"	"6-8h_Ind-pos_1"	"6-8h_Ind-pos_2"	"4-6h_Vnd-neg_1"	"4-6h_Vnd-neg_2"	"4-6h_Vnd-pos_1"	"4-6h_Vnd-pos_2"	"6-8h_Vnd-neg_1"	"6-8h_Vnd-neg_2"	"6-8h_Vnd-pos_1"	"6-8h_Vnd-pos_2"	"4-6h_Pros-neg_1"	"4-6h_Pros-neg_2"	"4-6h_Pros-pos_1"	"4-6h_Pros-pos_2"	"6-8h_Pros-neg_1"	"6-8h_Pros-neg_2"	"6-8h_Pros-pos_1"	"6-8h_Pros-pos_2"	"6-8h_Elav-neg_1"	"6-8h_Elav-neg_2"	"6-8h_Elav-pos_1"	"6-8h_Elav-pos_2"	"8-10h_Elav-neg_1"	"8-10h_Elav-neg_2"	"8-10h_Elav-pos_1"	"8-10h_Elav-pos_2"	"18-22h_Elav-neg_1"	"18-22h_Elav-neg_2"	"18-22h_Elav-pos_1"	"18-22h_Elav-pos_2"	"6-8h_Repo-neg_1"	"6-8h_Repo-neg_2"	"6-8h_Repo-pos_1"	"6-8h_Repo-pos_2"	"8-10h_Repo-neg_1"	"8-10h_Repo-neg_2"	"8-10h_Repo-pos_1"	"8-10h_Repo-pos_2"	"18-22h_Repo-neg_1"	"18-22h_Repo-neg_2"	"18-22h_Repo-pos_1"	"18-22h_Repo-pos_2"	"CGID"	"Symbol"	"Biotype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Norm_avrg_A"	"Norm_avrg_B"	"log2FC_norm_count"	"IC_46_pos_mean"	"VC_46_pos_mean"	"VC_46_neg_mean"	"IC_46_neg_mean"	"VC_46_log2FC_over_neg"	"IC_46_log2FC_over_neg"	"Tissue_46_log2FC_VCvsIC_VST"	"IC_68_pos_mean"	"VC_68_pos_mean"	"VC_68_neg_mean"	"IC_68_neg_mean"	"VC_68_log2FC_over_neg"	"IC_68_log2FC_over_neg"	"Tissue_68_log2FC_VCvsIC_VST"	"Temp_VC_46vs68"	"Temp_IC_46vs68"
"FBgn0052475"	"NM_001274253.1"	"3L"	22427	22627	500	"+"	991	791	513	878	758	2299	1324	423	242	364	413	381	238	303	372	21	133	270	81	32	75	72	34	91	394	744	420	191	303	454	69	77	87	61	26	11	43	51	50	28	37	48	3	5	14	23	12	19	1	1	18	30	4	34	4	3	10	1	8	2	"''NM_001274253.1,NM_138154.3''"	"''mthl8 anon-WO0170980.145 anon-WO0170980.146 CG11869 CG13406 Dmel\CG32475 Mth-8 mthl-8 CG32475 Dmel_CG32475''"	8.8906090643949	8.65618591955091	8.77670358268677	8.70978815938341	10.4404324694207	10.2199026485136	10.806779796486	10.5422336249637	9.45662639786913	9.44095455244109	9.57164486075051	9.4925216572753	9.54687761072931	9.69216953983781	9.49165830262993	9.66731972980151	10.3780796334429	10.3505419504524	10.4137537388975	10.3176252027711	10.3792161831452	10.3351329969043	10.5751263286772	10.4390953232434	10.3731203877037	9.12585500801121	10.5783881600138	8.90711173311093	9.22412760780112	9.44303352637215	9.12953226174557	9.82789738386317	10.2873208297676	10.366621419599	10.6503256816551	10.6465391162079	10.4308163110689	10.231478595395	10.2118298108692	10.3273437639735	10.516929868327	10.3670321627988	10.1641209836168	10.4628346057822	10.4709814380902	10.3271364739784	10.1091066406988	10.2460855338061	"CG32475"	"mthl8"	"protein_coding"	266.773412622783	-3.06211194481842	0.235799318952218	-12.9860932526226	1.46727914309719e-38	0.000221428486662179	476.49710164845	57.0497235971158	3.06217563693133	8.74324587103509	9.53208325901291	9.44879047515511	8.7733974919729	0.0126618889351794	-0.00496666353961295	0.124622582992047	10.6745067107248	9.57948901621572	9.61952357528356	10.3301675589671	-0.00601674104548792	0.0473057462860376	-0.156148794013389	-0.00715714961679769	-0.287928526622234
"FBgn0005558"	"NM_079889.3"	"4"	704650	704850	500	"+"	180	231	194	321	607	421	164	273	235	76	223	235	252	167	438	85	179	147	108	35	149	90	80	38	294	875	811	389	547	433	108	40	62	81	56	18	379	579	371	284	350	367	733	258	1317	1040	830	847	1142	263	347	342	220	494	1045	565	540	537	839	570	"''NM_166789.2,NM_079889.3''"	"''ey pax6 CG1464''"	10.330859864495	10.012747651815	13.246039972421	13.3617901004575	10.4501642961023	10.3660859358438	13.74526116727	13.4776023407944	10.5511302415409	10.5652515153441	10.6806949455337	10.4593107829305	10.8503321082258	10.818312444937	10.9112980746449	10.6048855779693	10.473242139145	9.96137949906291	11.9295575064703	12.2961105495236	10.4669806095633	10.1418004150724	11.8711329319718	11.8708741125149	10.4638275587467	10.317758705115	11.7169990261472	11.9137678437346	9.83840609900299	10.3867473053208	11.8887715920153	11.7039151173694	10.061097951215	10.9467587979756	11.8425847895065	11.8407333560383	10.4259605250871	10.636640019868	10.2230267389803	10.1841725778915	10.8702962662141	10.9092449882237	10.3504004673289	11.1086175146236	10.9222192203101	10.9762467843579	10.7186822942568	10.7650080215888	"CG1464"	"ey"	"protein_coding"	326.782092039143	-2.59916051348536	0.243026383519486	-10.6949726027461	1.07451405297922e-26	0.0168251015905302	561.036910005433	92.527274072852	2.60014509362884	13.3039150364392	10.5700028642321	10.5581908784425	10.171803758155	0.00161311424011527	0.387275326314725	-0.331875092542173	13.6114317540322	10.7580918263071	10.8343222765814	10.408125115973	-0.0101867025123549	0.387108618577202	-0.339396620174615	-0.0254464406401115	-0.0329679682725536
"FBgn0047338"	"NM_168602.2"	"3L"	15023491	15023691	500	"+"	39	34	33	42	18	14	20	19	23	26	22	43	292	212	288	33	203	161	115	46	159	135	104	103	46	192	57	57	80	37	56	33	26	51	43	14	162	265	197	200	225	144	161	61	278	197	228	186	279	117	223	369	154	381	858	695	618	479	723	424	"''NM_168602.2''"	"''BcDNA:AT21341 Dmel\CG32148 NEST:bs21b09 CG32148 Dmel_CG32148''"	8.8760869420792	8.8072471505908	9.09114235419914	8.94870295967173	8.65618591955091	8.92339086507853	8.74849980861711	9.04754485405195	9.10478881808148	9.11062921244908	9.38660829443434	9.13107785612491	9.23336401039157	9.09342897910015	9.3058219213082	9.1884579366486	9.2477929173427	8.96048626259046	9.07560958327501	9.24068716489199	8.98784946883103	8.99457719650488	8.8979640635869	9.16884518575761	8.87114140823079	8.65618591955091	9.30751148870931	9.24183730475548	8.65618591955091	9.2389948730762	9.08345919074287	9.42241209504195	9.0240665777135	9.35465820326264	9.65426022639011	9.43486993162306	8.79868933433499	8.85485598287114	8.65618591955091	9.24489577484058	9.05060748839302	9.22118125722999	9.03479183564801	9.45122770880182	9.29966599001005	9.37035760480227	9.16095071882529	8.97822248294539	"CG32148"	"CG32148"	"protein_coding"	241.462460427714	-1.69361417461245	0.227971718873389	-7.42905384484579	1.09377218704321e-13	0.719302789262313	368.900981921381	114.023938934047	1.69389688407361	9.01992265693544	9.25884307527962	9.10770901526528	8.841667046335	0.0237437358276391	0.0287966556103817	0.0377168721052475	8.89802233133453	9.2471399289784	9.16339649474586	8.78978839231472	0.0131247746126416	0.0176562852791611	0.0555225006202104	0.0018247151073783	0.0196303436223409
"FBgn0261989"	"NM_166009.2"	"2R"	13572559	13572759	500	"-"	18	22	25	18	9	15	16	14	24	26	43	45	583	511	847	94	353	238	409	174	567	569	400	256	116	303	253	121	142	83	200	106	151	93	98	30	221	438	334	312	236	322	277	159	708	644	540	519	205	86	54	135	5	101	287	104	177	159	215	163	"''NM_137045.4,NM_166009.2''"	"''CG6183 CG13335 CG42807 Dmel_CG42807''"	9.1509940278958	8.82926253004869	9.47124745801958	9.17099576212454	8.94415014052656	9.09037468726292	9.16738482421153	9.37773313833985	9.36743865578135	9.70587492604035	9.72745657954001	9.46500829084942	9.57847003722813	9.74418260363809	9.84852669587591	9.6477298392697	9.54536961060557	9.37765538357133	9.29489872792368	8.91637456825992	9.41782532195357	9.27671971309589	9.00165807756952	9.38973763810767	9.36836520325967	8.89501237993676	9.55265679976301	8.9023192133856	9.02307192477706	9.40639306458436	8.88723474305057	9.62457063193999	9.2140178113743	10.0385816513759	9.68191171818877	9.20976144995253	9.02888723283254	9.15763824240943	8.65618591955091	9.60518627675607	9.3037999124107	9.59140901241351	9.57944637739628	9.99305633288682	9.49150208324567	9.53755175703618	9.41544236121268	9.58006155631928	"CG42807"	"CG42807"	"protein_coding"	762.953619061055	-1.29883897004552	0.169069310153018	-7.68228703878893	1.56273194665285e-14	0.719302789262313	1084.92754058128	440.979697540826	1.2988145505809	9.32112161007206	9.59623243519471	9.53665679091085	8.99012827897224	0.00898450446561945	0.0521618632285622	0.0419645375568943	9.27255898127569	9.74812826757281	9.66132632043311	9.01726241389474	0.0129039765628433	0.0402780330109686	0.0721576949076446	-0.0226571321191239	0.00753602523162636
"FBgn0267363"	"NM_001110622.3"	"4"	878	1078	500	"+"	85	46	28	19	6	25	38	88	61	53	49	56	83	65	164	39	52	36	90	27	59	65	49	51	18	185	18	19	29	4	32	17	36	23	36	19	24	60	22	57	23	25	18	42	124	71	68	57	1	1	47	42	7	11	41	10	29	21	27	14	"''NM_001110622.3''"	"''JYalpha CG17923 CG40625 Dmel\CG45760 JY-alpha JYAlpha CG45760 Dmel_CG45760''"	9.40670129513296	9.2438691877906	9.32286679653806	9.2451858408346	9.2081513639072	9.4215788269954	9.17404822023471	9.59986456943279	9.84908659266738	9.76122487063966	9.90420391384442	9.79794038892624	10.0390310711806	9.81224259871485	10.2179745078426	9.913182873076	9.98161339578335	9.57058283823154	9.7033163731747	9.27833905827685	9.70261825802314	9.65904856572349	9.19334091273574	10.0905974139475	9.64683764041036	8.98205104746381	9.5378354981173	9.19864503007921	9.05058914630111	9.78908529193644	9.22749452912115	10.0328902105273	8.97893658970787	10.1803436432245	10.1324393576572	9.602684613877	9.0739730196627	9.28762127938118	9.19494535395501	9.30907903325434	9.6617332313574	9.87916694321835	9.5951920300067	10.4802673244832	9.59948072540707	9.92969809021292	9.9968143775462	9.63317832928224	"CG45760"	"JYalpha"	"protein_coding"	129.113988083347	-2.12530630985313	0.286662154923993	-7.41397590629513	1.22568196622795e-13	0.719302789262313	210.068614705231	48.1593614614639	2.12497246346762	9.28402631868633	9.85107215138533	9.80515573165352	9.32528524146178	0.00674020589593087	-0.00639724265137674	0.0855301377946765	9.38695639483375	10.0655786904593	9.92563683494772	9.3148650954513	0.0201985435602952	0.0111225823986512	0.100700755410422	-0.0310774626984579	-0.0159068450827119
NA	"NR_124497.1"	"2R"	10052795	10052995	500	"-"	20	9	27	56	77	36	23	21	34	25	33	70	210	225	354	47	131	94	142	58	204	130	181	114	25	201	16	69	12	38	55	28	33	35	43	12	241	466	307	337	286	244	172	138	457	354	433	440	65	44	2	57	38	73	97	40	61	80	88	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	291.391071384133	-1.80906004852908	0.240938363400661	-7.50839352851732	5.98573401786437e-14	0.719302789262313	453.440790278364	129.341352489902	1.80973057629341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0262124"	"NM_001301215.1"	"2R"	3947515	3947715	500	"-"	1126	1100	668	939	1115	538	2851	1724	1464	1877	1728	1381	776	1374	1721	846	658	260	1037	360	1040	1323	849	1096	153	760	123	96	128	54	170	96	156	148	98	25	168	388	119	144	89	47	173	76	269	244	233	218	47	13	25	62	85	9	64	16	79	30	65	34	"''NM_001276233.2,NM_001301215.1,NM_001110921.4,NM_001110920.4''"	"''uex CG42595 Dmel_CG42595''"	12.8568079527343	12.9209628176438	12.7298207292577	13.0298295372036	13.4714266637388	13.2342521582292	13.6602709865545	13.3148671734334	12.8380274893906	12.7622703768141	12.5932260250566	12.932953100526	12.5993088703615	12.5484497382839	12.4949691251661	12.6817890876804	12.9198140309696	13.0126616918512	13.0188261454075	12.9554244825116	13.3168270471301	13.1751531520002	13.4787494601998	13.0826411904195	13.1924366236471	13.6323730964851	13.2536756734104	13.7411963745076	13.6353692479148	13.0497260384728	13.5708359746091	12.629108305682	13.7928259739317	12.6241125548375	13.2780155065193	13.5101713135272	13.3988357882634	13.4149091244979	13.0212557827173	12.6992240555484	13.1210253297339	12.6295404220924	12.9204650222679	12.3283094404144	13.2029747471594	13.101483936929	13.407372439264	13.3093312080301	"CG42595"	"uex"	"protein_coding"	1561.44680371355	-1.26324895038677	0.17428603592848	-7.24813633896157	4.22545171753174e-13	0.78689093407318	2204.4395482177	918.454059209409	1.26313244974859	12.8798251332306	12.7630895627913	12.8001489331023	12.888885385189	-0.00418299169961247	-0.00101450020938146	-0.0131354016481066	13.4875690799939	12.5883791064233	12.5738793043227	13.352839410984	0.00166271203151443	0.0144837928211724	-0.0995378168486032	0.0198850727489984	-0.0665173424514981
NA	"NR_003802.1"	"2R"	14623763	14623963	500	"+"	25	57	45	47	18	43	37	63	81	39	69	71	56	74	166	1	85	59	52	17	71	67	77	86	49	270	143	86	50	79	112	45	60	51	64	19	55	137	74	125	61	68	37	35	142	135	144	134	22	1	21	31	1	12	37	5	32	26	31	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	133.091172530387	-1.98923951537613	0.280171474069534	-7.10007869995513	1.24685865974407e-12	0.88530564218958	212.630427079685	53.5519179810898	1.98933790738061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0265158"	"NM_001275453.1"	"3R"	8684976	8685176	500	"-"	28	21	40	37	30	35	19	29	34	18	67	81	388	445	466	34	295	147	403	166	309	290	165	169	66	197	62	89	21	69	141	58	83	55	85	31	395	652	476	506	377	378	532	234	951	765	717	622	210	222	248	273	173	359	252	150	340	311	389	337	"''NM_001275453.1''"	"''Dmel\CG44227 CG44227 Dmel_CG44227''"	8.90992664725034	8.87449487866945	9.19687147023032	8.89442093397661	8.80569093709813	9.02286306529821	9.04517011496238	8.97458304989777	9.16889149016222	8.9190828451662	9.04629137323068	9.1590202923185	9.08987142420203	9.18390573767151	9.31842264791963	9.31124291521689	9.02163306423	9.02023078850101	9.0148013170389	8.65618591955091	8.88107626714307	9.0775649648758	8.92379477909815	9.16754405847333	8.93482502199005	8.65618591955091	9.11641301122493	8.73111878404433	8.72089550532413	9.20168192671045	8.65618591955091	8.93196031226716	8.65618591955091	8.9928338599583	9.13345327143835	8.96653866301632	8.83862465854413	8.65618591955091	8.65618591955091	8.92735530842391	9.10400242465734	9.24371192106912	9.04940165900627	9.38135587867455	9.17546109519735	9.29236704931828	9.14599038268804	9.05697042475388	"CG44227"	"CG44227"	"protein_coding"	414.670890980841	-1.3605798930109	0.192136383901075	-7.08132351294495	1.42784130717353e-12	0.888231249654437	596.90228324779	232.439498713892	1.36063952392196	9.04564620210347	9.10265583277459	9.04398716766421	8.89221076295989	0.00932858899722786	0.0246814261611554	0.00906396442292426	9.00987658243007	9.31483278156826	9.13688858093677	8.91427700119817	0.0278269078209921	0.0153895523089558	0.0480225262694386	-0.0332423362855581	0.00571622556095649
"FBgn0036465"	"NM_206364.2"	"3L"	15042370	15042570	500	"-"	97	84	35	30	73	41	28	16	28	19	39	43	258	261	278	85	120	114	85	40	166	125	144	111	250	571	161	103	101	104	75	30	39	45	70	27	202	358	393	351	270	162	295	66	390	241	267	286	780	177	287	572	488	550	1894	1412	955	707	916	644	"''NM_206364.2''"	"''Rpn12R Dmel\CG11552 CG11552 Dmel_CG11552 HDC10206''"	8.94071749434887	8.93906265011006	9.14547791582147	9.22218513310459	8.90032036812066	9.063361667585	9.18513927438522	9.40300773710537	9.12858210495209	9.38577784845885	9.6145066818156	9.34622645022249	9.29542116300924	9.44346126861193	9.59230202366382	9.55122046210384	9.54111939202622	9.16921618669918	9.42401815034115	9.11060848472596	9.13920754597775	9.04575793732767	8.92500203376459	9.29958054555674	9.15591665308318	8.84415583762203	9.26601287823183	9.01291467671335	8.93539354799155	9.33660490149774	8.89746904489963	9.63820604484675	8.88614447784468	9.60825608107867	9.72317663252284	9.43536353378864	8.79400985004579	9.07479709457412	8.65618591955091	9.29792458384819	9.21292535886891	9.46422588330249	9.16153949117961	9.73630422639167	9.27540274964106	9.41592103983752	9.52067120270266	9.32313042590098	"CG11552"	"Rpn12R"	"protein_coding"	234.440004361045	-1.65814586042837	0.236823061441638	-7.00162328083492	2.53013652367862e-12	0.910856275889041	356.091920049111	112.788088672979	1.65863498479856	9.18383152446303	9.48036656601905	9.25717997670547	8.93989007222947	0.0343700722803784	0.0388390846325013	0.0458466668624608	9.2940735057453	9.57176124288383	9.36944121581059	8.98184101785283	0.0308214013277511	0.0492998689316158	0.0424733558743445	-0.0138415677059395	-0.0172148786940557
