FBgn	Chr	Start	End	Symbol.x	FBtr	IC_4_6_K4me3_1	IC_4_6_K4me3_2	IC_6_8_K4me3_1	IC_6_8_K4me3_2	IC_8_10_K4me3_1	IC_8_10_K4me3_2	VC_4_6_K4me3_1	VC_4_6_K4me3_2	VC_68_K4me3_1_1	VC_68_K4me3_2_1	VC_810_K4me3_1_1	VC_810_K4me3_2_1	IC_4_6_K27ac_1	IC_4_6_K27ac_3	IC_6_8_K27ac_1	IC_6_8_K27ac_3	IC_8_10_K27ac_1	IC_8_10_K27ac_2	VC_4_6_K27ac_1	VC_4_6_K27ac_2	VC_68_K27ac_1_1	VC_68_K27ac_2_1	VC_810_K27ac_1_1	VC_810_K27ac_2_1	IC_4_6_K79me3_1	IC_4_6_K79me3_2	IC_6_8_K79me3_1	IC_6_8_K79me3_2	IC_8_10_K79me3_1	IC_8_10_K79me3_2	VC_4_6_K79me3_1	VC_4_6_K79me3_2	VC_68_K79me3_1_1	VC_68_K79me3_2_1	VC_810_K79me3_1_1	VC_810_K79me3_2_1	IC_4_6_K4mono_1	IC_4_6_K4mono_2	IC_6_8_K4mono_1	IC_6_8_K4mono_2	IC_8_10_K4mono_1	IC_8_10_K4mono_2	VC_4_6_K4mono_1	VC_4_6_K4mono_2	VC_68_K4mono_1_1	VC_68_K4mono_2_1	VC_810_K4mono_1_1	VC_810_K4mono_2_1	IC_4_6_K27me3_1	IC_4_6_K27me3_2	IC_6_8_K27me3_2	IC_6_8_K27me3_3	IC_8_10_K27me3_1	IC_8_10_K27me3_2	VC_4_6_K27me3_1	VC_4_6_K27me3_2	VC_68_K27me3_1_1	VC_68_K27me3_2_1	VC_810_K27me3_1_1	VC_810_K27me3_2_1	Seqname_UTR	Source	Feature	Start_UTR	End_UTR	Score	Strand	Frame	4-6h_Ind-neg_1	4-6h_Ind-neg_2	4-6h_Ind-pos_1	4-6h_Ind-pos_2	6-8h_Ind-neg_1	6-8h_Ind-neg_2	6-8h_Ind-pos_1	6-8h_Ind-pos_2	4-6h_Vnd-neg_1	4-6h_Vnd-neg_2	4-6h_Vnd-pos_1	4-6h_Vnd-pos_2	6-8h_Vnd-neg_1	6-8h_Vnd-neg_2	6-8h_Vnd-pos_1	6-8h_Vnd-pos_2	4-6h_Pros-neg_1	4-6h_Pros-neg_2	4-6h_Pros-pos_1	4-6h_Pros-pos_2	6-8h_Pros-neg_1	6-8h_Pros-neg_2	6-8h_Pros-pos_1	6-8h_Pros-pos_2	6-8h_Elav-neg_1	6-8h_Elav-neg_2	6-8h_Elav-pos_1	6-8h_Elav-pos_2	8-10h_Elav-neg_1	8-10h_Elav-neg_2	8-10h_Elav-pos_1	8-10h_Elav-pos_2	18-22h_Elav-neg_1	18-22h_Elav-neg_2	18-22h_Elav-pos_1	18-22h_Elav-pos_2	6-8h_Repo-neg_1	6-8h_Repo-neg_2	6-8h_Repo-pos_1	6-8h_Repo-pos_2	8-10h_Repo-neg_1	8-10h_Repo-neg_2	8-10h_Repo-pos_1	8-10h_Repo-pos_2	18-22h_Repo-neg_1	18-22h_Repo-neg_2	18-22h_Repo-pos_1	18-22h_Repo-pos_2	CGID	Symbol.y	Biotype	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Norm_avrg_A	Norm_avrg_B	log2FC_norm_count	IC_46_pos_mean	VC_46_pos_mean	VC_46_neg_mean	IC_46_neg_mean	VC_46_log2FC_over_neg	IC_46_log2FC_over_neg	Tissue_46_log2FC_VCvsIC_VST	IC_68_pos_mean	VC_68_pos_mean	VC_68_neg_mean	IC_68_neg_mean	VC_68_log2FC_over_neg	IC_68_log2FC_over_neg	Tissue_68_log2FC_VCvsIC_VST	Temp_VC_46vs68	Temp_IC_46vs68
FBgn0261930	X	592695	593491	 vnd	 gene_symbol vnd	66	59	98	69	185	187	1039	1680	1308	925	1100	1179	462	307	508	178	397	442	4683	1906	5937	6520	4829	3507	459	1713	885	598	731	1015	5299	2531	4382	2954	2509	686	1590	2196	1885	1583	1378	1172	5911	2173	10074	8554	9080	9394	2930	1546	2732	2890	2093	3274	1822	430	1020	1212	1587	1060	X	FlyBase	5UTR	591042	591394	.	+	.	11.6390990041662	11.5800482573277	11.7274173344586	11.7496215436411	11.8095616814403	11.8144019534854	11.7393304423469	11.7841205320437	11.1542946523829	11.1994774283297	12.559500465413	12.7648211517329	11.0641253064657	10.9750927326284	13.2130434704999	13.5589264192884	11.0037266625505	11.1168994265843	12.755045436078	12.9596014695066	10.6905135038013	10.7895952055259	13.4097921613593	13.3691924582383	11.4938790959043	11.5432597284619	12.6194091855927	13.0906537734248	11.599919939918	11.3393572116384	12.7443730018281	12.0876481193871	11.4442687808659	11.2617028721576	11.4146353949602	11.6469538013268	11.7664551134685	11.7400686549169	10.5585599780713	10.7236347574062	11.6988135504074	11.6039828308209	10.9030002105099	10.5703720709207	11.3105739856623	11.4076144329835	10.3185578164051	10.5501945386967	CG6172	vnd	protein_coding	2660.61410904736	2.76827498307158	0.15187567171577	18.227244375599	3.13736013730445e-74	3.7579805933774e-10	681.039928493772	4640.18828960095	-2.76837205905108	11.7385194390498	12.6621608085729	11.1768860403563	11.609573630747	0.180005323815708	0.0159354658225428	0.109273167846817	11.7617254871953	13.3859849448941	11.0196090195471	11.8119818174629	0.280650259451173	-0.00615131657960311	0.186623572606701	-0.0801996739113535	-0.00284926915146935
FBgn0032988	2L	22260885	22261681	 Tif-IA	 gene_symbol Tif-IA	145	175	136	187	761	660	236	1731	1314	1427	1050	1079	523	209	186	232	388	526	1035	466	1668	1265	1093	772	163	844	417	153	208	221	388	256	316	466	233	84	803	1151	791	381	540	599	1098	457	1847	1408	1788	2023	368	77	248	443	56	201	373	257	272	122	264	180	2L	FlyBase	5UTR	22249876	22250098	.	+	.	12.037593267766	12.1058164291839	12.0326997006652	12.1984001223968	12.3372923917727	12.3494331641573	12.1967163441148	12.092840613266	11.7896445230672	11.6702383377873	11.3866052665471	11.5072128916641	11.6572454828153	11.6796180738936	11.3505173991154	11.454757975859	11.6768624125938	11.8969276239096	11.5484932442617	11.708627159438	12.2140988046458	12.1517033108976	11.9854575446284	11.7143797823293	12.2211079749144	12.3694397167902	11.913345928728	12.0099717687783	12.446267499195	11.6719245915722	12.1100734567676	11.3402056554158	11.4785516350053	10.8019025471195	11.3449257734234	11.5201202714159	12.473532048902	12.3609884553659	11.6933797921684	11.1917745802825	12.2230349584651	11.8235848462984	11.5388470175653	10.8084984282663	11.2037341798229	11.0027422552885	11.0406014404442	10.8468380811939	CG3278	Tif-IA	protein_coding	666.31343695352	2.1194311886243	0.178377156613666	11.8817410752579	1.47267601955596e-32	0.00161532592752813	249.357139172917	1083.26973473412	-2.11910710598527	12.115549911531	11.4469090791056	11.7299414304272	12.071704848475	-0.0352377187128964	0.0052304509090989	-0.0819017975697653	12.1447784786904	11.4026376874872	11.6684317783544	12.343362777965	-0.0332430868632237	-0.0233993148968504	-0.0909685844667927	0.0055905001281615	-0.0034762867688659
FBgn0020307	2R	22248616	22249190	 dve	 gene_symbol dve	9	38	57	60	98	35	63	58	71	59	150	140	222	203	215	173	209	266	620	343	1340	1425	1119	679	75	410	170	255	75	185	1216	599	1618	914	845	246	344	561	381	304	425	431	656	269	1779	1289	1545	1719	1549	836	1253	1710	1212	1788	892	402	440	591	764	520	2R	FlyBase	5UTR	22243963	22244681	.	+	.	11.2525979147354	11.2810697006182	10.96024641711	11.0108431755691	11.8363573728404	11.6738417239546	11.4101293603188	11.0952865922363	11.2521097068212	11.2874015909222	13.0408318233639	13.3018225062552	11.2759928039702	11.3576980505219	13.0442648340359	13.0683513926258	11.4301656254744	11.5715049789332	12.1023212730367	12.4026869777242	11.3838248355152	11.356643069587	12.3686169106027	12.0400040834446	11.4898530997785	11.9905489821617	12.263192853544	12.7237402824328	12.3540412073977	12.1142926399037	12.4784469252027	12.3419579830832	12.087002552181	11.6922990995024	12.8365331351669	13.1751125108234	11.6850927992621	11.568082039611	13.037530143434	13.0713393166512	11.7300995809439	11.7545230598503	12.3020375704698	12.0181627896224	12.2985572575246	12.0669017398361	13.1007405109	13.4537964777869	CG5799	dve	protein_coding	658.713406783557	1.83589606045776	0.173341037023266	10.5912373202852	3.27237442943195e-26	0.0161814302528873	288.235402807404	1029.19141075971	-1.83619187005137	10.9855447963395	13.1713271648096	11.2697556488717	11.2668338076768	0.224944485969372	-0.0364757301841444	0.261794303442447	11.2527079762776	13.0563081133309	11.3168454272461	11.7550995483975	0.206275146009473	-0.0630145272092981	0.214474779371853	0.0126537125585525	-0.0346658115120415
FBgn0004102	X	8636848	8637699	 oc	 gene_symbol oc	115	68	99	84	102	54	52	89	98	98	171	204	262	173	136	136	161	186	887	407	852	1105	814	687	128	498	220	113	127	185	658	385	869	382	514	156	832	1437	1169	965	1111	899	1207	665	2371	1692	1682	1802	1915	715	796	1294	1127	1514	1237	431	513	864	712	496	X	FlyBase	5UTR	8642647	8642867	.	-	.	12.3668886537385	12.3504877142431	11.6358822591098	11.421126694787	12.4360272226153	12.4059102781201	11.5979054361194	11.4324911953147	11.9086403742113	11.8193509151649	13.9155983840965	14.2048653245844	11.5734810144627	11.4269609237758	13.7360430375807	13.9202617719858	12.2950115002832	12.2523574678827	13.9622563885593	13.9326137017335	12.0719842265365	12.1199790335787	14.0128407203946	13.8762029143896	12.0247772326999	12.2619388776971	13.2091602447178	13.282863977001	12.2866688245686	12.1237084814737	13.5831828701927	12.6449348501947	12.5228070153244	11.8058429213247	13.0134505382882	13.3242550398863	12.3814385553518	12.338761072097	11.1377078240803	10.8417841324335	12.767431863556	12.4876275147903	11.495753883383	11.1049072785626	12.5258438864104	12.4688890758828	11.3489168282048	11.7531786000155	CG12154	oc	protein_coding	457.034214674244	2.00418252866674	0.212499515671258	9.43146868987342	4.04386416983952e-21	0.0821497498419868	182.325650147939	731.742779200549	-2.00481906571804	11.5285044769484	14.0602318543405	11.8639956446881	12.3586881839908	0.245030411475282	-0.100320243108426	0.286415011723262	11.5151983157171	13.8281524047832	11.5002209691193	12.4209687503677	0.265946827370178	-0.1092384407039	0.264069151674155	0.0240119755278595	0.00166611547875187
FBgn0030055	X	8671963	8672511	 CG12772	 gene_symbol CG12772	44	21	73	67	4	24	14	30	25	22	74	72	188	64	64	64	74	124	383	220	491	619	429	349	48	226	102	33	80	50	101	74	81	90	109	46	340	587	412	428	392	394	376	282	1072	806	839	902	1487	272	804	773	634	1050	860	397	393	593	466	353	X	FlyBase	5UTR	8677063	8677206	.	+	.	10.712176245614	10.7691835230577	11.0426914731522	11.0688587175116	10.6815320804692	10.8985310788915	10.9242638796755	10.8369582321709	10.7094982044753	10.6547978168616	10.7380852201073	10.6646780231384	10.7957138751941	10.7902155772377	10.7445818425438	10.779522855178	10.6601623606252	10.6944329664504	10.9004969832362	10.6496559874553	10.7126907848195	10.7321007590834	10.8587016977623	10.632353858333	10.7862812710555	10.955965853867	10.8453286994142	10.8424094252403	10.6446544382978	10.493647717383	10.8779915016718	10.7408883219769	10.9539317792614	10.4709838387104	10.6620469181697	10.5382226828077	10.8104367884308	10.8097633879646	10.3741551116174	10.7094442450516	10.7306486345372	10.6063886509693	10.6509048963218	10.4368411332972	10.7835244175758	10.5262714638375	10.7686470631591	10.7525321486831	CG12772	CG12772	protein_coding	250.287592446233	2.27241301294874	0.246450036976108	9.22058296614919	2.95489285594081e-20	0.0956693191970051	85.8003059519713	414.774878940494	-2.27327382191359	11.0557750953319	10.7013816216229	10.6821480106685	10.7406798843359	0.00259529115187991	0.041714854063213	-0.0470031023220344	10.8806110559232	10.7620523488609	10.7929647262159	10.7900315796803	-0.00413798457509514	0.012060493489981	-0.0158063512327201	-0.00815615903418739	0.0230405920551267
FBgn0033062	2R	6095485	6096205	 Ars2	 gene_symbol Ars2	57	42	106	84	87	29	52	47	76	81	131	115	326	260	144	204	246	345	480	277	862	730	913	566	245	779	363	369	314	464	669	328	760	428	633	201	418	832	399	382	488	547	842	317	1695	1381	1916	1715	92	102	61	183	152	108	185	66	128	135	123	67	2R	FlyBase	5UTR	6085550	6085625	.	-	.	13.7011219654175	13.856060370377	13.6986711594857	13.9211375913901	13.6725687616081	13.6494600822212	14.0876309948357	13.9094398251569	13.2250964396569	13.1147639192439	12.865525524892	13.0942257079551	12.8792017219966	12.9119818423997	12.8200823341049	12.9435887699919	13.1875297119716	13.3324608746065	13.8341867657903	14.0341091975249	13.4067363148414	13.6424114063644	14.04335344086	13.8466960752916	13.5886423761788	13.5999282980132	13.7087442256175	14.032079476939	13.4250166102175	12.8895996150685	13.957196761514	13.3000925261024	12.4818561334622	11.6789190903957	12.2018509892614	12.7292442525949	13.8662471725176	13.7888508695438	13.6787693665303	13.1284399381804	13.400438738908	13.1618163094677	13.2238065346909	12.3973232284467	12.3002775251149	12.1725180988303	12.0335757355535	12.328515708768	CG7843	Ars2	protein_coding	391.2623370872	1.61066653991726	0.188411634960236	8.54865751925133	1.24528426172057e-17	0.192708024013612	193.050688391935	589.473985782464	-1.61044844795073	13.8099043754379	12.9798756164236	13.1699301794504	13.7785911678973	-0.0209711388063509	0.00327494687496115	-0.0894267715677462	13.9985354099963	12.8818355520484	12.8955917821981	13.6610144219147	-0.00153980043430998	0.0352112764087108	-0.1199377139162	0.0109383784645702	-0.0195725638838837
FBgn0004635	3L	1460757	1461261	 rho	 gene_symbol rho	40	43	55	101	229	22	53	103	107	138	120	105	341	246	308	4	264	313	1279	513	1448	1843	1251	790	81	450	243	71	126	117	1799	927	2003	774	739	196	460	643	700	465	558	437	1178	363	1785	1490	1333	1300	1271	632	829	968	1140	1654	829	288	467	586	965	714	3L	FlyBase	5UTR	1463811	1464130	.	+	.	12.1481146758943	12.1397848230878	11.3984265883906	11.0332704093805	12.4300860553629	12.4432073725581	11.5729456956336	11.4721138358884	11.7323953634355	11.6596798333166	12.8506166687018	13.0354667469785	11.6747919403559	11.6373990699493	12.9615272831425	13.1526963042624	11.9642963046475	12.1636763685314	12.8532935706193	12.70794867448	12.0859126779233	12.1985930990367	13.3521212707087	12.959986479842	12.2117582261416	12.5534569456152	12.6231572376724	13.3327507213401	12.2563971697635	12.0580779633677	12.9512084794777	12.0752820560628	12.0551202479986	11.4664345502737	12.4861793690796	13.0830775629154	12.471356834028	12.3930843163287	12.7606821091717	12.4165508332281	12.1634308589335	11.9797862840457	12.1881768361676	12.0249223364916	11.7832645157874	11.9585696870202	14.7639532748674	14.0961232410469	CG1004	rho	protein_coding	821.465561915478	1.574338589018	0.187535450423038	8.39488526284838	4.66349424116996e-17	0.2249953011215	412.913972393862	1230.01715143709	-1.57476528963157	11.2158484988855	12.9430417078402	11.6960375983761	12.143949749491	0.146156846746554	-0.114698959145136	0.206637933882309	11.522529765761	13.0571117937025	11.6560955051526	12.4366467139605	0.16375120759426	-0.110140050306225	0.180378316450555	-0.0126591101144924	-0.0389187275462464
FBgn0039588	3R	28561284	28562350	 mIF2	 gene_symbol mIF2	71	101	116	160	177	48	93	142	169	113	201	188	467	520	459	252	331	585	1772	667	1966	2015	1461	1025	121	679	209	160	180	176	238	198	215	217	298	77	841	1750	1195	789	1274	1082	2079	953	4337	3531	3342	3024	3311	1217	1862	2866	1294	2500	1729	902	1239	1471	1398	1092	3R	FlyBase	5UTR	28544726	28544817	.	-	.	10.0699076211208	10.0521074294926	10.0970915821287	9.85531232884791	10.0358590445898	10.17302338847	9.81939781434725	9.98103459444961	10.3913943528785	10.3314564711072	10.4619056275141	10.3141307030562	10.3927751918225	10.3629942735532	10.5547710982539	10.4675602413407	10.4241077494132	10.1871690165512	10.2890539555779	9.96395544506886	10.4259898883057	10.2038033328854	9.77228490002172	10.1104993713357	10.4012431722646	10.1995734601152	9.96022597197423	9.94978627085585	10.171771715544	10.498085254566	10.0048519338351	10.3685022654385	10.7606744398505	10.573460137261	10.5062282401064	10.0859636933856	10.0613493881621	10.064182101598	10.0955721033101	10.2777178097921	10.3452902610741	10.5209346625764	10.2397297642316	10.5931634445856	10.5203881983082	10.5959506470622	10.2393922079447	10.0050572397942	CG12413	CG12413	protein_coding	1047.95165646029	1.2664751558009	0.153822820499935	8.2333372362096	1.82068702826756e-16	0.276829650365296	615.349069249294	1480.55424367129	-1.26666040226878	9.97620195548831	10.3880181652851	10.3614254119929	10.0610075253067	0.00369795499921582	-0.0122122100580153	0.0583578658409278	9.90021620439843	10.5111656697973	10.3778847326878	10.1044412165299	0.0184102534722775	-0.0294576050341423	0.0863907337865032	-0.0170022285780485	0.0110306393675268
FBgn0040637	3L	20910321	20911195	 CG11458	 gene_symbol CG11458	49	105	112	93	26	16	37	58	53	81	150	150	241	196	188	237	223	220	529	320	918	1112	1036	1002	54	598	64	66	47	58	120	64	101	79	155	62	329	430	384	305	325	383	751	309	1745	1281	1587	1493	188	120	50	358	157	166	226	61	175	166	147	131	3L	FlyBase	5UTR	20905795	20905844	.	+	.	9.34830792577717	9.14761663303432	9.32310936024547	8.65618591955091	8.92229772887699	9.0410421507174	8.74862927033779	9.05471710040447	9.45949224577232	9.40201827422345	9.53581199031512	9.5118889996025	9.62292286494447	9.68169278245371	9.5425886302127	9.56795781971992	9.51791495757004	9.02552643180377	9.34711485825496	9.06330090798387	9.1243078375656	9.15302512803854	8.84701877200818	9.13024073943433	9.14908677630437	9.17825035970739	9.11196686717372	8.90891181972663	8.98309746718919	9.69023540195933	8.90683634434086	9.7505115873856	8.65618591955091	9.60683397628661	9.45458174468399	9.12060011434392	8.99542280370073	9.11923922241859	8.79019014044542	9.34807651359786	9.4199074171461	9.44201375141354	9.08094190006423	9.68936392410584	9.07394681514219	9.58071913427445	8.95578296763461	9.07623749647805	CG11458	CG11458	protein_coding	504.951674672454	1.58772858137482	0.195520295437551	8.12053080127401	4.64149154410408e-16	0.295738101085178	252.038398733916	757.864950610993	-1.58829723815249	8.98964763989819	9.52385049495881	9.43075525999788	9.24796227940574	0.014171659966623	-0.0408709447126339	0.0832804047418383	8.90167318537113	9.55527322496631	9.65230782369909	8.98166993979719	-0.0145767991278241	-0.012907171762058	0.102220591554844	-0.00475215302417869	0.0141880337888264
FBgn0036725	3L	17444518	17444861	 CG18265	 gene_symbol CG18265	23	50	59	66	55	49	38	56	45	43	78	89	287	129	143	130	220	328	398	194	853	671	624	362	161	345	257	203	279	308	140	107	198	149	187	50	825	1235	1015	680	1004	798	1342	488	2139	1805	2003	2197	4402	1048	1047	1560	519	1140	1638	1466	666	593	658	503	3L	FlyBase	5UTR	17446549	17446800	.	+	.	12.5009885882759	12.2751011953911	14.1122152388523	14.3661440755914	13.5476818886979	13.7704546106178	14.976985703584	14.7874646166783	12.5116101219368	12.3440645855615	13.7576505490421	13.976412641283	13.3780043940605	13.1868797447633	13.8819363904734	13.9936964799692	12.5166880129851	12.8126933167905	15.2599590024427	15.4805839895944	12.5964681287056	12.7201503939003	14.8578459421118	14.6697625360948	12.917667474071	13.3550680509666	15.7678569404906	16.2275783735072	12.878159982231	12.0701623928815	16.0425704076744	15.1220550076427	11.843888850997	12.1603519467674	15.2188773916749	15.7560807714037	13.446236571777	13.8058541629084	14.6009715743863	13.6835581581368	14.1038860287514	13.8608032458729	14.2404435311893	13.4007226531807	13.9840037371413	13.7596066531198	13.5131359695426	13.7288622423532	CG18265	CG18265	protein_coding	377.52582241397	1.55550875877978	0.193926581617918	8.02112194110917	1.04783641235166e-15	0.312107219647763	191.710058611436	563.341586216505	-1.55508394205372	14.2391796572219	13.8670315951626	12.4278373537491	12.3880448918335	0.158083728710599	0.200917516464942	-0.038207038150525	14.8822251601311	13.9378164352213	13.2824420694119	13.6590682496578	0.0694841388298808	0.123731177552112	-0.0945856919858605	-0.00734556493357588	-0.0637242187689115
