"FBgn"	"RefSeqID"	"Chr"	"Start"	"End"	"Score"	"Strand"	"IC_4_6_K4me3_1"	"IC_4_6_K4me3_2"	"IC_6_8_K4me3_1"	"IC_6_8_K4me3_2"	"IC_8_10_K4me3_1"	"IC_8_10_K4me3_2"	"VC_4_6_K4me3_1"	"VC_4_6_K4me3_2"	"VC_68_K4me3_1_1"	"VC_68_K4me3_2_1"	"VC_810_K4me3_1_1"	"VC_810_K4me3_2_1"	"IC_4_6_K27ac_1"	"IC_4_6_K27ac_3"	"IC_6_8_K27ac_1"	"IC_6_8_K27ac_3"	"IC_8_10_K27ac_1"	"IC_8_10_K27ac_2"	"VC_4_6_K27ac_1"	"VC_4_6_K27ac_2"	"VC_68_K27ac_1_1"	"VC_68_K27ac_2_1"	"VC_810_K27ac_1_1"	"VC_810_K27ac_2_1"	"IC_4_6_K79me3_1"	"IC_4_6_K79me3_2"	"IC_6_8_K79me3_1"	"IC_6_8_K79me3_2"	"IC_8_10_K79me3_1"	"IC_8_10_K79me3_2"	"VC_4_6_K79me3_1"	"VC_4_6_K79me3_2"	"VC_68_K79me3_1_1"	"VC_68_K79me3_2_1"	"VC_810_K79me3_1_1"	"VC_810_K79me3_2_1"	"IC_4_6_K4mono_1"	"IC_4_6_K4mono_2"	"IC_6_8_K4mono_1"	"IC_6_8_K4mono_2"	"IC_8_10_K4mono_1"	"IC_8_10_K4mono_2"	"VC_4_6_K4mono_1"	"VC_4_6_K4mono_2"	"VC_68_K4mono_1_1"	"VC_68_K4mono_2_1"	"VC_810_K4mono_1_1"	"VC_810_K4mono_2_1"	"IC_4_6_K27me3_1"	"IC_4_6_K27me3_2"	"IC_6_8_K27me3_2"	"IC_6_8_K27me3_3"	"IC_8_10_K27me3_1"	"IC_8_10_K27me3_2"	"VC_4_6_K27me3_1"	"VC_4_6_K27me3_2"	"VC_68_K27me3_1_1"	"VC_68_K27me3_2_1"	"VC_810_K27me3_1_1"	"VC_810_K27me3_2_1"	"All_RefSeq"	"Gene"	"4-6h_Ind-neg_1"	"4-6h_Ind-neg_2"	"4-6h_Ind-pos_1"	"4-6h_Ind-pos_2"	"6-8h_Ind-neg_1"	"6-8h_Ind-neg_2"	"6-8h_Ind-pos_1"	"6-8h_Ind-pos_2"	"4-6h_Vnd-neg_1"	"4-6h_Vnd-neg_2"	"4-6h_Vnd-pos_1"	"4-6h_Vnd-pos_2"	"6-8h_Vnd-neg_1"	"6-8h_Vnd-neg_2"	"6-8h_Vnd-pos_1"	"6-8h_Vnd-pos_2"	"4-6h_Pros-neg_1"	"4-6h_Pros-neg_2"	"4-6h_Pros-pos_1"	"4-6h_Pros-pos_2"	"6-8h_Pros-neg_1"	"6-8h_Pros-neg_2"	"6-8h_Pros-pos_1"	"6-8h_Pros-pos_2"	"6-8h_Elav-neg_1"	"6-8h_Elav-neg_2"	"6-8h_Elav-pos_1"	"6-8h_Elav-pos_2"	"8-10h_Elav-neg_1"	"8-10h_Elav-neg_2"	"8-10h_Elav-pos_1"	"8-10h_Elav-pos_2"	"18-22h_Elav-neg_1"	"18-22h_Elav-neg_2"	"18-22h_Elav-pos_1"	"18-22h_Elav-pos_2"	"6-8h_Repo-neg_1"	"6-8h_Repo-neg_2"	"6-8h_Repo-pos_1"	"6-8h_Repo-pos_2"	"8-10h_Repo-neg_1"	"8-10h_Repo-neg_2"	"8-10h_Repo-pos_1"	"8-10h_Repo-pos_2"	"18-22h_Repo-neg_1"	"18-22h_Repo-neg_2"	"18-22h_Repo-pos_1"	"18-22h_Repo-pos_2"	"CGID"	"Symbol"	"Biotype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Norm_avrg_A"	"Norm_avrg_B"	"log2FC_norm_count"	"IC_46_pos_mean"	"VC_46_pos_mean"	"VC_46_neg_mean"	"IC_46_neg_mean"	"VC_46_log2FC_over_neg"	"IC_46_log2FC_over_neg"	"Tissue_46_log2FC_VCvsIC_VST"	"IC_68_pos_mean"	"VC_68_pos_mean"	"VC_68_neg_mean"	"IC_68_neg_mean"	"VC_68_log2FC_over_neg"	"IC_68_log2FC_over_neg"	"Tissue_68_log2FC_VCvsIC_VST"	"Temp_VC_46vs68"	"Temp_IC_46vs68"
"FBgn0037619"	"NM_141566.2"	"3R"	8726853	8727053	500	"+"	85	65	33	145	290	561	398	267	232	305	1134	918	137	137	212	24	434	374	328	122	564	414	733	796	17	153	2	54	43	30	61	45	34	46	52	28	83	210	153	59	109	112	118	69	360	219	320	400	63	5	1	31	58	25	54	12	35	27	35	35	"''NM_141566.2''"	"''Dmel\CG8159 CG8159-RB CG8159 Dmel_CG8159''"	9.35364422586984	9.21698301844935	9.46658097688632	9.5522818599059	9.17853830263675	9.40359269366457	9.16449971600663	9.48628792605661	9.44702767486147	9.67739360519728	9.83755923960845	9.64150139518436	9.59316697011855	9.67887730743777	9.7033556394025	9.77131049662906	9.71487174863253	9.85153082204705	9.41733109705008	9.29491699641511	9.38709789603449	9.3577347974481	9.32243938050995	9.47148819851514	9.61360805933972	9.42877365660592	9.87349169377718	9.48255179823381	9.63536001490375	9.83554131486691	9.85421666119305	9.78893420633365	9.4436175872185	9.78207486765647	9.85001649155774	9.83164942505531	9.09030548880438	9.42348813895635	9.61930347643124	10.0321552181209	9.53256368436773	9.76826374534851	9.76975752450523	9.93279917139232	9.61395318683205	9.73029515847025	9.47586586076592	9.5780442651312	"CG8159"	"CG8159"	"protein_coding"	425.916530178478	1.19483075283554	0.245314512708207	4.87060769314026	1.11255542026028e-06	0.0048038527890474	258.509124179593	593.323936177362	-1.19860478399363	9.50943141839611	9.7395303173964	9.56221064002937	9.2853136221596	0.0265080146687631	0.0344084433314992	0.0344931179405626	9.32539382103162	9.73733306801578	9.63602213877816	9.29106549815066	0.0150889823670493	0.00532059898890645	0.0623620373827035	0.000325510400288382	0.0281944298424293
"FBgn0038149"	"NM_142030.4"	"3R"	13401662	13401862	500	"-"	27	38	89	37	238	539	205	171	107	119	695	466	186	191	318	3	646	490	326	125	444	413	760	699	71	323	21	67	56	137	85	46	45	67	76	26	190	314	253	221	405	170	266	115	558	398	600	653	57	90	79	69	81	34	83	29	50	51	58	39	"''NM_142030.4''"	"''GILT1 CG9796''"	11.9513902736053	11.9392606354573	12.3730187438909	12.4472921532736	11.4624122727812	11.4064965856024	12.1990583494771	11.9547309525572	11.8965185116226	11.8569930830459	12.151394241179	12.3681137293779	10.9776321977448	10.6646847705671	11.1191064977293	10.9579325431527	12.3973501486202	12.3834344854652	11.9313347490631	12.2585289212146	12.356816780162	12.1566328207543	12.2900614289344	11.8254874427168	11.5088531016084	12.0604094272116	10.7440895094557	11.6460849512881	13.2250579464441	12.8051635469853	11.4596973441096	10.3341627473574	12.4817528703172	11.3879840432493	11.2529616585539	11.5347480541304	11.4992365280647	11.2496398753818	13.6581130764371	13.4679742545281	11.2835900754104	10.8937994279991	12.7460055609427	12.5271677823253	11.466160814117	11.6933818389413	14.1794583732184	14.0613431257938	"CG9796"	"GILT1"	"protein_coding"	411.577256842899	1.10684747252437	0.233502863504557	4.74018800417312	2.13520003824055e-06	0.00657130912080714	260.789952507417	562.364561178381	-1.10861739448998	12.4101554485822	12.2597539852785	11.8767557973343	11.9453254545313	0.0457892192807371	0.0550750256043564	-0.0175911576952999	12.0768946510172	11.038519520441	10.8211584841559	11.4344544291918	0.0286917332164676	0.0788620078846063	-0.129702848429276	0.151383337260508	0.0392716465265316
"FBgn0040296"	"NM_080514.2"	"3L"	14974847	14975047	500	"+"	18	13	26	49	40	59	49	73	88	66	139	117	192	149	217	115	293	395	357	95	426	426	789	663	153	436	152	134	231	405	261	112	212	198	364	85	187	507	239	155	368	395	296	163	528	446	729	790	161	121	152	125	127	277	107	48	129	181	226	196	"''NM_080514.2,NM_001259830.1''"	"''Ocho CG5138 Dmel\CG3396 DmelCG3396 ocho Ocho-RB CG3396 Dmel_CG3396''"	12.0983763068769	12.3216062518505	13.1296734409067	13.4729044980119	12.6878383546966	12.6901134093836	13.2607488678909	13.3672182352122	11.8392231340666	11.6157640021506	12.196549750753	12.2407904456018	12.0170405875771	12.0043783010974	11.8722593538694	12.0466797550205	11.9698884526335	12.0888917551974	10.4762091770238	10.8723945380668	11.9769143137685	12.3252898672603	10.812228529795	10.4186131498054	12.4461962410904	12.0208795312388	10.7083208305492	10.1135493871354	11.9958859853631	11.9833877390551	9.87696686312188	9.69798981120206	10.7149934342002	10.2633657669712	9.53602374674254	9.47843881666186	12.8926548771348	12.7966025365405	11.3296951396753	11.3206943631468	12.6372085493436	12.1680968236262	11.0634145867051	10.542718303997	10.3864306203608	10.2506103304271	9.55351891001675	9.65919591690308	"CG3396"	"Ocho"	"protein_coding"	400.028006325716	1.18115463248584	0.257298103680092	4.59060760880855	4.41957526179959e-06	0.00934668620455255	242.436009198225	557.620003453207	-1.20167831652789	13.3012889694593	12.2186700981774	11.7274935681086	12.2099912793637	0.0591925586084271	0.123503887815004	-0.122478789534212	13.3139835515515	11.959469554445	12.0107094443372	12.6889758820401	-0.00616796792769693	0.0693666560097245	-0.154788888792984	0.0309338659697822	-0.00137623328898937
"FBgn0265413"	"NM_001298105.1"	"X"	9078299	9078499	500	"-"	1	17	13	44	42	92	72	63	86	81	179	148	151	129	65	139	182	176	147	56	318	264	359	321	29	137	7	26	31	49	54	30	45	37	42	9	92	162	108	93	131	104	120	56	237	202	290	290	42	1	3	36	1	6	48	11	34	43	23	10	"''NM_001298105.1''"	"''Dmel\CG44325 CG15366 CG7267 CG44325 Dmel_CG44325''"	10.5854757976474	10.1887740892931	10.7857325722002	10.7767028460473	10.6006625418406	10.6253197845202	10.7749667064813	10.8570994554147	10.9854344665214	11.1081783890113	11.5028976882991	11.2490427145483	11.2982582328869	11.1282555535619	11.6067595895039	11.4849217083702	11.2683353182856	10.9297968495475	10.9992051609968	10.8639346038777	11.0769296492046	11.1681914481843	10.8124157907023	11.1543968175382	10.6389607080122	10.9440083996183	10.7349426376575	10.712196607512	11.1671177479273	11.1004354901449	10.8718925194441	10.9252566419703	12.2458771201709	11.712411154948	11.8537988401688	11.5087618522087	10.574158108419	10.5698134432063	11.4951477109937	11.6804494350411	10.9148082137923	11.0812118487668	11.5598119799327	12.0114038949897	11.7255844864003	11.4996190187619	12.8185035522197	12.0532889359969	"CG44325"	"CG44325"	"protein_coding"	189.511104625557	1.15596234024463	0.268859167362406	4.29950874126773	1.7117712461988e-05	0.0238959214528519	117.219401600644	261.80280765047	-1.15926919167306	10.7812177091237	11.3759702014237	11.0468064277664	10.3871249434702	0.0423602365067795	0.05372375041144	0.0774694552719899	10.816033080948	11.545840648937	11.2132568932244	10.6129911631804	0.0421678489586118	0.0273401468097247	0.0942017498602343	-0.0213836280634053	-0.00465133347516076
"FBgn0038548"	"NM_142401.3"	"3R"	17803060	17803260	500	"-"	60	92	123	125	322	667	467	440	435	543	1002	812	284	211	411	32	386	409	371	137	683	603	796	688	30	247	95	72	21	37	83	46	74	71	79	30	219	351	275	169	226	148	256	110	503	345	401	423	39	30	70	92	59	32	57	10	37	32	46	13	"''NM_142401.3''"	"''Dmel\CG17806 CG17806 Dmel_CG17806''"	9.94975899354326	9.94746269250995	10.0047350279093	9.87151076240063	9.95167389912679	10.1219967099883	10.0403273011088	10.2263623987758	9.80667693769342	9.98976985010614	9.99567508035245	10.0406656108958	9.91357037083777	9.96424304875598	10.0730362159914	10.0562324615327	9.82766431134959	9.85943238756528	9.92057834646748	10.1974809006517	9.8527377070565	9.88480879699793	10.0433024045861	10.1110913895562	9.68769565646808	10.1249730206662	9.81734733694764	9.98226853654706	9.9132311616126	9.95036163349049	9.93150206633156	10.1289703797253	9.78369552368693	9.98318915898082	10.1778027507146	10.0437052493682	9.95039456465392	9.86829518178784	9.7689279290647	9.79710293377103	10.0012213628045	10.1903977962447	9.84555162744867	10.0434720895735	9.87337782565363	9.87385292523583	9.78739376704822	9.84742535287406	"CG17806"	"CG17806"	"protein_coding"	430.967717894932	0.965932825143555	0.2304886272217	4.19080471252256	2.77966833942213e-05	0.031144524855157	291.375085669564	570.5603501203	-0.969501969842632	9.93812289515497	10.0181703456241	9.89822339389978	9.9486108430266	0.0173775400219044	-0.0015217090936629	0.0115737604965149	10.1333448499423	10.0646343387621	9.93890670979687	10.0368353045575	0.0181356905722402	0.0138060150193289	-0.00981570435374889	-0.00667571020484123	-0.0280651750551051
"FBgn0028527"	"NM_165048.2"	"2L"	13665524	13665724	500	"+"	15	78	43	40	124	226	174	70	89	77	336	248	170	115	233	37	219	315	250	101	449	346	542	519	35	267	49	83	55	94	68	49	66	65	82	41	269	428	258	307	401	253	457	186	744	609	638	685	84	14	32	38	57	28	99	51	44	58	42	62	"''NM_165048.2''"	"''BG:DS01368.1 bg:ds01368 Dmel\CG18507 DS01368.1 CG18507 Dmel_CG18507''"	10.0947591505253	9.98310764264174	10.9023167084632	11.2044351020833	10.640851357374	10.4262372189159	11.1301395947055	10.9771359874833	11.0503206853545	11.0183632680102	11.3910699380461	11.4740705654751	10.8654807057867	10.6288260026743	10.9227192375555	10.8249316268997	11.4181807795389	11.637071902076	11.326332076218	11.8403608221648	11.3658852929232	11.3428426146438	11.6905014090544	11.2037097316562	10.6150783766425	11.2432826932456	10.3653034447402	11.076221531992	12.1648217535014	11.8744474385981	11.0633295163523	10.709745907718	11.6601639503728	11.4947015565691	10.75119306153	10.824001864052	10.7562208490447	10.4540899701709	10.1467078984186	10.2919079444194	10.8110648908772	10.8777823695492	10.3185447252728	10.7043468177606	11.0040175921577	11.429782416248	10.1490575664119	10.5001253513919	"CG18507"	"CG18507"	"protein_coding"	307.457843181476	0.99807080318933	0.245424609499339	4.06671036464262	4.76814436338173e-05	0.048544846755105	205.288846143724	409.626840219228	-0.996655004639427	11.0533759052732	11.4325702517606	11.0343419766823	10.0389333965835	0.0511491860307972	0.138881066783033	0.0486627217133158	11.0536377910944	10.8738254322276	10.7471533542305	10.5335442881449	0.0169049950560833	0.0695302930187136	-0.0236616712863408	0.0722902118677626	-3.41811318940793e-05
"FBgn0030305"	"NM_132494.3"	"X"	11483517	11483717	500	"+"	109	32	58	135	433	700	581	517	525	576	1469	1204	343	329	394	92	306	490	522	196	807	755	1098	896	77	361	121	90	28	213	145	75	93	91	125	46	157	232	191	65	124	111	205	76	350	272	281	345	70	2	26	82	2	22	35	4	41	6	46	17	"''NM_132494.3''"	"''Uba5 CG1749''"	10.1040521914974	10.016157527525	9.98718022969618	9.97490619377781	9.9510850912702	10.0253450612108	9.942698680408	9.7577380424578	10.2164481290552	10.1344184108947	10.292950526771	10.1845820693638	10.1629660263467	10.0502420285145	10.0741061545867	10.0484461300446	10.3421205170953	10.2381559028448	9.91098143565674	9.87829920516601	10.2692793153793	10.1981431827753	9.83190147876266	9.68793130992999	10.1510652850062	10.2365686584213	9.90256881529781	9.95232911985531	10.7735355191807	10.6229438441045	9.97286456567603	9.9617378773104	10.6941117723389	10.3658029021491	9.85014723387274	9.83118586689652	9.73732874472564	9.82810268217819	10.5831000955797	10.3610084332432	10.0672595822645	10.0338658538415	10.4010092925886	10.2781757756252	10.3181478901305	10.3835524171268	10.1464182114225	10.2480142242734	"CG1749"	"CG1749"	"protein_coding"	589.082235902582	0.886092868576011	0.221597752087258	3.99865459026451	6.37035672740724e-05	0.0523934261930201	413.304955581147	764.859516224016	-0.887988126592069	9.981043211737	10.2387662980674	10.1754332699749	10.0601048595112	0.00895166507934588	-0.0113828248236049	0.0367793727929953	9.8502183614329	10.0612761423156	10.1066040274306	9.9882150762405	-0.00648500731161223	-0.0200711803039959	0.0305856919312741	0.0252285869437319	0.0190349060820108
NA	"NM_132494.3"	"X"	11483517	11483717	500	"+"	109	32	58	135	433	700	581	517	525	576	1469	1204	343	329	394	92	306	490	522	196	807	755	1098	896	77	361	121	90	28	213	145	75	93	91	125	46	157	232	191	65	124	111	205	76	350	272	281	345	70	2	26	82	2	22	35	4	41	6	46	17	"''NM_132494.3''"	"''CG1749-RA''"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	589.082235902582	0.886092868576011	0.221597752087258	3.99865459026451	6.37035672740724e-05	0.0523934261930201	413.304955581147	764.859516224016	-0.887988126592069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0033781"	"NM_001169660.1"	"2R"	12923903	12924103	500	"+"	23	44	44	44	39	194	123	99	85	66	242	157	202	212	218	117	182	448	386	134	521	483	773	691	39	241	55	48	108	37	83	26	60	53	61	15	181	290	174	109	172	192	178	85	340	259	423	455	12	46	96	83	21	17	43	19	37	46	39	30	"''NM_001169660.1,NM_136981.3''"	"''CG13319 Dmel_CG13319''"	9.85818615486081	10.0369457986115	9.55743180835444	9.44768948544394	9.36225377447597	9.44209417818149	9.26516154006494	9.29530706989646	9.87064995267473	9.92820581321769	9.8443343565615	9.52217159614333	9.58254127681132	9.55799767676879	9.51283209632307	9.5869604670361	9.76474129320548	9.78002484540135	9.44221688657822	9.56332718971563	9.65164868214711	9.53542569497336	9.1546890770015	9.35067737294623	9.44326443088985	9.54702659599839	9.04905297405995	9.16209840112715	9.78969607446651	9.81936637961476	9.19959941255718	9.65631962692716	9.9291765132734	9.82891493865191	9.56952697420427	9.54462591452302	9.64374293395153	9.44248420673741	9.5083201340463	9.4986998912876	9.41231661705139	9.39881261343824	9.48643846243459	9.66142496928417	9.76186615302415	9.72912614730153	9.65626677623768	9.52159659879743	"CG13319"	"CG13319"	"protein_coding"	428.999311114923	0.930281595899338	0.23317643051762	3.98960389707587	6.61837248701388e-05	0.0531184640490364	294.358477305157	563.640144924689	-0.937200193586384	9.50256064689919	9.68325297635242	9.89942788294621	9.94756597673615	-0.031853364446283	-0.0660272349210043	0.0271754579327053	9.2802343049807	9.54989628167958	9.57026947679006	9.40217397632873	-0.00307448366796515	-0.0188331455698852	0.0413238339835661	0.0200067209740719	0.0341550970249327
NA	"NR_133153.1"	"3L"	1649499	1649699	500	"-"	36	63	82	139	731	880	630	410	376	384	1240	859	239	192	262	126	500	427	446	139	549	502	839	798	137	732	164	187	215	426	142	151	298	260	361	90	118	268	167	129	189	139	190	95	363	305	360	397	53	14	44	55	89	33	63	30	52	44	45	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	477.819986088465	0.953210875946668	0.239458473072626	3.9806938702794	6.87143961299666e-05	0.0538446547056665	323.806057673304	631.833914503626	-0.964415402258977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
