FBgn	RefSeqID	Chr	Start	End	Score	Strand	IC_4_6_K4me3_1	IC_4_6_K4me3_2	IC_6_8_K4me3_1	IC_6_8_K4me3_2	IC_8_10_K4me3_1	IC_8_10_K4me3_2	VC_4_6_K4me3_1	VC_4_6_K4me3_2	VC_68_K4me3_1_1	VC_68_K4me3_2_1	VC_810_K4me3_1_1	VC_810_K4me3_2_1	IC_4_6_K27ac_1	IC_4_6_K27ac_3	IC_6_8_K27ac_1	IC_6_8_K27ac_3	IC_8_10_K27ac_1	IC_8_10_K27ac_2	VC_4_6_K27ac_1	VC_4_6_K27ac_2	VC_68_K27ac_1_1	VC_68_K27ac_2_1	VC_810_K27ac_1_1	VC_810_K27ac_2_1	IC_4_6_K79me3_1	IC_4_6_K79me3_2	IC_6_8_K79me3_1	IC_6_8_K79me3_2	IC_8_10_K79me3_1	IC_8_10_K79me3_2	VC_4_6_K79me3_1	VC_4_6_K79me3_2	VC_68_K79me3_1_1	VC_68_K79me3_2_1	VC_810_K79me3_1_1	VC_810_K79me3_2_1	IC_4_6_K4mono_1	IC_4_6_K4mono_2	IC_6_8_K4mono_1	IC_6_8_K4mono_2	IC_8_10_K4mono_1	IC_8_10_K4mono_2	VC_4_6_K4mono_1	VC_4_6_K4mono_2	VC_68_K4mono_1_1	VC_68_K4mono_2_1	VC_810_K4mono_1_1	VC_810_K4mono_2_1	IC_4_6_K27me3_1	IC_4_6_K27me3_2	IC_6_8_K27me3_2	IC_6_8_K27me3_3	IC_8_10_K27me3_1	IC_8_10_K27me3_2	VC_4_6_K27me3_1	VC_4_6_K27me3_2	VC_68_K27me3_1_1	VC_68_K27me3_2_1	VC_810_K27me3_1_1	VC_810_K27me3_2_1	All_RefSeq	Gene	4-6h_Ind-neg_1	4-6h_Ind-neg_2	4-6h_Ind-pos_1	4-6h_Ind-pos_2	6-8h_Ind-neg_1	6-8h_Ind-neg_2	6-8h_Ind-pos_1	6-8h_Ind-pos_2	4-6h_Vnd-neg_1	4-6h_Vnd-neg_2	4-6h_Vnd-pos_1	4-6h_Vnd-pos_2	6-8h_Vnd-neg_1	6-8h_Vnd-neg_2	6-8h_Vnd-pos_1	6-8h_Vnd-pos_2	4-6h_Pros-neg_1	4-6h_Pros-neg_2	4-6h_Pros-pos_1	4-6h_Pros-pos_2	6-8h_Pros-neg_1	6-8h_Pros-neg_2	6-8h_Pros-pos_1	6-8h_Pros-pos_2	6-8h_Elav-neg_1	6-8h_Elav-neg_2	6-8h_Elav-pos_1	6-8h_Elav-pos_2	8-10h_Elav-neg_1	8-10h_Elav-neg_2	8-10h_Elav-pos_1	8-10h_Elav-pos_2	18-22h_Elav-neg_1	18-22h_Elav-neg_2	18-22h_Elav-pos_1	18-22h_Elav-pos_2	6-8h_Repo-neg_1	6-8h_Repo-neg_2	6-8h_Repo-pos_1	6-8h_Repo-pos_2	8-10h_Repo-neg_1	8-10h_Repo-neg_2	8-10h_Repo-pos_1	8-10h_Repo-pos_2	18-22h_Repo-neg_1	18-22h_Repo-neg_2	18-22h_Repo-pos_1	18-22h_Repo-pos_2	CGID	Symbol	Biotype	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Norm_avrg_A	Norm_avrg_B	log2FC_norm_count	IC_46_pos_mean	VC_46_pos_mean	VC_46_neg_mean	IC_46_neg_mean	VC_46_log2FC_over_neg	IC_46_log2FC_over_neg	Tissue_46_log2FC_VCvsIC_VST	IC_68_pos_mean	VC_68_pos_mean	VC_68_neg_mean	IC_68_neg_mean	VC_68_log2FC_over_neg	IC_68_log2FC_over_neg	Tissue_68_log2FC_VCvsIC_VST	Temp_VC_46vs68	Temp_IC_46vs68
FBgn0004102	NM_001272418.1	X	8650288	8650488	500	-	19	33	26	46	90	225	1625	1411	1500	1638	1427	1317	58	46	124	63	52	47	287	131	269	419	319	302	58	338	81	67	46	162	989	522	1511	743	659	204	161	346	236	267	229	220	152	144	282	190	204	300	1171	231	212	527	233	566	709	243	237	241	272	224	'NM_001272418.1'	'oc Dmel\CG12154 l(1)7Ff l(1)8Ac Oc ort Otd otd Otx uvi CG12154 Dmel_CG12154'	12.3668886537385	12.3504877142431	11.6358822591098	11.421126694787	12.4360272226153	12.4059102781201	11.5979054361194	11.4324911953147	11.9086403742113	11.8193509151649	13.9155983840965	14.2048653245844	11.5734810144627	11.4269609237758	13.7360430375807	13.9202617719858	12.2950115002832	12.2523574678827	13.9622563885593	13.9326137017335	12.0719842265365	12.1199790335787	14.0128407203946	13.8762029143896	12.0247772326999	12.2619388776971	13.2091602447178	13.282863977001	12.2866688245686	12.1237084814737	13.5831828701927	12.6449348501947	12.5228070153244	11.8058429213247	13.0134505382882	13.3242550398863	12.3814385553518	12.338761072097	11.1377078240803	10.8417841324335	12.767431863556	12.4876275147903	11.495753883383	11.1049072785626	12.5258438864104	12.4688890758828	11.3489168282048	11.7531786000155	CG12154	oc	protein_coding	459.746050623393	3.73459735154748	0.277844870999366	13.4413039121964	3.46280607854511e-41	2.52520226950992e-13	63.5854628304534	855.906638416332	-3.75068456377666	11.5285044769484	14.0602318543405	11.8639956446881	12.3586881839908	0.245030411475282	-0.100320243108426	0.286415011723262	11.5151983157171	13.8281524047832	11.5002209691193	12.4209687503677	0.265946827370178	-0.1092384407039	0.264069151674155	0.0240119755278595	0.00166611547875187
FBgn0020307	NM_057894.4	2R	22243962	22244162	500	+	40	4	33	33	93	119	903	688	1023	1193	1525	1185	122	152	81	61	107	132	286	123	537	465	564	327	49	221	141	83	29	187	567	365	1095	751	951	274	715	1034	748	558	782	640	532	238	732	579	776	938	734	425	397	449	475	835	414	122	224	337	356	261	'NM_057894.4'	'dve CG5799 Dmel_CG5799'	11.2525979147354	11.2810697006182	10.96024641711	11.0108431755691	11.8363573728404	11.6738417239546	11.4101293603188	11.0952865922363	11.2521097068212	11.2874015909222	13.0408318233639	13.3018225062552	11.2759928039702	11.3576980505219	13.0442648340359	13.0683513926258	11.4301656254744	11.5715049789332	12.1023212730367	12.4026869777242	11.3838248355152	11.356643069587	12.3686169106027	12.0400040834446	11.4898530997785	11.9905489821617	12.263192853544	12.7237402824328	12.3540412073977	12.1142926399037	12.4784469252027	12.3419579830832	12.087002552181	11.6922990995024	12.8365331351669	13.1751125108234	11.6850927992621	11.568082039611	13.037530143434	13.0713393166512	11.7300995809439	11.7545230598503	12.3020375704698	12.0181627896224	12.2985572575246	12.0669017398361	13.1007405109	13.4537964777869	CG5799	dve	protein_coding	332.049405527974	3.32862226388087	0.310282392940918	10.7277188123101	7.54354017533407e-27	2.52520226950992e-13	60.6735135829675	603.42529747298	-3.31403641514211	10.9855447963395	13.1713271648096	11.2697556488717	11.2668338076768	0.224944485969372	-0.0364757301841444	0.261794303442447	11.2527079762776	13.0563081133309	11.3168454272461	11.7550995483975	0.206275146009473	-0.0630145272092981	0.214474779371853	0.0126537125585525	-0.0346658115120415
FBgn0036488	NM_140500.3	3L	15161816	15162016	500	+	126	166	83	84	948	458	2675	1948	1559	1630	1940	1698	434	253	285	25	288	264	650	207	807	804	831	723	95	350	222	163	157	95	209	141	257	227	180	69	235	304	210	164	249	210	253	112	465	297	443	473	35	41	12	22	10	25	69	19	50	23	49	34	'NM_140500.3'	'Dmel\CG6878 Romo1 CG6878 Dmel_CG6878'	9.84344842117878	9.9389012758561	9.67758804502811	9.87746724301684	10.2746877720691	10.1048849823293	9.99046660752593	9.9641687060007	10.0347318635393	10.0304913994692	9.76423677010421	9.84178731993896	9.9450937214579	9.92558302442572	9.64409339917082	9.70444116280505	10.1449832561191	10.1618859284551	10.0395390168848	9.9681611903725	10.1387050140471	10.2254324186675	9.75647646970147	9.64997314623874	10.0897319046339	10.1703702296528	9.90706915618901	9.82206021492014	10.192501315196	10.3459199850861	10.0020591911601	9.76019547961073	10.7994685810704	10.3343062452068	9.90763952890126	9.97809860547756	10.145777806782	10.0834774156066	10.0174137621172	9.96645213177398	10.1845515525909	10.3113984031327	10.1318552167355	10.1933245891436	10.3302559881233	10.4090430837193	10.5401593003148	10.3204757851784	CG6878	CG6878	protein_coding	512.082288247571	2.51513249244562	0.238933884842531	10.5264788797253	6.52289796924805e-26	2.52520226950992e-13	153.392184042385	870.772392452757	-2.50507069457269	9.77752764402247	9.80301204502159	10.0326116315042	9.89117484851744	-0.033400208134019	-0.0166721809004413	0.00375538573352334	9.97731765676332	9.67426728098794	9.93533837294181	10.1897863771992	-0.0384167057581324	-0.0303998938620464	-0.0444996104416122	0.0190726984695174	-0.0291822977056179
FBgn0039749	NM_143517.2	3R	30160273	30160473	500	-	19	46	23	34	4	25	527	912	696	975	208	181	136	100	139	7	203	134	425	151	473	625	391	288	31	179	62	59	71	54	943	532	1207	581	319	86	190	274	176	134	132	185	321	126	476	289	530	587	125	55	52	61	64	48	101	57	74	58	45	35	'NM_143517.2'	'Dmel\CG11498 CG11498-RA CG11498 Dmel_CG11498'	10.0227951776882	10.0874458048804	9.74181054724453	9.90962231554911	10.0076528766606	9.95414705425114	9.60776521130851	9.72719974913835	10.0685216957147	10.0704981226719	10.7900180034853	10.7809460195793	10.1763871368395	10.2299474916188	11.1603808485147	11.2206271046262	10.1754462303366	10.118708421486	10.0279101101505	10.1153346894383	10.0033294753328	9.87064064134566	10.5565376380511	10.5087664157476	10.0835699230849	10.0647487853694	9.75408212035794	9.80827994719594	10.1394947860363	10.1519477794785	9.79105378131956	10.2353663876706	10.3799343660542	10.340862288299	9.99186272273307	9.9452943989706	9.99558275940655	9.91947227589654	9.65589945212034	9.84508087678517	9.77740784454898	10.0871065995431	9.71397148859852	10.2682466569349	10.0494786598918	10.2153069719783	9.58322685616805	9.5369120126662	CG11498	CG11498	protein_coding	251.953496847403	3.14688541667317	0.3522049745285	8.93481252184452	4.07869203695398e-19	2.32924657339595e-10	50.9677490468044	452.939244648001	-3.15166100205022	9.82571643139682	10.7854820115323	10.0695099091933	10.0551204912843	0.0990971851222098	-0.0332958608183364	0.134456144241805	9.66748248022343	11.1905039765705	10.2031673142291	9.98089996545587	0.13325794135713	-0.0460296626584725	0.211062861207814	-0.053184358028256	0.0234223589377529
FBgn0003118	NM_001275943.1	3R	23295038	23295238	500	-	118	153	58	104	127	235	1483	2012	1226	1352	614	643	192	155	164	66	64	120	309	145	348	441	280	166	295	655	177	209	178	378	1870	772	1370	953	540	169	268	472	359	370	406	261	365	155	684	476	560	572	1478	156	508	555	258	694	530	197	270	266	383	299	'NM_001275943.1,NM_170070.2,NM_170651.4,NM_079737.3'	'pnt DMPOINT1A ETS2 Ets58AB pointed CG17077'	14.1069439225483	13.9531647502055	12.9599044558108	12.843265831579	14.8051832956226	14.8618917358947	13.6664498472362	13.5295741089851	13.7188571602196	13.5542106162828	13.2338961425671	13.3702600389113	14.1854782564071	14.1864334692408	13.4040958789161	13.5013755915405	13.7123302502837	14.0661260955806	13.706820193546	13.8330082208177	14.3934535658584	14.5974773745049	14.2067286356429	13.7839180838178	14.594847552011	14.6621865668792	12.6627412168497	13.1762425013473	14.3387833759531	13.7768948226034	12.6370280609423	11.9107009205169	15.2060483426166	13.5475913935712	12.2217046697709	12.2308860247429	14.8353864862614	14.9373118694912	15.4988191514655	14.7911071325035	14.4724863332338	14.2573970646803	14.9897328171803	14.3370011411749	14.3183784882514	13.5944497556653	14.6375224357664	14.2962775841418	CG17077	pnt	protein_coding	422.963242376053	2.28793872907489	0.257425473882932	8.88777126274367	6.23468664149505e-19	2.8190439881438e-10	142.93710013279	702.989384619316	-2.2981224795762	12.9015851436949	13.3020780907392	13.6365338882512	14.0300543363769	-0.0358253436044519	-0.120972264123085	0.0441033133062516	13.5980119781106	13.4527357352283	14.1859558628239	14.8335375157586	-0.0765637763387222	-0.125466948404185	-0.015496157994408	-0.0162479421730695	-0.075847413473729
FBgn0003984	NM_001014565.2	3L	5845464	5845664	500	-	70	62	30	48	87	150	729	1025	714	921	603	470	136	138	162	65	106	125	239	103	279	325	262	178	122	227	45	55	20	84	601	344	665	403	313	85	125	314	212	180	251	245	147	124	299	246	337	434	193	110	103	182	201	284	141	44	85	101	110	85	'NM_001014565.2'	'vn CT29452 ddd Dm vn Dmel\CG10491 l(3)10567 l(3)10568 l(3)ddd l(3)L6A l(3)rF264 l(3)vn10567 P1749 Vein Vn wvn CG10491 Dmel_CG10491'	13.3033790187469	13.237619737628	11.7835531466291	11.3054992226932	13.0581692718921	13.0508944280355	11.7614567384981	11.5247107995039	12.6873446983367	12.6491846202401	12.6762916612196	12.9349615701897	12.3578856288704	12.2369750141235	12.8133743807564	13.0230577113737	12.6721357566911	13.0185154044529	12.9597575902558	13.1126334584131	12.7863721684519	12.7123122656805	13.4929615176241	13.1642437495066	12.6557526586039	13.2123819838198	11.4541155133518	12.0440844307224	13.2858936335738	12.8558398074278	11.8101403386692	11.0426356487333	12.7002147014209	12.1742237943911	11.5366447147449	11.700250152002	12.9554862004144	13.0730470045855	12.3293727326728	12.3513924234828	12.9033621435413	12.73782507178	12.0828580520778	11.7759369993484	12.2809717933165	12.3164406304086	12.2606266295006	12.5932041601696	CG10491	vn	protein_coding	256.72654420954	2.67124432720763	0.331214617531599	8.06499528044768	7.32386961582717e-16	3.04374413821288e-08	69.3616192640016	444.091469155079	-2.67864737375907	11.5445261846611	12.8056266157047	12.6682646592884	13.2704993781875	0.0155589369471748	-0.20101369872911	0.149568887205741	11.643083769001	12.918216046065	12.297430321497	13.0545318499638	0.0710499727496647	-0.165077503113906	0.149933634560579	-0.0126290035445859	-0.0122642561897477
NA	NR_133117.1	2R	13337135	13337335	500	-	47	47	55	43	159	180	717	670	852	1091	737	578	152	146	207	49	70	174	493	152	537	654	479	455	61	338	169	35	145	198	541	351	893	554	334	106	232	513	392	227	365	340	292	155	551	472	598	761	53	23	46	72	55	36	87	27	71	51	41	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	309.749413854084	2.54442603379441	0.319780638080559	7.95678577998651	1.7656602321352e-15	5.03173247195272e-08	91.6532695428645	527.845558165303	-2.52585762255234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NM_078536.4	X	8650481	8650681	500	-	33	38	25	48	97	120	691	599	722	793	683	639	83	58	100	99	54	45	163	76	174	217	192	179	33	182	65	60	11	73	365	211	563	326	303	84	262	483	463	376	411	306	243	143	325	261	252	363	749	229	256	300	174	332	387	125	139	220	193	156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	238.639178966848	2.6732119895357	0.345127117911302	7.74558662823683	9.51415612418633e-15	1.37554568831651e-07	64.1141847836111	413.164173150086	-2.6879996759528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0262547	NM_001259400.2	2R	15013322	15013522	500	-	19	19	42	30	74	59	399	505	649	862	550	287	128	103	142	97	45	129	256	126	335	484	315	379	100	436	146	61	228	388	1222	620	1697	738	550	145	60	123	92	82	88	116	102	90	239	160	217	260	175	60	34	123	220	114	142	83	108	138	156	92	'NM_001259400.2'	'CG43101-RA CG43101 Dmel_CG43101'	9.69230362508783	9.46082163511254	9.26807856455156	9.38723085926426	10.0269073287849	9.95284884869042	9.52197179101888	9.36766240789855	9.63044353557917	9.68236103591167	9.88232634839824	9.87296324044489	9.80226324493494	9.67301897380212	9.97887722539358	10.0065834614104	9.75535935624216	9.85787820858497	9.61481615710478	9.65520818787438	9.86572487760185	9.94745896330317	9.84928037780305	9.6903384971349	9.98155032180621	10.2790242555654	9.2052699975575	9.55561488875009	10.3845504917951	9.85366313756423	9.61842613752057	9.1830115630374	9.78892229919058	9.56672735004073	9.76450559012563	9.79870217055658	9.90593472625022	10.03563693555	10.2810201342691	10.1613535157394	9.92877235687678	9.75684734999778	10.2758665601177	9.99749839379407	9.58830351861833	9.39644026106971	10.1561493569623	10.3756596536969	CG43101	CG43101	protein_coding	238.931687302627	2.61989987274872	0.365900175207994	7.16014927093013	8.05892599427818e-13	2.38618797664279e-06	67.7515823738167	410.111792231437	-2.59769068020832	9.32765471190791	9.87764479442157	9.65640228574542	9.57656263010018	0.0326813095120907	-0.0379935298559411	0.0826527052258347	9.44481709945871	9.99273034340199	9.73764110936853	9.98987808873766	0.0373065941340757	-0.0809442133858209	0.0813560648917445	-0.0167118341968326	-0.0180084745309229
FBgn0010611	NM_079972.4	2R	16336089	16336289	500	+	557	393	237	325	1047	1515	2138	2610	2101	2208	2271	1761	539	393	486	76	324	424	874	291	785	1118	702	878	105	456	127	86	37	331	275	177	274	327	186	61	100	197	190	144	172	137	173	103	324	286	289	351	18	68	1	19	35	11	58	17	38	31	50	27	'NM_079972.4,NM_001299559.1,NM_166166.3,NM_166167.3,NM_166168.3,NM_166169.3'	'Hmgs CG4311 Dmel_CG4311'	10.974612630132	11.1047600855849	11.1824158649181	11.756511466175	11.1230240672357	10.8636175441653	10.9799576578795	10.9111074317672	11.1056387212701	10.9764531330824	11.1454114823775	11.1661254785904	10.8964377620456	10.8879344848516	10.7245905156178	10.7552132001954	11.3239677600758	11.644978521747	10.9023069094921	10.8477048859295	11.4181782401677	11.4757127270315	11.2492092307038	10.8578462782786	10.9548384821434	11.1553807393195	10.7669954972526	10.5684796403902	11.4364197859665	11.1834350907176	10.8883398969992	10.6111049793132	12.8576299016668	12.0485934487457	10.897329088052	11.4898509819008	11.0053309905509	11.0336714138622	11.6073384457639	11.452455424375	10.9983028225104	10.9992126540457	11.274682227269	11.0505735885939	11.8614455028979	12.0208830234124	12.0407775210294	11.939817462149	CG4311	Hmgs	protein_coding	840.814344418946	1.21875208354179	0.172107734151493	7.08133245464158	1.42774916321626e-12	2.77326693775105e-06	505.187332371323	1176.44135646657	-1.21953903759039	11.4694636655466	11.1557684804839	11.0410459271762	11.0396863578585	0.0149130527877225	0.0550987445775843	-0.0400080306607205	10.9455325448234	10.7399018579066	10.8921861234486	10.9933208057005	-0.0203127302633685	-0.00628510477915692	-0.0273613393080162	0.0548090891217287	0.0674557804744332
