chr	start	end	name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr2L	5447	6142	chr2L.5911	1404.51830371481	-0.567466048421563	0.100585352080886	-5.64163704438031	1.68440889983376e-08	6.24046835422582e-08
chr2L	6535	6930	chr2L.6669	689.585999084952	-0.742020786989656	0.123365208673309	-6.01483023430573	1.80075314937551e-09	7.81617227202059e-09
chr2L	7394	8677	chr2L.7919	2837.01712241472	-0.371007647061447	0.0880727716192307	-4.21251245124251	2.52545788773559e-05	5.71325361818547e-05
chr2L	11953	12235	chr2L.12145	400.590530627341	-0.621102324575562	0.149107065834737	-4.16547881952127	3.10699769649973e-05	6.93756668595535e-05
chr2L	12347	12566	chr2L.12468	369.123413763251	-0.487860270166098	0.147373132850299	-3.31037456238149	0.000931712018088426	0.00165061536953422
chr2L	13477	15749	chr2L.14805	2846.92958249715	-0.515695011947631	0.0878069355836003	-5.87305556810648	4.27834982504019e-09	1.74217657422287e-08
chr2L	18868	19070	chr2L.18930	202.776296343887	-0.780804471999085	0.18613554042602	-4.19481669224484	2.73092350386633e-05	6.14512945170374e-05
chr2L	21693	23625	chr2L.22392	2399.42686473626	0.147157425286459	0.0938573167915547	1.56788442624327	0.116908106961545	0.145784451253578
chr2L	26419	27620	chr2L.26914	3069.05872829024	-0.391788612627015	0.0877691234714607	-4.4638546806772	8.04981707698864e-06	1.95800851493638e-05
chr2L	27720	29090	chr2L.28236	4112.24999834903	-0.595720177842819	0.0913239728781598	-6.52315223558661	6.88449225421957e-11	3.67696572879727e-10
chr2L	30334	30739	chr2L.30587	897.138172972641	0.780190564923197	0.118966292234088	6.55808086704112	5.45046518671913e-11	2.95353709816513e-10
chr2L	33776	34453	chr2L.34219	1767.867894725	0.0691803156086044	0.0958730813303068	0.721582269482514	0.470551343369854	0.517461566917267
chr2L	35507	36676	chr2L.36054	3704.1651541275	0.0298495341855871	0.0956713856895346	0.312000646488518	0.755040032015476	0.784501436629502
chr2L	41952	42444	chr2L.42204	581.690414215259	0.189097738007449	0.130743520539283	1.44632588465929	0.148085818900358	0.181302607201392
chr2L	43045	43679	chr2L.43328	925.950978897222	0.8337107032545	0.112593359548217	7.4046169916217	1.31529528410122e-13	1.06745103578297e-12
chr2L	44000	44315	chr2L.44129	322.788300633929	0.513655217575646	0.157338789287602	3.26464452854488	0.00109601530859196	0.00192334390059299
chr2L	45383	45570	chr2L.45476	228.781503382899	0.592264300109219	0.180863630954369	3.2746456376221	0.00105794590812599	0.00186075823307862
chr2L	53424	54006	chr2L.53782	945.569939359826	-0.233265143632335	0.109244264945268	-2.13526214624815	0.032739603102675	0.0451858760823947
chr2L	54930	55437	chr2L.55348	516.692246329685	0.338882869834807	0.134180338271808	2.52557769789143	0.0115508236296102	0.0172368117093777
chr2L	55615	55731	chr2L.55686	148.516266953222	0.797361580531535	0.213031645845512	3.74292550464438	0.000181890165886202	0.000360018958955968
