"FBgn"	"RefSeqID"	"Chr"	"Start"	"End"	"Score"	"Strand"	"IC_4_6_K4me3_1"	"IC_4_6_K4me3_2"	"IC_6_8_K4me3_1"	"IC_6_8_K4me3_2"	"IC_8_10_K4me3_1"	"IC_8_10_K4me3_2"	"VC_4_6_K4me3_1"	"VC_4_6_K4me3_2"	"VC_68_K4me3_1_1"	"VC_68_K4me3_2_1"	"VC_810_K4me3_1_1"	"VC_810_K4me3_2_1"	"IC_4_6_K27ac_1"	"IC_4_6_K27ac_3"	"IC_6_8_K27ac_1"	"IC_6_8_K27ac_3"	"IC_8_10_K27ac_1"	"IC_8_10_K27ac_2"	"VC_4_6_K27ac_1"	"VC_4_6_K27ac_2"	"VC_68_K27ac_1_1"	"VC_68_K27ac_2_1"	"VC_810_K27ac_1_1"	"VC_810_K27ac_2_1"	"IC_4_6_K79me3_1"	"IC_4_6_K79me3_2"	"IC_6_8_K79me3_1"	"IC_6_8_K79me3_2"	"IC_8_10_K79me3_1"	"IC_8_10_K79me3_2"	"VC_4_6_K79me3_1"	"VC_4_6_K79me3_2"	"VC_68_K79me3_1_1"	"VC_68_K79me3_2_1"	"VC_810_K79me3_1_1"	"VC_810_K79me3_2_1"	"IC_4_6_K4mono_1"	"IC_4_6_K4mono_2"	"IC_6_8_K4mono_1"	"IC_6_8_K4mono_2"	"IC_8_10_K4mono_1"	"IC_8_10_K4mono_2"	"VC_4_6_K4mono_1"	"VC_4_6_K4mono_2"	"VC_68_K4mono_1_1"	"VC_68_K4mono_2_1"	"VC_810_K4mono_1_1"	"VC_810_K4mono_2_1"	"IC_4_6_K27me3_1"	"IC_4_6_K27me3_2"	"IC_6_8_K27me3_2"	"IC_6_8_K27me3_3"	"IC_8_10_K27me3_1"	"IC_8_10_K27me3_2"	"VC_4_6_K27me3_1"	"VC_4_6_K27me3_2"	"VC_68_K27me3_1_1"	"VC_68_K27me3_2_1"	"VC_810_K27me3_1_1"	"VC_810_K27me3_2_1"	"All_RefSeq"	"Gene"	"4-6h_Ind-neg_1"	"4-6h_Ind-neg_2"	"4-6h_Ind-pos_1"	"4-6h_Ind-pos_2"	"6-8h_Ind-neg_1"	"6-8h_Ind-neg_2"	"6-8h_Ind-pos_1"	"6-8h_Ind-pos_2"	"4-6h_Vnd-neg_1"	"4-6h_Vnd-neg_2"	"4-6h_Vnd-pos_1"	"4-6h_Vnd-pos_2"	"6-8h_Vnd-neg_1"	"6-8h_Vnd-neg_2"	"6-8h_Vnd-pos_1"	"6-8h_Vnd-pos_2"	"4-6h_Pros-neg_1"	"4-6h_Pros-neg_2"	"4-6h_Pros-pos_1"	"4-6h_Pros-pos_2"	"6-8h_Pros-neg_1"	"6-8h_Pros-neg_2"	"6-8h_Pros-pos_1"	"6-8h_Pros-pos_2"	"6-8h_Elav-neg_1"	"6-8h_Elav-neg_2"	"6-8h_Elav-pos_1"	"6-8h_Elav-pos_2"	"8-10h_Elav-neg_1"	"8-10h_Elav-neg_2"	"8-10h_Elav-pos_1"	"8-10h_Elav-pos_2"	"18-22h_Elav-neg_1"	"18-22h_Elav-neg_2"	"18-22h_Elav-pos_1"	"18-22h_Elav-pos_2"	"6-8h_Repo-neg_1"	"6-8h_Repo-neg_2"	"6-8h_Repo-pos_1"	"6-8h_Repo-pos_2"	"8-10h_Repo-neg_1"	"8-10h_Repo-neg_2"	"8-10h_Repo-pos_1"	"8-10h_Repo-pos_2"	"18-22h_Repo-neg_1"	"18-22h_Repo-neg_2"	"18-22h_Repo-pos_1"	"18-22h_Repo-pos_2"	"CGID"	"Symbol"	"Biotype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Norm_avrg_A"	"Norm_avrg_B"	"log2FC_norm_count"	"IC_46_pos_mean"	"VC_46_pos_mean"	"VC_46_neg_mean"	"IC_46_neg_mean"	"VC_46_log2FC_over_neg"	"IC_46_log2FC_over_neg"	"Tissue_46_log2FC_VCvsIC_VST"	"IC_68_pos_mean"	"VC_68_pos_mean"	"VC_68_neg_mean"	"IC_68_neg_mean"	"VC_68_log2FC_over_neg"	"IC_68_log2FC_over_neg"	"Tissue_68_log2FC_VCvsIC_VST"	"Temp_VC_46vs68"	"Temp_IC_46vs68"
"FBgn0025776"	"NM_206365.3"	"3L"	15043724	15043924	500	"-"	86	92	162	226	476	295	162	187	141	67	113	169	218	221	371	117	254	266	146	89	330	178	340	154	400	644	475	307	417	571	83	45	72	83	60	31	383	837	749	391	630	506	1076	302	1635	1469	1192	1146	619	100	652	330	394	652	1717	1379	1131	960	1233	862	"''NM_206365.3''"	"''ind Dmel\CG11551 Gsx Ind CG11551 Dmel_CG11551''"	10.6881232509834	10.8408047949551	12.3521822551772	12.7369219451402	10.0163674600662	9.85152054390754	13.463713166776	13.3251498468251	10.2854091377101	10.1382411351415	10.069542897871	10.1576917200963	10.2296370592803	10.3149472258295	10.016422846838	9.95616197789539	10.029607226435	9.78795411456179	11.1421285876132	11.3566501298046	9.56623935997872	9.66418010724779	11.4826877542997	11.4748709209352	9.81562530371365	9.8374223801074	10.5314358798391	10.2687202588116	9.44490258188632	9.69916097789916	10.6956533392814	10.3207792273344	9.45093854516637	9.94367061497354	10.056192477255	9.64308901843732	10.0306336859201	10.1262527642975	9.96528296866221	9.78621484918005	10.3349420728654	10.1324125500228	9.86614910410982	9.93693405451065	9.71201655749028	9.74327246839897	9.63883122782576	9.68621129357498	"CG11551"	"ind"	"protein_coding"	255.606641481331	-2.62205986036789	0.375301401685217	-6.98654427772997	2.81739516024162e-12	1.68868091227575e-10	439.760046068666	71.453236893997	2.62164526236443	12.5445521001587	10.1136173089837	10.2118251364258	10.7644640229692	-0.0139416446758277	0.220784473048435	-0.310761866421315	13.3944315068006	9.98629241236669	10.2722921425549	9.93394400198687	-0.0407370817091931	0.431194831506146	-0.423612294398329	0.0182780377162108	-0.094572390260804
"FBgn0005558"	"NM_079889.3"	"4"	704650	704850	500	"+"	180	231	194	321	607	421	164	273	235	76	223	235	252	167	438	85	179	147	108	35	149	90	80	38	294	875	811	389	547	433	108	40	62	81	56	18	379	579	371	284	350	367	733	258	1317	1040	830	847	1142	263	347	342	220	494	1045	565	540	537	839	570	"''NM_166789.2,NM_079889.3''"	"''ey pax6 CG1464''"	10.330859864495	10.012747651815	13.246039972421	13.3617901004575	10.4501642961023	10.3660859358438	13.74526116727	13.4776023407944	10.5511302415409	10.5652515153441	10.6806949455337	10.4593107829305	10.8503321082258	10.818312444937	10.9112980746449	10.6048855779693	10.473242139145	9.96137949906291	11.9295575064703	12.2961105495236	10.4669806095633	10.1418004150724	11.8711329319718	11.8708741125149	10.4638275587467	10.317758705115	11.7169990261472	11.9137678437346	9.83840609900299	10.3867473053208	11.8887715920153	11.7039151173694	10.061097951215	10.9467587979756	11.8425847895065	11.8407333560383	10.4259605250871	10.636640019868	10.2230267389803	10.1841725778915	10.8702962662141	10.9092449882237	10.3504004673289	11.1086175146236	10.9222192203101	10.9762467843579	10.7186822942568	10.7650080215888	"CG1464"	"ey"	"protein_coding"	253.900105585137	-2.45772945603392	0.356225570887667	-6.89936281078752	5.22363064000248e-12	3.05885835179727e-10	430.242571755533	77.5576394147399	2.47180948539599	13.3039150364392	10.5700028642321	10.5581908784425	10.171803758155	0.00161311424011527	0.387275326314725	-0.331875092542173	13.6114317540322	10.7580918263071	10.8343222765814	10.408125115973	-0.0101867025123549	0.387108618577202	-0.339396620174615	-0.0254464406401115	-0.0329679682725536
"FBgn0005558"	"NM_001014694.2"	"4"	707428	707628	500	"+"	9	22	37	85	14	22	30	35	38	16	36	47	268	233	308	69	182	140	134	55	191	184	154	118	314	577	989	393	374	359	74	38	48	56	79	12	226	425	474	350	403	284	281	89	638	409	480	422	1115	186	168	468	200	492	958	588	646	583	838	580	"''NM_001014694.2''"	"''ey Dmel\CG1464 DPax-6 EY Ey eye EYEL l(4)102CDh l(4)102CDr l(4)33 OK107 Pax-6 Pax6 pax6 CG1464 Dmel_CG1464''"	10.330859864495	10.012747651815	13.246039972421	13.3617901004575	10.4501642961023	10.3660859358438	13.74526116727	13.4776023407944	10.5511302415409	10.5652515153441	10.6806949455337	10.4593107829305	10.8503321082258	10.818312444937	10.9112980746449	10.6048855779693	10.473242139145	9.96137949906291	11.9295575064703	12.2961105495236	10.4669806095633	10.1418004150724	11.8711329319718	11.8708741125149	10.4638275587467	10.317758705115	11.7169990261472	11.9137678437346	9.83840609900299	10.3867473053208	11.8887715920153	11.7039151173694	10.061097951215	10.9467587979756	11.8425847895065	11.8407333560383	10.4259605250871	10.636640019868	10.2230267389803	10.1841725778915	10.8702962662141	10.9092449882237	10.3504004673289	11.1086175146236	10.9222192203101	10.9762467843579	10.7186822942568	10.7650080215888	"CG1464"	"ey"	"protein_coding"	213.097415693313	-2.55423856163116	0.379287177703904	-6.73431297386268	1.64706308396899e-11	9.31228903512858e-10	364.251553760828	61.9432776257966	2.55591549833995	13.3039150364392	10.5700028642321	10.5581908784425	10.171803758155	0.00161311424011527	0.387275326314725	-0.331875092542173	13.6114317540322	10.7580918263071	10.8343222765814	10.408125115973	-0.0101867025123549	0.387108618577202	-0.339396620174615	-0.0254464406401115	-0.0329679682725536
"FBgn0262582"	"NM_001260273.2"	"3R"	20293243	20293443	500	"+"	1043	824	556	685	1384	1372	302	381	350	287	725	590	433	386	645	273	411	434	428	133	595	425	550	414	881	1953	1384	962	1040	1267	386	207	258	294	381	100	158	369	299	178	238	218	893	248	1321	1057	933	930	34	82	9	77	12	40	97	56	110	87	66	73	"''NM_001260273.2''"	"''cic CG5060 CG5067 CIC Cic cics Dmel\CG43122 E(Dl)D49 fet CG43122 Dmel_CG43122''"	14.9585452585443	14.9792528884453	15.8347883267818	16.0388075841547	15.6017841270059	15.5460906645884	16.3910367216891	16.2931808675555	14.7296552282409	14.5523660357798	14.9123804823547	15.1347726222437	14.7467171140935	14.6920655291392	14.3488507031807	14.3767114443735	15.0885702083207	15.3875917382401	14.5196095299028	14.7490566589488	15.1670217688852	15.1950074569838	14.813510368878	14.2326245519591	15.2764908658912	15.6696976974091	15.0153714777307	15.7257588106458	16.0760748659405	15.4490208961033	15.2821671741857	14.6815654680945	15.0219127038593	14.0323810561855	15.4589941925402	15.6714477402041	15.6548837475993	15.5456640621864	15.4174630314331	14.9051220036854	15.3107320825715	15.1533639145169	14.7594210207597	14.1460375013856	14.9232883696035	14.7705840945063	15.2068361173376	15.1446346964637	"CG43122"	"cic"	"protein_coding"	720.708475778732	-1.75065885071959	0.266536373145268	-6.56817990753345	5.09339811423913e-11	2.66510663211464e-09	1111.0085228508	330.408428706668	1.74954748864241	15.9367979554683	15.0235765522992	14.6410106320103	14.9688990734948	0.0372131628740953	0.0903936715177458	-0.0851334845367007	16.3421087946223	14.3627810737771	14.7193913216163	15.5739373957971	-0.0353828879937609	0.0694604296119141	-0.186259035548069	0.0648931794284916	-0.0362323715828762
"FBgn0036465"	"NM_206364.2"	"3L"	15042370	15042570	500	"-"	97	84	35	30	73	41	28	16	28	19	39	43	258	261	278	85	120	114	85	40	166	125	144	111	250	571	161	103	101	104	75	30	39	45	70	27	202	358	393	351	270	162	295	66	390	241	267	286	780	177	287	572	488	550	1894	1412	955	707	916	644	"''NM_206364.2''"	"''Rpn12R Dmel\CG11552 CG11552 Dmel_CG11552 HDC10206''"	8.94071749434887	8.93906265011006	9.14547791582147	9.22218513310459	8.90032036812066	9.063361667585	9.18513927438522	9.40300773710537	9.12858210495209	9.38577784845885	9.6145066818156	9.34622645022249	9.29542116300924	9.44346126861193	9.59230202366382	9.55122046210384	9.54111939202622	9.16921618669918	9.42401815034115	9.11060848472596	9.13920754597775	9.04575793732767	8.92500203376459	9.29958054555674	9.15591665308318	8.84415583762203	9.26601287823183	9.01291467671335	8.93539354799155	9.33660490149774	8.89746904489963	9.63820604484675	8.88614447784468	9.60825608107867	9.72317663252284	9.43536353378864	8.79400985004579	9.07479709457412	8.65618591955091	9.29792458384819	9.21292535886891	9.46422588330249	9.16153949117961	9.73630422639167	9.27540274964106	9.41592103983752	9.52067120270266	9.32313042590098	"CG11552"	"Rpn12R"	"protein_coding"	187.725735710371	-2.50568667668663	0.384805834105092	-6.51156103834516	7.43737947042373e-11	3.82211313216314e-09	319.745440422947	55.7060309977948	2.52101835228349	9.18383152446303	9.48036656601905	9.25717997670547	8.93989007222947	0.0343700722803784	0.0388390846325013	0.0458466668624608	9.2940735057453	9.57176124288383	9.36944121581059	8.98184101785283	0.0308214013277511	0.0492998689316158	0.0424733558743445	-0.0138415677059395	-0.0172148786940557
"FBgn0052475"	"NM_001274253.1"	"3L"	22427	22627	500	"+"	991	791	513	878	758	2299	1324	423	242	364	413	381	238	303	372	21	133	270	81	32	75	72	34	91	394	744	420	191	303	454	69	77	87	61	26	11	43	51	50	28	37	48	3	5	14	23	12	19	1	1	18	30	4	34	4	3	10	1	8	2	"''NM_001274253.1,NM_138154.3''"	"''mthl8 anon-WO0170980.145 anon-WO0170980.146 CG11869 CG13406 Dmel\CG32475 Mth-8 mthl-8 CG32475 Dmel_CG32475''"	8.8906090643949	8.65618591955091	8.77670358268677	8.70978815938341	10.4404324694207	10.2199026485136	10.806779796486	10.5422336249637	9.45662639786913	9.44095455244109	9.57164486075051	9.4925216572753	9.54687761072931	9.69216953983781	9.49165830262993	9.66731972980151	10.3780796334429	10.3505419504524	10.4137537388975	10.3176252027711	10.3792161831452	10.3351329969043	10.5751263286772	10.4390953232434	10.3731203877037	9.12585500801121	10.5783881600138	8.90711173311093	9.22412760780112	9.44303352637215	9.12953226174557	9.82789738386317	10.2873208297676	10.366621419599	10.6503256816551	10.6465391162079	10.4308163110689	10.231478595395	10.2118298108692	10.3273437639735	10.516929868327	10.3670321627988	10.1641209836168	10.4628346057822	10.4709814380902	10.3271364739784	10.1091066406988	10.2460855338061	"CG32475"	"mthl8"	"protein_coding"	277.340095844343	-2.35279143141108	0.407926375793045	-5.76768645282385	8.03671491570233e-09	4.30237498841698e-07	462.381632554782	92.2985591339039	2.32470405863955	8.74324587103509	9.53208325901291	9.44879047515511	8.7733974919729	0.0126618889351794	-0.00496666353961295	0.124622582992047	10.6745067107248	9.57948901621572	9.61952357528356	10.3301675589671	-0.00601674104548792	0.0473057462860376	-0.156148794013389	-0.00715714961679769	-0.287928526622234
"FBgn0262169"	"NM_136704.3"	"2R"	10056825	10057025	500	"+"	382	333	182	324	406	423	68	85	111	73	244	198	289	325	481	150	183	182	271	105	331	312	338	203	388	494	312	271	207	251	99	55	57	62	71	21	224	438	286	225	401	297	433	158	704	568	620	697	91	112	47	32	43	52	125	71	77	119	122	95	"''NM_165732.2,NM_165730.2,NM_136704.3''"	"''magu CG2264-RB CG2264 Dmel_CG2264''"	11.8149860755899	11.6130290570942	13.3500434059607	13.561947926155	11.1205010612184	10.8331949577605	13.9488751856781	13.6779665058941	11.2138238710722	11.1400776201241	11.2848582190199	11.2975703671067	11.1129090885139	10.9843484252106	10.9850682246601	10.908739970461	11.2323602385765	11.3634873257244	10.4665319002634	10.4600641350324	11.3343483928476	11.0206751321403	11.1420709667127	11.0143370930421	10.9731940397555	11.5403276677509	10.186779997558	10.2882225318987	11.6914345807515	11.5776601925782	10.2453795926773	10.4948267099377	11.1718349956345	10.7990298421833	10.3180705514747	10.2751772170078	10.9877402526937	11.196257334666	12.4715759963658	12.4934068165706	11.3461869617441	11.2342400008142	11.9170197035249	11.7371466150065	10.6004133184761	10.4687859937091	13.6764868674435	13.1370261009789	"CG2264"	"magu"	"protein_coding"	239.038635436294	-2.18019845968199	0.407276139429632	-5.35312101203678	8.64499918335533e-08	4.59309349499288e-06	391.748654824217	86.3286160483718	2.18201755516831	13.4559956660578	11.2912142930633	11.1769507455982	11.7140075663421	0.0146739953329417	0.200014414609111	-0.253048499575598	13.8134208457861	10.9469040975605	11.0486287568623	10.9768480094894	-0.0133444103229371	0.331606796841395	-0.335547724461484	0.0446777286564751	-0.0378214962294103
"FBgn0003996"	"NM_057439.2"	"X"	2796266	2796466	500	"-"	324	234	62	36	17	27	39	139	46	39	88	105	414	615	349	185	103	227	502	252	609	600	495	419	297	849	170	115	87	92	140	84	102	68	107	36	418	582	481	427	355	383	858	279	1427	1094	1132	1177	124	121	91	47	83	51	171	67	109	141	136	84	"''NM_057439.2''"	"''w CG2759''"	9.44252387111631	9.47317423980735	9.75557713515093	9.4335510668468	9.36668136048613	9.47584245291365	9.79743914146616	9.77887723728015	10.2938941951159	10.5955221477771	11.0931903571207	10.8601053450495	10.6753722668025	10.8359559347863	11.1088034219067	11.0468866106974	10.1182254508231	10.1956213164011	10.4922420549037	10.43035366718	9.97777568545992	9.76138911424784	10.1802197576295	10.2883485593019	9.57652544850276	9.00100659020612	9.80271246276145	10.3845480332378	9.03129218411152	9.66590766966573	9.32905450575208	10.1363838497237	9.74401153471974	10.5642700660483	10.5716984914201	10.0719312439281	9.25255505215061	9.33867431719472	9.34973963627274	10.2051214807448	9.90639411357831	10.3451741703422	10.4863333233184	10.850696101679	10.157836429885	10.5257798350924	10.6523119455902	10.5575505253219	"CG2759"	"w"	"protein_coding"	276.288807045372	-1.75074031443551	0.334180007330211	-5.23891398657361	1.61524293988875e-07	8.44497952807038e-06	425.326377201619	127.251236889125	1.74089064901447	9.59456410099886	10.9766478510851	10.4447081714465	9.45784905546183	0.0716653546256189	0.020705146590679	0.194148369536923	9.78815818937316	11.077845016302	10.7556641007944	9.42126190669989	0.0425806541608189	0.0551171065768237	0.178567937298843	-0.0132397216226651	-0.028820153860745
"FBgn0003016"	"NM_001169504.2"	"2L"	14689140	14689340	500	"-"	716	446	180	223	285	567	308	356	158	190	549	512	246	386	235	159	165	168	258	96	288	265	262	193	493	1210	387	242	234	408	272	145	151	158	147	50	106	180	178	217	118	109	242	79	477	321	341	301	41	1	57	69	6	39	73	30	68	52	53	38	"''NM_001169504.2,NM_001144354.3,NM_165089.4,NM_078843.6''"	"''osp CG3479''"	12.3936474985496	12.4858512463562	12.8296337350332	12.8590264196066	12.7048881241784	12.4409649591738	12.8815699176182	12.5401852061383	12.781131894636	12.66601281396	12.4655908765268	12.533334613844	12.1633702969694	12.0028482091961	11.8247354717544	11.815169124168	13.1481781583041	13.4282992386088	12.201146212	12.2565441022966	13.1007660232434	12.8954548921575	12.6267870220571	12.1502170215941	12.3899874918637	12.984506900262	11.3314514315686	12.3693022636026	13.9171485426968	13.3346845905752	12.1497707873411	11.7819872660409	14.4484715866145	13.6524309042201	12.7063846562138	13.2142999729768	12.5235166755691	12.4336781592028	12.7746379420779	12.5350369346864	12.6339981402456	12.5965334797653	12.4277900658627	12.3301553075027	13.3489283601765	13.963063970574	13.697233949137	13.7774355847454	"CG3479"	"osp"	"protein_coding"	442.511780726773	-1.49419642664731	0.28839831556579	-5.18101648310928	2.20679988123043e-07	1.13308221445074e-05	652.915906626711	232.107654826836	1.49210308643703	12.8443300773199	12.4994627451854	12.723572354298	12.4397493724529	-0.0256377021287028	0.0461742261182164	-0.0392655594820989	12.7108775618783	11.8199522979612	12.0831092530827	12.5729265416761	-0.031767526784203	0.0157431395088074	-0.104839424563757	0.0806418727548208	0.0150680076731625
"FBgn0000492"	"NM_057976.3"	"3R"	29556385	29556585	500	"+"	96	107	234	281	658	496	204	265	251	219	344	414	173	195	153	72	125	164	152	64	229	204	185	74	402	996	973	296	350	672	232	144	217	267	198	53	332	605	380	287	379	305	612	221	1064	883	703	745	464	104	360	348	363	471	579	461	542	631	625	405	"''NM_057976.3''"	"''Dr msh CG1897''"	12.1464362835967	11.9592758481242	13.4178166606616	13.6084829427471	12.4312433581025	12.5089295962605	13.5434600435951	13.5343322751569	11.7577145482743	11.7023148810075	11.624036702232	11.7853396359747	11.999167599342	11.9334261178852	11.6293230848698	11.6411011195645	11.7073172541121	11.8710894693552	12.8304432199861	13.1685121648697	11.7631058235799	12.0987479514529	12.9799764101904	12.873381562132	12.2575808509884	12.4828576271516	12.9175991486427	12.5065994448039	12.3620714176463	11.8756044482439	12.8918737551756	12.0547212690274	11.0451649742292	10.8515586907929	12.0546964401097	12.36904145739	12.7330679032335	12.4362007669736	14.2572987586237	13.6763410951194	12.3098450207675	11.9129474186732	14.1176305097213	13.1047920492654	11.3674762736655	11.1146969853285	12.9502908937594	12.9438007476282	"CG1897"	"Dr"	"protein_coding"	374.875198927763	-1.32249606085654	0.306299634839865	-4.31765470940882	1.57695870587011e-05	0.000931621172060899	534.888351748993	214.862046106534	1.31582712331384	13.5131498017044	11.7046881691033	11.7300147146409	12.0528560658604	-0.00311832380009016	0.164988943449805	-0.207277494609785	13.538896159376	11.6352121022171	11.9662968586136	12.4700864771815	-0.0404792484149611	0.11863864928384	-0.218612608885509	0.00858898898802351	-0.00274612528770048
