"FBgn"	"RefSeqID"	"Chr"	"Start"	"End"	"Score"	"Strand"	"IC_4_6_K4me3_1"	"IC_4_6_K4me3_2"	"IC_6_8_K4me3_1"	"IC_6_8_K4me3_2"	"IC_8_10_K4me3_1"	"IC_8_10_K4me3_2"	"VC_4_6_K4me3_1"	"VC_4_6_K4me3_2"	"VC_68_K4me3_1_1"	"VC_68_K4me3_2_1"	"VC_810_K4me3_1_1"	"VC_810_K4me3_2_1"	"IC_4_6_K27ac_1"	"IC_4_6_K27ac_3"	"IC_6_8_K27ac_1"	"IC_6_8_K27ac_3"	"IC_8_10_K27ac_1"	"IC_8_10_K27ac_2"	"VC_4_6_K27ac_1"	"VC_4_6_K27ac_2"	"VC_68_K27ac_1_1"	"VC_68_K27ac_2_1"	"VC_810_K27ac_1_1"	"VC_810_K27ac_2_1"	"IC_4_6_K79me3_1"	"IC_4_6_K79me3_2"	"IC_6_8_K79me3_1"	"IC_6_8_K79me3_2"	"IC_8_10_K79me3_1"	"IC_8_10_K79me3_2"	"VC_4_6_K79me3_1"	"VC_4_6_K79me3_2"	"VC_68_K79me3_1_1"	"VC_68_K79me3_2_1"	"VC_810_K79me3_1_1"	"VC_810_K79me3_2_1"	"IC_4_6_K4mono_1"	"IC_4_6_K4mono_2"	"IC_6_8_K4mono_1"	"IC_6_8_K4mono_2"	"IC_8_10_K4mono_1"	"IC_8_10_K4mono_2"	"VC_4_6_K4mono_1"	"VC_4_6_K4mono_2"	"VC_68_K4mono_1_1"	"VC_68_K4mono_2_1"	"VC_810_K4mono_1_1"	"VC_810_K4mono_2_1"	"IC_4_6_K27me3_1"	"IC_4_6_K27me3_2"	"IC_6_8_K27me3_2"	"IC_6_8_K27me3_3"	"IC_8_10_K27me3_1"	"IC_8_10_K27me3_2"	"VC_4_6_K27me3_1"	"VC_4_6_K27me3_2"	"VC_68_K27me3_1_1"	"VC_68_K27me3_2_1"	"VC_810_K27me3_1_1"	"VC_810_K27me3_2_1"	"All_RefSeq"	"Gene"	"4-6h_Ind-neg_1"	"4-6h_Ind-neg_2"	"4-6h_Ind-pos_1"	"4-6h_Ind-pos_2"	"6-8h_Ind-neg_1"	"6-8h_Ind-neg_2"	"6-8h_Ind-pos_1"	"6-8h_Ind-pos_2"	"4-6h_Vnd-neg_1"	"4-6h_Vnd-neg_2"	"4-6h_Vnd-pos_1"	"4-6h_Vnd-pos_2"	"6-8h_Vnd-neg_1"	"6-8h_Vnd-neg_2"	"6-8h_Vnd-pos_1"	"6-8h_Vnd-pos_2"	"4-6h_Pros-neg_1"	"4-6h_Pros-neg_2"	"4-6h_Pros-pos_1"	"4-6h_Pros-pos_2"	"6-8h_Pros-neg_1"	"6-8h_Pros-neg_2"	"6-8h_Pros-pos_1"	"6-8h_Pros-pos_2"	"6-8h_Elav-neg_1"	"6-8h_Elav-neg_2"	"6-8h_Elav-pos_1"	"6-8h_Elav-pos_2"	"8-10h_Elav-neg_1"	"8-10h_Elav-neg_2"	"8-10h_Elav-pos_1"	"8-10h_Elav-pos_2"	"18-22h_Elav-neg_1"	"18-22h_Elav-neg_2"	"18-22h_Elav-pos_1"	"18-22h_Elav-pos_2"	"6-8h_Repo-neg_1"	"6-8h_Repo-neg_2"	"6-8h_Repo-pos_1"	"6-8h_Repo-pos_2"	"8-10h_Repo-neg_1"	"8-10h_Repo-neg_2"	"8-10h_Repo-pos_1"	"8-10h_Repo-pos_2"	"18-22h_Repo-neg_1"	"18-22h_Repo-neg_2"	"18-22h_Repo-pos_1"	"18-22h_Repo-pos_2"	"CGID"	"Symbol"	"Biotype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Norm_avrg_A"	"Norm_avrg_B"	"log2FC_norm_count"	"IC_46_pos_mean"	"VC_46_pos_mean"	"VC_46_neg_mean"	"IC_46_neg_mean"	"VC_46_log2FC_over_neg"	"IC_46_log2FC_over_neg"	"Tissue_46_log2FC_VCvsIC_VST"	"IC_68_pos_mean"	"VC_68_pos_mean"	"VC_68_neg_mean"	"IC_68_neg_mean"	"VC_68_log2FC_over_neg"	"IC_68_log2FC_over_neg"	"Tissue_68_log2FC_VCvsIC_VST"	"Temp_VC_46vs68"	"Temp_IC_46vs68"
"FBgn0004102"	"NM_001272417.1"	"X"	8642976	8643176	500	"-"	29	8	22	8	21	24	89	72	72	44	138	100	106	72	49	52	35	86	274	131	310	432	378	324	118	224	190	81	64	153	914	483	1459	652	657	202	170	245	311	279	217	194	447	165	757	529	601	585	2255	549	860	1622	657	1443	1074	485	510	559	595	361	"''NM_001272417.1,NM_001014727.3,NM_001272416.1''"	"''oc Dmel\CG12154 l(1)7Ff l(1)8Ac Oc ort Otd otd Otx uvi CG12154 Dmel_CG12154''"	12.3668886537385	12.3504877142431	11.6358822591098	11.421126694787	12.4360272226153	12.4059102781201	11.5979054361194	11.4324911953147	11.9086403742113	11.8193509151649	13.9155983840965	14.2048653245844	11.5734810144627	11.4269609237758	13.7360430375807	13.9202617719858	12.2950115002832	12.2523574678827	13.9622563885593	13.9326137017335	12.0719842265365	12.1199790335787	14.0128407203946	13.8762029143896	12.0247772326999	12.2619388776971	13.2091602447178	13.282863977001	12.2866688245686	12.1237084814737	13.5831828701927	12.6449348501947	12.5228070153244	11.8058429213247	13.0134505382882	13.3242550398863	12.3814385553518	12.338761072097	11.1377078240803	10.8417841324335	12.767431863556	12.4876275147903	11.495753883383	11.1049072785626	12.5258438864104	12.4688890758828	11.3489168282048	11.7531786000155	"CG12154"	"oc"	"protein_coding"	932.343407153736	-1.49281051980102	0.104213719836689	-14.324510459279	1.53808077854728e-46	2.17830544713138e-08	1377.60427214964	487.082542157831	1.49992334121343	11.5285044769484	14.0602318543405	11.8639956446881	12.3586881839908	0.245030411475282	-0.100320243108426	0.286415011723262	11.5151983157171	13.8281524047832	11.5002209691193	12.4209687503677	0.265946827370178	-0.1092384407039	0.264069151674155	0.0240119755278595	0.00166611547875187
NA	"NR_001838.1"	"2R"	19746135	19746335	500	"-"	25	51	36	77	47	160	26	26	13	28	62	60	232	223	213	75	203	1839	288	101	400	347	366	223	23	250	31	63	54	289	95	46	40	45	91	18	214	263	207	142	219	1318	265	113	442	314	426	414	118	84	30	83	57	569	127	57	69	93	99	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	320.162451705537	-2.4968147589382	0.177798886937183	-14.0429155769706	8.51366628137454e-45	3.54718719582555e-08	543.213326994557	97.1115764165158	2.4838036836592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0261930"	"NM_057438.4"	"X"	591041	591241	500	"+"	35	67	96	53	142	225	1287	1730	1294	1244	962	887	80	31	62	45	77	119	453	174	474	659	433	373	127	470	199	109	315	262	1890	1042	1727	1188	666	180	465	668	763	469	466	442	305	177	641	531	544	607	1464	259	581	928	546	844	693	110	235	253	250	188	"''NM_057438.4''"	"''vnd NK2 CG6172''"	11.6390990041662	11.5800482573277	11.7274173344586	11.7496215436411	11.8095616814403	11.8144019534854	11.7393304423469	11.7841205320437	11.1542946523829	11.1994774283297	12.559500465413	12.7648211517329	11.0641253064657	10.9750927326284	13.2130434704999	13.5589264192884	11.0037266625505	11.1168994265843	12.755045436078	12.9596014695066	10.6905135038013	10.7895952055259	13.4097921613593	13.3691924582383	11.4938790959043	11.5432597284619	12.6194091855927	13.0906537734248	11.599919939918	11.3393572116384	12.7443730018281	12.0876481193871	11.4442687808659	11.2617028721576	11.4146353949602	11.6469538013268	11.7664551134685	11.7400686549169	10.5585599780713	10.7236347574062	11.6988135504074	11.6039828308209	10.9030002105099	10.5703720709207	11.3105739856623	11.4076144329835	10.3185578164051	10.5501945386967	"CG6172"	"vnd"	"protein_coding"	516.454276433027	-1.82947839952412	0.131628869253594	-13.8987625579269	6.44459189402406e-44	4.17483043690936e-08	805.750523696672	227.158029169381	1.82663692090365	11.7385194390498	12.6621608085729	11.1768860403563	11.609573630747	0.180005323815708	0.0159354658225428	0.109273167846817	11.7617254871953	13.3859849448941	11.0196090195471	11.8119818174629	0.280650259451173	-0.00615131657960311	0.186623572606701	-0.0801996739113535	-0.00284926915146935
NA	"NR_073778.1"	"2L"	15129700	15129900	500	"+"	17	19	19	48	55	11	20	16	11	15	23	44	115	57	109	1	47	111	148	64	221	201	210	122	49	148	21	22	49	28	49	19	41	37	57	16	56	87	33	26	79	86	62	36	177	125	188	205	78	15	43	116	64	389	112	40	86	93	52	64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	217.021944351381	-2.60064603285937	0.231139969113423	-11.2513904143649	2.27969681602152e-29	4.25147572372505e-05	371.370798244082	62.67309045868	2.56694233683836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0020307"	"NM_057894.4"	"2R"	22243962	22244162	500	"+"	40	4	33	33	93	119	903	688	1023	1193	1525	1185	122	152	81	61	107	132	286	123	537	465	564	327	49	221	141	83	29	187	567	365	1095	751	951	274	715	1034	748	558	782	640	532	238	732	579	776	938	734	425	397	449	475	835	414	122	224	337	356	261	"''NM_057894.4''"	"''dve CG5799 Dmel_CG5799''"	11.2525979147354	11.2810697006182	10.96024641711	11.0108431755691	11.8363573728404	11.6738417239546	11.4101293603188	11.0952865922363	11.2521097068212	11.2874015909222	13.0408318233639	13.3018225062552	11.2759928039702	11.3576980505219	13.0442648340359	13.0683513926258	11.4301656254744	11.5715049789332	12.1023212730367	12.4026869777242	11.3838248355152	11.356643069587	12.3686169106027	12.0400040834446	11.4898530997785	11.9905489821617	12.263192853544	12.7237402824328	12.3540412073977	12.1142926399037	12.4784469252027	12.3419579830832	12.087002552181	11.6922990995024	12.8365331351669	13.1751125108234	11.6850927992621	11.568082039611	13.037530143434	13.0713393166512	11.7300995809439	11.7545230598503	12.3020375704698	12.0181627896224	12.2985572575246	12.0669017398361	13.1007405109	13.4537964777869	"CG5799"	"dve"	"protein_coding"	558.236518594121	-1.32111779277986	0.122764195647107	-10.7614258849339	5.23537521701205e-27	0.000120669631986795	797.158397259148	319.314639929093	1.31988772054932	10.9855447963395	13.1713271648096	11.2697556488717	11.2668338076768	0.224944485969372	-0.0364757301841444	0.261794303442447	11.2527079762776	13.0563081133309	11.3168454272461	11.7550995483975	0.206275146009473	-0.0630145272092981	0.214474779371853	0.0126537125585525	-0.0346658115120415
"FBgn0031128"	"NM_001258856.1"	"X"	20673323	20673523	500	"-"	7	5	17	4	1	1	9	12	5	8	7	15	18	28	69	70	31	80	36	20	49	57	39	37	27	70	1	9	23	86	20	9	16	8	21	6	10	42	12	22	28	110	45	19	95	70	63	47	101	84	92	99	51	510	161	117	106	103	166	108	"''NM_167711.3,NM_001258856.1,NM_001258852.1,NM_001258855.1,NM_001258854.1''"	"''hydra Dmel\CG1338 CG1338 Dmel_CG1338''"	8.96506424540017	8.92126867460077	9.25472775127093	9.05806762759758	8.73080867515261	9.06348836138253	9.0329864962532	9.17710362359681	9.154824229045	9.60074653768322	9.64814644749024	9.46872630688797	9.66092156083333	9.70074983396586	9.66899920604514	9.65234968840555	9.37566009893153	9.21048119176334	9.37340663960279	8.9806298487898	9.15874219663731	9.02527819051052	8.74532639682589	9.41310495141069	9.11294195134415	8.65618591955091	8.99423065945715	8.73502187294952	8.85236390789593	9.61158494312309	8.73019913179824	9.57933655484736	8.81053953845802	9.87332612745825	9.44038836053801	9.28679860895125	8.89494065633539	8.88101045576298	8.65618591955091	9.42951625876786	9.10758996813461	9.46244661367409	9.20889442934479	9.81083423580436	9.3020675806597	9.46566236152138	9.24449202708309	9.25832089765094	"CG1338"	"hydra"	"protein_coding"	313.645947871292	-1.78876180052101	0.166681806896609	-10.7315959301459	7.2335948110281e-27	0.000120669631986795	486.887164793013	140.404730949572	1.79399592091901	9.15639768943426	9.5584363771891	9.37778538336411	8.94316646000047	0.0275273708992802	0.0339943954482427	0.0619945085668747	9.105045059925	9.66067444722534	9.68083569739959	8.89714851826757	-0.00300768098889815	0.0333231217554891	0.0854577554574673	-0.0153492790915085	0.00811396779908407
NA	"NR_124910.1"	"3L"	12661825	12662025	500	"+"	43	25	36	25	20	7	13	32	23	10	39	29	128	85	88	10	53	131	261	129	427	382	376	241	6	194	35	12	17	45	83	65	97	74	91	29	89	192	146	107	88	142	188	117	557	414	493	510	1013	164	451	562	172	838	505	242	293	323	401	295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	580.16232598249	-1.15215631206573	0.119678892171244	-9.62706364642105	6.14606522997679e-22	0.00140634776798247	800.02243940499	360.302212559989	1.15083295479703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0004666"	"NM_001275598.2"	"3R"	13062521	13062721	500	"+"	17	9	28	9	47	24	60	56	95	77	82	83	130	90	100	53	58	61	257	118	374	353	268	191	27	206	3	59	159	66	577	397	719	270	212	54	265	469	410	274	295	262	600	185	859	625	709	592	5241	944	1486	2081	809	1937	2568	1643	1171	1175	1356	879	"''NM_001275598.2''"	"''sim 02 04 0483 0716 08 0899 09 0953 10 1002 1034 1050 1110 1111 13 1330 14 1479 bHLHe16 Dmel\CG7771 l(3)87Ea l(3)E320 l(3)RD l(3)S8 l(3)s8 S8 schm shm SIM Sim CG7771 Dmel_CG7771''"	10.7172564901119	10.9262222621412	9.97921893641377	9.55500692222553	10.4876441363439	10.5060879343239	9.58291678666928	9.7428547622066	10.4911059669356	10.5712393019591	11.7428674259985	11.8505074607748	10.639600568425	10.80077236849	11.8147927171654	12.0226430596421	10.3146441920242	10.5561267220102	10.5246689193999	10.5845736112949	10.1562281082531	10.3512635498772	10.5246483306937	10.4876996576349	10.2042888228413	10.4538526621561	10.6411241643972	10.5489729314098	10.1471623475788	10.5695712107564	10.8975035078294	10.6979090005957	9.8065898276283	10.0780529242172	10.4925195858887	10.5445499804346	10.421725367926	10.4916854815353	9.46046070420149	10.1052894930005	10.4938951162376	10.353642968599	10.1183182431892	10.4854674845859	10.2410802370177	10.1449811610868	9.7616957889779	9.70030230990779	"CG7771"	"sim"	"protein_coding"	1497.07206050664	-0.688466190770101	0.0813624614814164	-8.46171782705161	2.63467388095455e-17	0.0122138565039053	1849.21654549817	1144.92757551511	0.691657835073133	9.76711292931965	11.7966874433867	10.5311726344473	10.8217393761266	0.163715714158753	-0.147928319252847	0.27237771931619	9.66288577443794	11.9187178884037	10.7201864684575	10.4968660353339	0.152899051153784	-0.119432645882406	0.302703039142457	-0.014847249644789	0.0154780701814783
"FBgn0030665"	"NM_132823.2"	"X"	15669597	15669797	500	"-"	120	97	163	233	167	273	457	585	566	470	339	283	166	223	274	205	81	140	254	141	433	528	329	221	389	619	700	286	407	524	1575	556	1019	641	350	96	202	351	200	164	165	137	297	129	577	459	523	588	215	118	101	212	106	298	141	66	67	114	85	68	"''NM_132823.2,NM_001298352.1''"	"''Dmel\CG15646 CG15646 Dmel_CG15646''"	9.86492603248613	9.9364824320905	10.3506786792548	10.6494834780291	9.71399139986034	9.66499341369169	10.2162511747121	9.94101124560789	9.73385324445952	9.67416779507472	10.017560069912	9.89037499513191	9.65510971850818	9.91727235254091	10.2334181061185	10.1800142695339	9.47504416256103	9.3118840644464	9.93619110094425	10.2021744931667	9.41594057715854	9.43063354541805	10.2523817838111	10.1816164174394	9.72424618374345	9.74774041301244	9.52099482703052	9.53339859761847	9.38616809766479	9.7157819760493	9.49172705931903	9.83170788852483	8.97039216343392	9.52768494767426	9.33898916946908	9.27765855965416	9.48841444997415	9.74223425255271	9.35365382644884	9.65548708678409	9.77336204030294	9.60418100792609	9.66078361409304	9.64697730833742	9.21883272972147	9.24969579258878	9.07760116847961	9.20236857442573	"CG15646"	"CG15646"	"protein_coding"	182.128165635776	-1.84115978234341	0.217530587356474	-8.46391215469044	2.58554602051488e-17	0.0122138565039053	284.494853153564	79.7614781179877	1.83463850199014	10.500081078642	9.95396753252195	9.70401051976712	9.90070423228832	0.0366905668611918	0.0847974158625721	-0.0770568816088402	10.07863121016	10.2067161878262	9.78619103552455	9.68949240677602	0.0606994309279607	0.0568067223744935	0.0182190636687683	-0.0361751954249055	0.0591007498527031
NA	"NR_125114.1"	"3R"	8316983	8317183	500	"+"	13	41	14	64	39	7	17	27	30	12	42	40	99	87	103	1	106	103	178	72	218	160	182	113	29	192	245	32	51	14	48	27	35	36	70	11	111	244	201	98	107	118	184	114	485	274	407	388	653	151	227	368	124	621	472	308	282	270	277	227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	428.065427454731	-1.17728679878655	0.141095030095927	-8.34392818787554	7.18626389014619e-17	0.0128988522151906	592.856724189139	263.274130720322	1.17111772114357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
